type,name,values,prefix,postfix,usage count,user addable,template name,,,,
checklist,SYM-0388-ITP-011 Spray Seal [B],itp,,,,,SYM-0388-ITP-011 Spray Seal [B],,,,
section,1.0 Traffic,,,,,,,,,,
checkpoint,1.1 - Traffic Management Plan Submitted,,,,,,,,,,
label,Ref docs - TfNSW G10 Cl. 2.2,,,,,,,,,,
label,Acceptance criteria - Submitted at least 20 working days prior to submission of ROL’s if required.,,,,,,,,,,
button,Acceptance,"Yes,No,N/A",,,,,,,,,
label,Verify of acceptance by,,,,,,,,,,
label,Symal Infrastructure: Key - H,,,,,,,,,,
textbox,Symal Infrastructure: Sign date,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,
checkpoint-no-status,1.1.1 - Lot Map,,,,,,,,,,
button,Lot map uploaded,"Yes,No,N/A",,,,,,,,,
checkpoint,1.2 - Traffic Control Plan,,,,,,,,,,
label,Ref docs - TfNSW G10 Cl. 2.5,,,,,,,,,,
label,"Acceptance criteria - If not previously submitted as part of the TMP or where a TMP is not required, submitted at least 3 working days prior to its proposed use.",,,,,,,,,,
button,Acceptance,"Yes,No,N/A",,,,,,,,,
label,Verify of acceptance by,,,,,,,,,,
label,Symal Infrastructure: Key - H,,,,,,,,,,
textbox,Symal Infrastructure: Sign date,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,
checkpoint,1.3 - ROL’s,,,,,,,,,,
label,Ref docs - TfNSW G10 Cl. 2.1,,,,,,,,,,
label,Acceptance criteria - Submitted at least ten (10) days prior to commencement of works.,,,,,,,,,,
button,Acceptance,"Yes,No,N/A",,,,,,,,,
label,Verify of acceptance by,,,,,,,,,,
label,Symal Infrastructure: Key - H,,,,,,,,,,
textbox,Symal Infrastructure: Sign date,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,
checkpoint,1.4 - Survey Extent of the Site,,,,,,,,,,
label,Ref docs - IFC Drawing,,,,,,,,,,
label,Acceptance criteria - Survey work is performed by qualified surveyor using appropriate surveying equipment to determine extent of the site.,,,,,,,,,,
button,Acceptance,"Yes,No,N/A",,,,,,,,,
section,2.0 Material,,,,,,,,,,
