type,name,values,prefix,postfix,usage count,user addable,template name,,,,
checklist,SYM-0388-ITP-002 Earthworks [C],itp,,,,,SYM-0388-ITP-002 Earthworks [C],,,,
section,1.0 General & Extent Approval,,,,,,,,,,
checkpoint,1.1 - Determine Site Size,,,,,,,,,,
label,Ref docs - IFC Drawings,,,,,,,,,,
label,Acceptance criteria - ,,,,,,,,,,
textbox,Treatment Length:,,,m,,,,,,,
textbox,Treatment Width:,,,m,,,,,,,
button,Acceptance,"Yes,No,N/A",,,,,,,,,
label,Verify of acceptance by,,,,,,,,,,
label,Symal Infrastructure: Key - H,,,,,,,,,,
textbox,Symal Infrastructure: Sign date,,,,,,,,,,
note,Shoalhaven City Council: Key - H,,,,,,,,,,
textbox,Shoalhaven City Council: Sign date,,,,,,,,,,
label,"Remarks / record (eg. test frequency, reports, certificates, checklist etc) - ",,,,,,,,,,
bool,Approved Earthworks Extent Markup,,,,,,,,,,
textbox,Doc No.,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,
checkpoint-no-status,1.1.1 - Lot Map,,,,,,,,,,
button,Lot map uploaded,"Yes,No,N/A",,,,,,,,,
checkpoint,1.2 - Slope Treatment Type,,,,,,,,,,
label,Ref docs - IFC Drawings,,,,,,,,,,
textbox,Acceptance criteria - ,,,,,,,,,,
textbox,Dated: _____/_____/_____,,,,,,,,,,
button,Acceptance,"Yes,No,N/A",,,,,,,,,
label,Verify of acceptance by,,,,,,,,,,
label,Symal Infrastructure: Key - H,,,,,,,,,,
textbox,Symal Infrastructure: Sign date,,,,,,,,,,
note,Shoalhaven City Council: Key - H,,,,,,,,,,
textbox,Shoalhaven City Council: Sign date,,,,,,,,,,
label,"Remarks / record (eg. test frequency, reports, certificates, checklist etc) - ",,,,,,,,,,
bool,Approved Design Change Markup,,,,,,,,,,
textbox,Doc No.,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,
checkpoint,1.3 - Survey Set Out,,,,,,,,,,
label,"Ref docs - TfNSW G71 CL3.2, IFC Drawing",,,,,,,,,,
label,Acceptance criteria - Set out and pegged to suit the approved design extent markup.,,,,,,,,,,
button,Acceptance,"Yes,No,N/A",,,,,,,,,
label,Verify of acceptance by,,,,,,,,,,
label,Symal Infrastructure: Key - H,,,,,,,,,,
textbox,Symal Infrastructure: Sign date,,,,,,,,,,
note,Shoalhaven City Council: Key - H,,,,,,,,,,
textbox,Shoalhaven City Council: Sign date,,,,,,,,,,
label,"Remarks / record (eg. test frequency, reports, certificates, checklist etc) - ",,,,,,,,,,
bool,Photos of pegged out location,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,
checkpoint,1.4 - Slope Treatment Submission,,,,,,,,,,
label,Ref docs - IFC Drawings,,,,,,,,,,
label,Acceptance criteria - The following documents have been submitted by Symal to the Client for the slope treatment type approval:,,,,,,,,,,
label,• Survey report,,,,,,,,,,
label,• Notification of completion of clearing,,,,,,,,,,
label,"• Details of tests, inspections, assessments and any recommended slope treatment proposed by the Geotechnical Engineer",,,,,,,,,,
button,Acceptance,"Yes,No,N/A",,,,,,,,,
label,Verify of acceptance by,,,,,,,,,,
label,Symal Infrastructure: Key - H,,,,,,,,,,
textbox,Symal Infrastructure: Sign date,,,,,,,,,,
note,Shoalhaven City Council: Key - H,,,,,,,,,,
textbox,Shoalhaven City Council: Sign date,,,,,,,,,,
label,"Remarks / record (eg. test frequency, reports, certificates, checklist etc) - ",,,,,,,,,,
bool,Survey Report ,,,,,,,,,,
textbox,Survey Report Doc No.,,,,,,,,,,
bool,Notification of Clearing ,,,,,,,,,,
textbox,Notification of Clearing Lot No.,,,,,,,,,,
bool,Geotech Report,,,,,,,,,,
textbox,Geotech Report Doc No.,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,
checkpoint,1.5 - Methodology,,,,,,,,,,
label,"Ref docs - TfNSW R44 Cl 1.5, IFC Drawings",,,,,,,,,,
label,"Acceptance criteria - Symal to submit methodology for excavation, shoring and filling works per IFC Drawings Note 191 (A).",,,,,,,,,,
button,Acceptance,"Yes,No,N/A",,,,,,,,,
label,Verify of acceptance by,,,,,,,,,,
label,Symal Infrastructure: Key - H,,,,,,,,,,
textbox,Symal Infrastructure: Sign date,,,,,,,,,,
note,Shoalhaven City Council: Key - H,,,,,,,,,,
textbox,Shoalhaven City Council: Sign date,,,,,,,,,,
label,"Remarks / record (eg. test frequency, reports, certificates, checklist etc) - ",,,,,,,,,,
bool,Approved Earthworks Methodology,,,,,,,,,,
textbox,Doc No.,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,
section,2.0 Surface Excavation,,,,,,,,,,
checkpoint,2.1 - Erosion and sediment control,,,,,,,,,,
label,Ref docs - IFC Drawings,,,,,,,,,,
label,Acceptance criteria - Installed as per Erosion and Sediment Control Plans in the approved Activity Method Statement document.,,,,,,,,,,
button,Acceptance,"Yes,No,N/A",,,,,,,,,
label,Verify of acceptance by,,,,,,,,,,
label,Symal Infrastructure: Key - S,,,,,,,,,,
textbox,Symal Infrastructure: Sign date,,,,,,,,,,
checkpoint,2.2 - Clearing and Grubbing,,,,,,,,,,
label,Ref docs - IFC Drawings,,,,,,,,,,
label,Acceptance criteria - Completed as per ITP-001 and signed off.,,,,,,,,,,
button,Acceptance,"Yes,No,N/A",,,,,,,,,
label,Verify of acceptance by,,,,,,,,,,
label,Symal Infrastructure: Key - S,,,,,,,,,,
textbox,Symal Infrastructure: Sign date,,,,,,,,,,
label,"Remarks / record (eg. test frequency, reports, certificates, checklist etc) - ",,,,,,,,,,
bool,Completed ITP-001 ,,,,,,,,,,
textbox,Lot No.,,,,,,,,,,
checkpoint,2.3 - Working Platform & Temporary Batters,,,,,,,,,,
label,Ref docs - IFC Drawings,,,,,,,,,,
label,Acceptance criteria - Requirement for any working platform or temporary batter stabilisation assessed by Geotechnical Engineer and temporary work designed. Working platform or batter stabilisation then constructed in accordance with the temporary works design.,,,,,,,,,,
button,Acceptance,"Yes,No,N/A",,,,,,,,,
label,Verify of acceptance by,,,,,,,,,,
label,Symal Infrastructure: Key - W,,,,,,,,,,
textbox,Symal Infrastructure: Sign date,,,,,,,,,,
