type,name,values,prefix,postfix,usage count,user addable,template name,,,,
checklist,SYM-0388-ITP-003 Bored Piles [C],itp,,,,,SYM-0388-ITP-003 Bored Piles [C],,,,
section,1.0 Preliminaries,,,,,,,,,,
checkpoint,1.1 - Documentation,,,,,,,,,,
label,Ref docs - IFC Drawing,,,,,,,,,,
label,Acceptance criteria - Check that you have the latest site and engineering IFC drawings before starting each task/set of tasks.,,,,,,,,,,
button,Acceptance,"Yes,No,N/A",,,,,,,,,
label,Verification or test by,,,,,,,,,,
label,Symal Infrastructure: Key - S,,,,,,,,,,
textbox,Symal Infrastructure: Initial/date,,,,,,,,,,
checkpoint-no-status,1.1.1 - Lot Map,,,,,,,,,,
button,Lot map uploaded,"Yes,No,N/A",,,,,,,,,
checkpoint,1.2 - Safety measures and plans,,,,,,,,,,
label,Ref docs - Site Documents/ SWMS,,,,,,,,,,
label,"Acceptance criteria - Traffic Control Plan, Safety Plan, Environmental Management Plan, Symal Infrastructure Site Documents, Subcontractor SWMS.",,,,,,,,,,
button,Acceptance,"Yes,No,N/A",,,,,,,,,
label,Verification or test by,,,,,,,,,,
label,Symal Infrastructure: Key - S,,,,,,,,,,
textbox,Symal Infrastructure: Initial/date,,,,,,,,,,
checkpoint,1.3 - Excavation permit,,,,,,,,,,
label,Ref docs - Symal Infrastructure GPP ,,,,,,,,,,
label,"Acceptance criteria - Have services within the works area been identified and a group penetration permit covers the area, is current and signed onto by the works crew? Check underground and overheads services.",,,,,,,,,,
button,Acceptance,"Yes,No,N/A",,,,,,,,,
label,Verification or test by,,,,,,,,,,
label,Symal Infrastructure: Key - H,,,,,,,,,,
textbox,Symal Infrastructure: Initial/date,,H,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,
checkpoint,1.4 - Piling Plant and Equipment,,,,,,,,,,
label,Ref docs - TfNSW B59 Cl 3.3,,,,,,,,,,
label,Acceptance criteria - Details of the proposed piling equipment and method are submitted with certification.,,,,,,,,,,
button,Acceptance,"Yes,No,N/A",,,,,,,,,
label,Verification or test by,,,,,,,,,,
label,Symal Infrastructure: Key - H,,,,,,,,,,
textbox,Symal Infrastructure: Initial/date,,,,,,,,,,
note,Shoalhaven City Council: Key - H,,,,,,,,,,
textbox,Shoalhaven City Council: Sign date,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,
checkpoint,1.5 - Steel Reinforcement Material,,,,,,,,,,
label,"Ref docs - IFC Drawing, TfNSW B59 Cl 2.3",,,,,,,,,,
label,Acceptance criteria - Certification Authority for Reinforcing Steel (ACRS) Certificate Submitted. Material test certificate Submitted. ,,,,,,,,,,
button,Acceptance,"Yes,No,N/A",,,,,,,,,
label,Verification or test by,,,,,,,,,,
label,Symal Infrastructure: Key - S,,,,,,,,,,
textbox,Symal Infrastructure: Initial/date,,,,,,,,,,
note,Shoalhaven City Council: Key - W,,,,,,,,,,
textbox,Shoalhaven City Council: Sign date,,,,,,,,,,
label,"Remarks / record (eg. test frequency, reports, certificates, checklist etc) - Steel reinforcement for piles must conform to Specification TfNSW B80.",,,,,,,,,,
checkpoint,1.6 - Concrete Mix Design,,,,,,,,,,
label,"Ref docs - TfNSW B59 Cl 2.2, TfNSW B80 Annexure B80/G",,,,,,,,,,
label,"Acceptance criteria - Mix designs have been reviewed by the Superintendent. Use only self-compacting concrete or high workability concrete conforming to Annexure B80/G of TfNSW B80, as approved by the Principal.",,,,,,,,,,
button,Acceptance,"Yes,No,N/A",,,,,,,,,
label,Verification or test by,,,,,,,,,,
label,Symal Infrastructure: Key - S,,,,,,,,,,
textbox,Symal Infrastructure: Initial/date,,,,,,,,,,
note,Shoalhaven City Council: Key - H,,,,,,,,,,
textbox,Shoalhaven City Council: Sign date,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,
checkpoint,1.7 - Engineering Certification,,,,,,,,,,
label,Ref docs - TfNSW B59 Cl 3.4.1,,,,,,,,,,
label,"Acceptance criteria - Drawings and calculations certified by a Chartered Professional Geotechnical Engineer, verifying that under the proposed set up and site conditions, the proposed piling equipment and working platforms or supports will operate safely.",,,,,,,,,,
button,Acceptance,"Yes,No,N/A",,,,,,,,,
label,Verification or test by,,,,,,,,,,
label,Symal Infrastructure: Key - S,,,,,,,,,,
textbox,Symal Infrastructure: Initial/date,,,,,,,,,,
section,2.0 Bored Pile Excavation and Cleaning,,,,,,,,,,
checkpoint,2.1 - Set out,,,,,,,,,,
label,Ref docs - IFC Drawings,,,,,,,,,,
label,Acceptance criteria - Set out the site with adequate recovery pegs and survey markers so that the drilling and/or piling rig can be set up accurately at the specified location and aligned correctly for each pile.,,,,,,,,,,
button,Acceptance,"Yes,No,N/A",,,,,,,,,
label,Verification or test by,,,,,,,,,,
label,Symal Infrastructure: Key - S,,,,,,,,,,
textbox,Symal Infrastructure: Initial/date,,,,,,,,,,
note,Shoalhaven City Council: Key - H,,,,,,,,,,
textbox,Shoalhaven City Council: Sign date,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,
checkpoint,2.2 - Commencement of excavation of bored pile,,,,,,,,,,
label,Ref docs - TfNSW B59 Cl 4.1,,,,,,,,,,
label,Acceptance criteria - Bored pile Set out and any additional borehole required are completed. Borehole logs are submitted.,,,,,,,,,,
label,"• If not previously submitted, details of the following: ",,,,,,,,,,
label,(i) Extent of temporary casing or details of drilling fluids where proposed for each bored pile.,,,,,,,,,,
label,(ii) Method of placing concrete in the bored pile including size and number of any proposed tremie pipes (refer to Clause 6.5).,,,,,,,,,,
button,Acceptance,"Yes,No,N/A",,,,,,,,,
label,Verification or test by,,,,,,,,,,
label,Symal Infrastructure: Key - H,,,,,,,,,,
textbox,Symal Infrastructure: Initial/date,,,,,,,,,,
note,Shoalhaven City Council: Key - H,,,,,,,,,,
textbox,Shoalhaven City Council: Sign date,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,
checkpoint,2.3 - Temporary Casings,,,,,,,,,,
label,Ref docs - TfNSW B59 Cl 4.2,,,,,,,,,,
label,"Acceptance criteria - Drive or sink the temporary casing through any inferior materials, without damaging it, to seal its toe in the founding layer.",,,,,,,,,,
label,• Control the alignment of the casing with sufficient accuracy to ensure that the drilling head can be inserted and withdrawn without fouling against the casing.,,,,,,,,,,
button,Acceptance,"Yes,No,N/A",,,,,,,,,
label,Verification or test by,,,,,,,,,,
label,Symal Infrastructure: Key - S,,,,,,,,,,
textbox,Symal Infrastructure: Initial/date,,,,,,,,,,
checkpoint,2.4 - Drilling Fluids,,,,,,,,,,
label,Ref docs - TfNSW B59 Cl 4.3,,,,,,,,,,
label,Acceptance criteria - The drilling fluid is appropriate for the ground conditions and the groundwater at the site and the method of bored pile excavation.,,,,,,,,,,
button,Acceptance,"Yes,No,N/A",,,,,,,,,
label,Verification or test by,,,,,,,,,,
label,Symal Infrastructure: Key - S,,,,,,,,,,
textbox,Symal Infrastructure: Initial/date,,,,,,,,,,
checkpoint,2.5 - Bored Pile Excavation,,,,,,,,,,
label,Ref docs - TfNSW B59 Cl 4.4,,,,,,,,,,
label,Acceptance criteria - Record and measure the operating parameters of the drilling rig when excavating the bored pile.,,,,,,,,,,
button,Acceptance,"Yes,No,N/A",,,,,,,,,
label,Verification or test by,,,,,,,,,,
label,Symal Infrastructure: Key - S,,,,,,,,,,
textbox,Symal Infrastructure: Initial/date,,,,,,,,,,
checkpoint,2.6 - Excavated Spoil,,,,,,,,,,
label,Ref docs - TfNSW B59 Cl 3.5,,,,,,,,,,
label,Acceptance criteria - Removal all spoil off site during excavation works. Submission of methodology for any spoil stockpile and proposed cartage route and drop-off.,,,,,,,,,,
button,Acceptance,"Yes,No,N/A",,,,,,,,,
label,Verification or test by,,,,,,,,,,
label,Symal Infrastructure: Key - S,,,,,,,,,,
textbox,Symal Infrastructure: Initial/date,,,,,,,,,,
checkpoint,2.7 - Final Pile Toe Level,,,,,,,,,,
label,Ref docs - TfNSW B59 Cl 4.5.1,,,,,,,,,,
label,Acceptance criteria - Inspection of the footing material at pile toe level by Symal’s Geotechnical Engineer to ensure rock socket depth is achieved.,,,,,,,,,,
label,• Symal’s Geotechnical Engineer directs excavation of a bored pile to a level lower than shown on the Drawings?,,,,,,,,,,
label,• Principal accepted the level as the final pile toe level to satisfy design requirement?,,,,,,,,,,
button,Acceptance,"Yes,No,N/A",,,,,,,,,
textbox,Final Level:,,,,,,,,,,
label,Verification or test by,,,,,,,,,,
label,Symal Infrastructure: Key - S,,,,,,,,,,
textbox,Symal Infrastructure: Initial/date,,,,,,,,,,
note,Shoalhaven City Council: Key - H,,,,,,,,,,
textbox,Shoalhaven City Council: Sign date,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,
checkpoint,2.8 - Roughening Sides and Cleaning Bored Pile,,,,,,,,,,
label,Ref docs - TfNSW B59 Cl 4.5.2,,,,,,,,,,
label,Acceptance criteria - Roughen the side of the rock socket as specified. Remove debris and surface smear and expose intact rock over the side and base of the rock socket.,,,,,,,,,,
