resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,
,step,,,QA,,,,,,,,,
,step,,,,Level 1 (basement) QA,,,,,,,,
,step,,,,,Underslab drainage,,,,,,,
,step,,,,,,Checklist,,,,,Underslab Checklist,
,step,,,,,Waste & Stacks,,,,,,,
,step,,,,,,Checklist,,,,,Common Waste & Stack QA Check,
,step,,,,,Main Cold Water Reticulation,,,,,,,
,step,,,,,,Cold Water,,,,,,
,step,,,,,,,Checklist,,,,Main Cold Water QA Checklist,
,step,,,,,,,,,,,,
,step,,,,,,Hot Water,,,,,,
,step,,,,,,,Checklist,,,,Hot Water Main Checklist,
,step,,,,,,,,,,,,
,step,,,,,Sump Pump,,,,,,,
,step,,,,,,Checklist,,,,,Waste Pump Checklist,
,step,,,,,Apartment #'sB4 101,Checklist,First Fix,,,,,
,step,,,,,,,,Waste,,,,
,step,,,,,,,,,Checklist,,Apartment Waste QA Checklist,
,step,,,,,,,,Water,,,,
,step,,,,,,,,,Checklist,,Apartment Waste QA Checklist,
,step,,,,,,,Second Fix,,,,,
,step,,,,,,,,,Checklist,,Apartment Waste QA Checklist,
,step,,,,,,,,,,,,
,step,,,,,Hot Water Plant,,,,,,,
,step,,,,,,HOT WATER PLANT QA_TEST,,,,,HOT WATER PLANT QA_TEST,
,step,,,,,,,,,,,,
,step,,,,Level 2 (Ground) QA,,,,,,,,
,step,,,,,Waste & Stacks,,,,,,,
,step,,,,,,Checklist,,,,,Common Waste & Stack QA Check,
,step,,,,,,,,,,,,
,step,,,,,Main Water Reticulation,,,,,,,
,step,,,,,,Cold Water,,,,,,
,step,,,,,,,Checklist,,,,Main Cold Water QA Checklist,
,step,,,,,,Hot Water,,,,,,
,step,,,,,,,Checklist,,,,Hot Water Main Checklist,
,step,,,,,Apartments,,,,,,,
,step,,,,,,Apartment #'sB4 201 to B4 211,,,,,,
,step,,,,,,,First Fix,,,,,
,step,,,,,,,,Waste,,,,
,step,,,,,,,,,Checklist,,Apartment Waste QA Checklist,
,step,,,,,,,,Water,,,,
,step,,,,,,,,,Checklist,,Apartment Waste QA Checklist,
,step,,,,,,,Second Fix,,,,,
,step,,,,,,,,,Checklist,,Apartment Waste QA Checklist,
,step,,,,,,,,,,,,
,step,,,,,,,,,,,,
,step,,,,Level 3 QA,,,,,,,,
,step,,,,,Waste & Stacks,,,,,,,
,step,,,,,,Checklist,,,,,Common Waste & Stack QA Check,
,step,,,,,,,,,,,,
,step,,,,,Main Water Reticulation,,,,,,,
,step,,,,,,Cold Water,,,,,,
,step,,,,,,,Checklist,,,,Main Cold Water QA Checklist,
,step,,,,,,Hot Water,,,,,,
,step,,,,,,,Checklist,,,,Hot Water Main Checklist,
,step,,,,,,,,,,,,
,step,,,,,Apartments,,,,,,,
,step,,,,,,Apartment #'sB4 301 to B4 311,,,,,,
,step,,,,,,,First Fix,,,,,
,step,,,,,,,,Waste,,,,
,step,,,,,,,,,Checklist,,Apartment Waste QA Checklist,
,step,,,,,,,,Water,,,,
,step,,,,,,,,,Checklist,,Apartment Waste QA Checklist,
,step,,,,,,,Second Fix,,,,,
,step,,,,,,,,,Checklist,,Apartment Waste QA Checklist,
,step,,,,,,,,,,,,
,step,,,,Level 4 QA,,,,,,,,
,step,,,,,Waste & Stacks,,,,,,,
,step,,,,,,Checklist,,,,,Common Waste & Stack QA Check,
,step,,,,,,,,,,,,
,step,,,,,,,,,,,,
,step,,,,,Main Water Reticulation,,,,,,,
,step,,,,,,Cold Water,,,,,,
,step,,,,,,,Checklist,,,,Main Cold Water QA Checklist,
,step,,,,,,Hot Water,,,,,,
,step,,,,,,,Checklist,,,,Hot Water Main Checklist,
,step,,,,,,,,,,,,
,step,,,,,Apartments,,,,,,,
,step,,,,,,Apartment #'sB4 401 to B4 411,,,,,,
,step,,,,,,,First Fix,,,,,
,step,,,,,,,,Waste,,,,
,step,,,,,,,,,Checklist,,Apartment Waste QA Checklist,
,step,,,,,,,,Water,,,,
,step,,,,,,,,,Checklist,,Apartment Waste QA Checklist,
,step,,,,,,,Second Fix,,,,,
,step,,,,,,,,,Checklist,,Apartment Waste QA Checklist,
,step,,,TESTING & COMMISSIONING,,,,,,,,,
,step,,,,Level 1 (Basement) TEST,,,,,,,,
,step,,,,,Underslab drainage,,,,,,,
,step,,,,,,Test Sheet,,,,,,
,step,,,,,Waste & Stacks,,,,,,,
QA - Apartment Waste Test Sheet,step,,,,,,Test Sheet,,,,,,
,step,,,,,Main Cold Water Reticulation,,,,,,,
,step,,,,,,Cold Water Test Sheet,,,,,,
,step,,,,,,,,,,,,
,step,,,,,,,,,,,,
,step,,,,,,Hot Water Test Sheet,,,,,,
,step,,,,,,,,,,,,
,step,,,,,,,,,,,,
,step,,,,,Sump Pump,,,,,,,
,step,,,,,,Checklist,,,,,,
,step,,,,,Apartment #'sB4 101,Apartment Water Test Sheet,,,,,,
,step,,,,,,,,,,,,
,step,,,,,Hot Water Plant,,,,,,,
,step,,,,,,HOT WATER PLANT QA_TEST,,,,,,
,step,,,,,,,,,,,,
,step,,,,,,,,,,,,
,step,,,,Level 2 (Ground) TEST,,,,,,,,
,step,,,,,,,,,,,,
,step,,,,,Waste & Stacks,,,,,,,
,step,,,,,,Test Sheet,,,,,,
,step,,,,,Main Cold Water Reticulation,,,,,,,
,step,,,,,,Cold Water Test Sheet,,,,,,
,step,,,,,,,,,,,,
,step,,,,,,,,,,,,
,step,,,,,,Hot Water Test Sheet,,,,,,
,step,,,,,,,,,,,,
,step,,,,,,,,,,,,
,step,,,,,Apartments,,,,,,,
,step,,,,,,Apartment #'sB4 201 to B4 211,,,,,,
,step,,,,,,,Apartment Waste Test Sheet,,,,,
