Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Overall Progress,,,,,,
,Scope,,,Site QA,,
,Rows,,,,,
,,Hub Building - Ground,dynamic,Ground,Hub Building,Site QA
,,Hub Building - Level 1,dynamic,Level 1,Hub Building,Site QA
,,Production Workshop - Ground,dynamic,Ground,Production Workshop,Site QA
,,Production Workshop - Level 1,dynamic,Level 1,Production Workshop,Site QA
,,Covered Training Shelter,dynamic,Covered Training Shelter,Site QA,
,,Gatehouse,dynamic,Gatehouse,Site QA,
,,Bike Shed,dynamic,Bike Shed,Site QA,
,,Production Hall,dynamic,Production Hall,Site QA,
,,Paint Shop,dynamic,Paint Shop,Site QA,
,,Dangerous Goods Store,dynamic,Dangerous Goods Store,Site QA,
,,Rainfall Test,dynamic,Rainfall Test,Site QA,
,,Deep Water Test,dynamic,Deep Water Test,Site QA,
,,Longitude Test,dynamic,Longitude Test,Site QA,
,,Ancillary Slabs,dynamic,Ancillary Slabs,Site QA,
,Columns,,,,,
,,Formwork,,formwork,,
,,Reinforcing,,reinforcing,,
,,Concrete Pre-Pour,,concrete pre-pour,,
,,Concrete Post-Pour,,concrete post-pour,,
,,Pre-Excavation,,pre-excavation,,
,,Excavation,,excavation,,
,,Injured Workers Details,,injured workers details,,
,,Incident Details,,incident details,,
,,Treatment Details,,treatment details,,
,,Form Details,,form details,,
