"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"34ce5266-ba51-4493-ad1a-cfa5aaa7215e","","work-in-progress","","folder","TRUE","FALSE","Apartment Fit Out"
"fd67305f-2ebe-47bf-9e25-364bb26c26cb","","work-in-progress","Installation Checklist","checklist","FALSE","FALSE","Apartment Fit Out","WF07.1 - Thermal Casement Window"
"2528570b-ec53-4bf4-9e24-32275632c369","","work-in-progress","Installation Checklist","checklist","FALSE","FALSE","Apartment Fit Out","WF02.1 - Thermal Window"
"e231135a-2e8c-48b8-b1e3-60a015d59295","","work-in-progress","Installation Checklist","checklist","FALSE","FALSE","Apartment Fit Out","WF02.2 - Thermal Window"
"8930d3da-4b5c-4075-86e1-a59f7d86fdda","","work-in-progress","Installation Checklist","checklist","FALSE","FALSE","Apartment Fit Out","WF01.1 - Thermal Window"
"a07522bf-18a6-4c4d-890d-93ad0b0c95ae","","work-in-progress","Installation Checklist","checklist","FALSE","FALSE","Apartment Fit Out","WF01.2 - Thermal Awning Window"
"eeecfb0f-85e7-4feb-990a-a0c22e971be7","","work-in-progress","Installation Checklist","checklist","FALSE","FALSE","Apartment Fit Out","WF01.3 - Thermal Awning Window"
"294434c2-d28e-4b69-a5b1-462bce72d2f0","","not-started","Installation Checklist","checklist","FALSE","FALSE","Apartment Fit Out","DF04.2 - sash"
"2b590965-e511-4e58-a7a1-506ee6b0af25","","not-started","Installation Checklist","checklist","FALSE","FALSE","Apartment Fit Out","DF04.2 - Thermal French Hinged door"
"f88f3506-31f7-4d99-8ff9-1d16fca31af5","","work-in-progress","","folder","TRUE","FALSE","Apartment Fit Out","WF04.1 Sash"
"d9bc73d0-fac3-4a17-8311-a798241fee03","","work-in-progress","Installation Checklist","checklist","FALSE","FALSE","Apartment Fit Out","WF04.1 Sash","Installation Checklist"
"da799a70-0577-4003-a9cf-4e99a37729c4","","work-in-progress","Installation Checklist","checklist","FALSE","FALSE","Apartment Fit Out","WF06.1"
"b4c76db0-5b2b-4a22-af29-f35b777bfd40","","not-started","","folder","TRUE","FALSE","Consult Suite"
"668184d5-daa3-43f8-b094-410a51808b7b","","not-started","Installation Checklist","checklist","FALSE","FALSE","Consult Suite","EWO.5.02 / EDO5,01 - French Hinged Door"
"8b99a0f2-57e9-47cd-95d2-e361463eca4b","","work-in-progress","","folder","TRUE","FALSE","Franklin Medical Variation"
"7996c564-732c-4574-99d8-fdf7adcc1047","","not-started","Installation Checklist","checklist","FALSE","FALSE","Franklin Medical Variation","EWO.4.01 / EDO.4.01 - Thermal French Hinged door"
"bbaa4997-ef8f-481b-b4de-f353e32a6821","","work-in-progress","Installation Checklist","checklist","FALSE","FALSE","Franklin Medical Variation","EWO.4.04 - Thermal Window"
"9672cd03-10dc-4da5-b722-5ce2f78d27c7","","not-started","Installation Checklist","checklist","FALSE","FALSE","Franklin Medical Variation","EWO.4.05 / EDO.4.04 - Thermal French Hinged door"
"c1faa12d-7eed-4524-b676-af1d3160980e","","work-in-progress","Installation Checklist","checklist","FALSE","FALSE","Franklin Medical Variation","EWO.4.06 - Thermal Window"
"0eb42c11-ce0e-4856-8c6e-bcc77025add9","","not-started","Installation Checklist","checklist","FALSE","FALSE","Franklin Medical Variation","EWO.4.07 / EDO.4.02 - Thermal Hinged door"
"5255f39b-f66b-4775-bbf8-4e4e801e56c9","","not-started","Installation Checklist","checklist","FALSE","FALSE","Franklin Medical Variation","EWO.4.08 - Thermal Window"
"720705d3-2843-4f38-a365-c7c23ea30186","","not-started","Installation Checklist","checklist","FALSE","FALSE","Franklin Medical Variation","EWO.4.09 - Thermal Window"
"6f863e21-6a3c-498f-bfab-14f6c14b7901","","not-started","Installation Checklist","checklist","FALSE","FALSE","Franklin Medical Variation","EWO.4.10 - Thermal Window"
"54287fd5-725a-4977-8d26-91052f76406d","","not-started","Installation Checklist","checklist","FALSE","FALSE","Franklin Medical Variation","EDO.4.05 - Thermal Hinged door"
"ffc588e0-ebf4-4f76-b4ed-0df3ef0f57a1","","work-in-progress","Installation Checklist","checklist","FALSE","FALSE","Franklin Medical Variation","EWO.4.13 - Thermal Window"
"16ef6218-d9b5-490e-ab3c-de9346a7a8d2","","work-in-progress","Installation Checklist","checklist","FALSE","FALSE","Franklin Medical Variation","EWO.4.14 - Thermal Window"
"f78ee1af-2d62-4ef9-8ae9-e8e6c24b605b","","work-in-progress","Installation Checklist","checklist","FALSE","FALSE","Franklin Medical Variation","EWO.4.15 - Thermal WIndow"
"cfd3fdb0-9dbd-4c92-9f6b-55e681557ac8","","not-started","Installation Checklist","checklist","FALSE","FALSE","Franklin Medical Variation","EWO.4.16 / ED0.4.03 - FG with Auto doors"
"752afcb4-3e13-4a89-a477-78cf5883ef94","","work-in-progress","Installation Checklist","checklist","FALSE","FALSE","Franklin Medical Variation","EWO.4.17 - Thermal Window"
"d245b330-a450-4dd1-a1f5-54e3ac7d8018","","work-in-progress","Installation Checklist","checklist","FALSE","FALSE","Franklin Medical Variation","EWO.4.18 - Thermal Window"
"fc7a7a7f-8b69-4344-b624-6b4f28900b91","","work-in-progress","Installation Checklist","checklist","FALSE","FALSE","Franklin Medical Variation","EWO.4.19 - Thermal Window"
"9b3f506b-9c44-4334-97ab-bf0de5a7a99a","","not-started","Installation Checklist","checklist","FALSE","FALSE","Franklin Medical Variation","EDO.4.07 - Thermal Hinged door"
"3eb6441a-6988-409e-99ee-d37d4860110e","","not-started","Installation Checklist","checklist","FALSE","FALSE","Franklin Medical Variation","EWO.4.22 - Thermal Window"
"c61f0ea4-5735-4e09-afbe-e58ffb7975e5","","not-started","Installation Checklist","checklist","FALSE","FALSE","Franklin Medical Variation","EWO.4.23 - Thermal Window"
"21bdeef8-c3a4-4af6-a7dd-d432e8aea497","","not-started","Installation Checklist","checklist","FALSE","FALSE","Franklin Medical Variation","IDO.4. 05 - Thermal Hinged door"
"66f9039c-554c-4075-a818-89d2c12ec59e","","not-started","Installation Checklist","checklist","FALSE","FALSE","Franklin Medical Variation","EWO.5.01 - Thermal window"
"0300bcd4-a803-40ad-a77c-63ccf791525d","","not-started","Installation Checklist","checklist","FALSE","FALSE","Franklin Medical Variation","EWO.5.02 / EDO.5.01 - Thermal hinged HRO"
"a88a5de2-22d7-488c-9299-3950b1ad3b66","","not-started","Installation Checklist","checklist","FALSE","FALSE","Franklin Medical Variation","EWO.5.03 - Thermal Window"
"3f9445ed-76c9-45d1-97f2-a3afa9a402cb","","not-started","Installation Checklist","checklist","FALSE","FALSE","Franklin Medical Variation","EWO.5.04 - Thermal Window"
"ff26c311-287b-4e67-8f2f-71fabc673b0e","","not-started","Installation Checklist","checklist","FALSE","FALSE","Franklin Medical Variation","EWO.5.06 - Thermal Window"
"8074f149-9c59-4a57-bd5f-0323366788e0","","work-in-progress","Installation Checklist","checklist","FALSE","FALSE","Franklin Medical Variation","EWO.5.06 - Thermal Window"
"030c2ea1-e463-46cf-9b18-755940e0db1b","","work-in-progress","Installation Checklist","checklist","FALSE","FALSE","Franklin Medical Variation","EWO.5.07 - Thermal Window"
"de3c0722-c0d0-42a5-8bfe-7b4deee76fd1","","work-in-progress","Installation Checklist","checklist","FALSE","FALSE","Franklin Medical Variation","EWO.5.08 - Thermal Window"
"ddf08428-e667-46eb-bc1a-1d728ebffd86","","work-in-progress","Installation Checklist","checklist","FALSE","FALSE","Franklin Medical Variation","EW0.5.05"
"5a8236bf-f565-483a-9930-e6504ad6a4ce","","not-started","","folder","TRUE","FALSE","Franklin Medical Contract"
"25467a8b-c7f2-4471-b237-75b8999a2dee","","not-started","Installation Checklist","checklist","FALSE","FALSE","Franklin Medical Contract","Installation Checklist"
