"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"3ed6052e-8507-4755-91ca-e9fe7a3b391d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Stage 2 - THB 01"
"475912bc-dbb4-4554-a314-3d6862ed0430","","folder-normal","pass","","step","TRUE","FALSE","Stage 2 - THB 01","Project Build QA"
"b07dee81-c6d4-46c8-8e7c-13157155593f","","folder-normal","pass","","step","TRUE","FALSE","Stage 2 - THB 01","Project Build QA","TH 01"
"b6052377-a8e2-49d3-a80a-046ecc727c50","","checklist-flat","pass","QA - Timber - Framing (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 01","Project Build QA","TH 01","Timber Framing"
"55d606b9-c0ea-451d-83b0-6fd267003e48","","checklist-flat","pass","QA - Trusses (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 01","Project Build QA","TH 01","Trusses"
"e27016f2-de9e-4a8a-8068-620e5ef8d6bd","","checklist-flat","pass","QA - External Envelope (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 01","Project Build QA","TH 01","External Envelope"
"eb600487-95b6-418a-b35b-90e14bfebc11","","checklist-flat","pass","QA - Windows & Sliders (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 01","Project Build QA","TH 01","Windows & Sliders"
"22f2a5b0-7486-4818-8409-53454c8545cb","","checklist-flat","pass","QA -  Skirting and Architrave (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 01","Project Build QA","TH 01","Skirting and Architrave"
"5444a78f-e3f4-4f1f-b809-5db8215f1b68","","checklist-flat","pass","QA - Hardware Installation - First fix preparation (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 01","Project Build QA","TH 01","Hardware Installation - First fix preparation"
"157eeae9-cb48-4e4d-8a4c-b7c93fb4c52d","","checklist-flat","pass","QA - Internal Doors (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 01","Project Build QA","TH 01","Internal Doors"
"0d3040ab-3872-41af-8d5e-b80f7d12d947","","checklist-flat","pass","QA - Handrails  (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 01","Project Build QA","TH 01","Handrails"
"cfc202d0-81e7-4f72-97db-359659f36e38","","checklist-flat","pass","QA - Bathroom Checks (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 01","Project Build QA","TH 01","Bathroom Checks"
"2d2fea26-80c9-4e38-9c74-9e5bfa52af0c","","checklist-flat","pass","QA - Flat Roofs & Gutter (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 01","Project Build QA","TH 01","Flat Roofs & Gutter"
"ab383eec-51b7-4a11-83ed-287479c9502d","","folder-normal","pass","","step","TRUE","FALSE","Stage 2 - THB 01","Project Build QA","TH 02"
"9a48c980-2f65-419a-b51a-90b0aa239f78","","checklist-flat","pass","QA - Timber - Framing (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 01","Project Build QA","TH 02","Timber Framing"
"39c4812f-bdd3-4ceb-8375-f950d5971f72","","checklist-flat","pass","QA - Trusses (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 01","Project Build QA","TH 02","Trusses"
"45777f73-5922-4ef0-a07c-f8573a58df74","","checklist-flat","pass","QA - External Envelope (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 01","Project Build QA","TH 02","External Envelope"
"734c9468-e815-41cd-a78c-84511e738b6a","","checklist-flat","pass","QA - Windows & Sliders (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 01","Project Build QA","TH 02","Windows & Sliders"
"0a9936f8-487d-47f6-9196-7e391d4325b1","","checklist-flat","pass","QA -  Skirting and Architrave (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 01","Project Build QA","TH 02","Skirting and Architrave"
"0cc56c94-51fc-474c-83bf-f94c11754bea","","checklist-flat","pass","QA - Hardware Installation - First fix preparation (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 01","Project Build QA","TH 02","Hardware Installation - First fix preparation"
"3538ff47-d345-4988-96e7-6fae4493a2a8","","checklist-flat","pass","QA - Internal Doors (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 01","Project Build QA","TH 02","Internal Doors"
"80989fb4-6b5a-40e5-b365-42f9d9b80f58","","checklist-flat","pass","QA - Handrails  (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 01","Project Build QA","TH 02","Handrails"
"f7cbd958-e9fa-40ed-b599-c27ad42c6272","","checklist-flat","pass","QA - Bathroom Checks (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 01","Project Build QA","TH 02","Bathroom Checks"
"46f81ef9-8f5d-4c64-a3eb-8d628c2011cd","","checklist-flat","pass","QA - Flat Roofs & Gutter (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 01","Project Build QA","TH 02","Flat Roofs & Gutter"
"81bae0f6-4105-4fac-8722-722ba91da547","","checklist-flat","not-started","Compliance Documentation (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 01","Compliance Documentation"
"e2f616d2-4617-416c-8eeb-3a39f3557684","","folder-normal","pass","","step","TRUE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12"
"10f644b3-a601-46f1-9977-ed217396d183","","checklist-sectioned","pass","9bf1b3c1259c1701f1818e8019030a4ba45d20eaf87e511f2ca9afb9ce13adc1","checklist","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Pre-Commencement Checks"
"f9407ebb-7f08-41aa-9779-e2cead9c9a9a","","folder-normal","pass","","step","TRUE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA"
"059aaef0-7bd0-4f40-b6f6-9989c0867717","","folder-normal","pass","","step","TRUE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 02"
"fcd9ac3b-bb94-48a8-b9de-7abd1ae50321","","folder-normal","pass","","step","TRUE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 02","TH 03"
"5d89c21b-a081-4500-a04e-a0e4cf98e8b3","","checklist-flat","pass","QA - Timber - Framing (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 02","TH 03","Timber Framing"
"28863522-98fd-4e8d-95c6-2ba04e6b598a","","checklist-flat","pass","QA - Trusses (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 02","TH 03","Trusses"
"e0050f7c-5c95-4963-8d1f-37419ccb9dc4","","checklist-flat","pass","QA - External Envelope (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 02","TH 03","External Envelope"
"ecbe9099-a191-4c32-a067-6d6e5e562c33","","checklist-flat","pass","QA - Windows & Sliders (V2)","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 02","TH 03","Windows & Sliders"
"8cc84c32-a6ba-414f-a7b8-56c0532baad5","","checklist-flat","pass","QA -  Skirting and Architrave (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 02","TH 03","Skirting and Architrave"
"5f787db2-d76b-4870-ae2c-b65d927c2b1f","","checklist-flat","pass","QA - Hardware Installation - First fix preparation (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 02","TH 03","Hardware Installation - First fix preparation"
"59c7b991-48a6-4577-8b67-dc545f5b5ca4","","checklist-flat","pass","QA - Internal Doors (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 02","TH 03","Internal Doors"
"b03a09d9-ee61-44f5-be08-0057e1da220f","","checklist-flat","pass","27a2101523c43b27560e3bc490e6d5ad6ae8343bcd5693ecbabe3843281e4ee2","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 02","TH 03","Handrails"
"7c90bc78-4ae4-4c21-8994-47963c2fdb00","","checklist-flat","pass","QA - Bathroom Checks (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 02","TH 03","Bathroom Checks"
"5fb87ed9-e5d7-4b19-b160-672c88ba0f67","","folder-normal","pass","","step","TRUE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 02","TH 04"
"83058bd1-f445-4b1f-9ffb-a3ecd6102ba5","","checklist-flat","pass","QA - Timber - Framing (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 02","TH 04","Timber Framing"
"a1952321-7fb4-49c7-a8a6-70d8c4609f7d","","checklist-flat","pass","QA - Trusses (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 02","TH 04","Trusses"
"8fa1cf7f-be26-434e-8993-5ad5abced591","","checklist-flat","pass","QA - External Envelope (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 02","TH 04","External Envelope"
"ce8aff86-f4a5-4007-9f39-c7a468b1e748","","checklist-flat","pass","QA - Windows & Sliders (V2)","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 02","TH 04","Windows & Sliders"
"da537f89-8f83-41ad-bb13-46ae3c71ff09","","checklist-flat","pass","QA -  Skirting and Architrave (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 02","TH 04","Skirting and Architrave"
"918f7d1c-b3f3-40fe-a40d-1d129cc54c25","","checklist-flat","pass","QA - Hardware Installation - First fix preparation (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 02","TH 04","Hardware Installation - First fix preparation"
"b95b38d3-9353-495c-a0f2-4a82f7f778bc","","checklist-flat","pass","QA - Internal Doors (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 02","TH 04","Internal Doors"
"f90ac7c0-e128-4f6b-bd1d-08b8dba21509","","checklist-flat","pass","27a2101523c43b27560e3bc490e6d5ad6ae8343bcd5693ecbabe3843281e4ee2","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 02","TH 04","Handrails"
"b604d82d-55bc-4e6e-9d35-e76990cb2f28","","checklist-flat","pass","QA - Bathroom Checks (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 02","TH 04","Bathroom Checks"
"d99330d0-09f3-415f-8260-e2fc3a452eeb","","folder-normal","pass","","step","TRUE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 02","TH 05"
"25ffe095-a259-4c03-9ca6-9e7759496939","","checklist-flat","pass","QA - Timber - Framing (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 02","TH 05","Timber Framing"
"ad5fafd8-d6c8-450a-bb86-9eac4e0ef4c0","","checklist-flat","pass","QA - Trusses (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 02","TH 05","Trusses"
"cbaf065c-7cca-4a4e-a46e-792da1e014ce","","checklist-flat","pass","QA - External Envelope (V1)","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 02","TH 05","External Envelope"
"d22a0143-4c8d-4223-ba56-5dec9e0bf74e","","checklist-flat","pass","QA - Windows & Sliders (V2)","checklist-flat","FALSE","FALSE","Stage 2 - THB 02, 03, 04, 05, 10, 12","Project Build QA","THB 02","TH 05","Windows & Sliders"
