type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,,
checklist,ITP-063-CIV-CPD- Hot Mix Asphalt (Supply and Install),itp,,,,Yes,ITP-063-CIV-CPD- Hot Mix Asphalt (Supply and Install) Rev 0,,,,,,,,,,,
section,1. Referenced Documentation,,,,,,,,,,,,,,,,,
checkpoint-no-status,1. Referenced Documentation,,,,,,,,,,,,,,,,,
label,Document Title: ITP-CIV-CPD-Hot Mix Asphalt (Supply and Install),,,,,,,,,,,,,,,,,
label,ITP Description: Hot Mix Asphalt (Supply and Install),,,,,,,,,,,,,,,,,
label,Document Number (in Teambinder): MRP-0000-MRPA-ALT-ITP-00XX,,,,,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): CIV-CPD,,,,,,,,,,,,,,,,,
label,Revision Number: 0,,,,,,,,,,,,,,,,,
label,Revision Date: 22/08/2023,,,,,,,,,,,,,,,,,
label,ITP created by: Ahmed ABDELSALAM,,,,,,,,,,,,,,,,,
label,ITP approved for use by: Pradeep TALASILA,,,,,,,,,,,,,,,,,
checkpoint,1.1 - Non Dependent,,,,,,,,,,,,,,,,,
label,"Reference - IFC Drawings Vic Roads 407, Vic Roads 404, Vic Roads 417 AS2150",,,,,,,,,,,,,,,,,
section,2. Preliminary Works,,,,,,,,,,,,,,,,,
checkpoint,2.1 - Mix Design & Trackless Tack Coat Approval,,,,,,,,,,,,,,,,,
label,"Reference - 407.09, 407.08(d) Mix Design Registration",,,,,,,,,,,,,,,,,
label,"Acceptance Criteria - Mix design and trackless tack coat to be used has been approved by project superintendent, prior to use",,,,,,,,,,,,,,,,,
label,Method - Approval Correspondance,,,,,,,,,,,,,,,,,
label,Frequency - Prior to commencing paving,,,,,,,,,,,,,,,,,
label,Category - HP,,,,,,,,,,,,,,,,,
label,Responsibility - Project Engineer/ Supervisor,,,,,,,,,,,,,,,,,
label,Verifying Documents - Completed ITP,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,
textbox,Team Binder Approval Number,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,
checkpoint,2.2 - Asphalt Placement and Lot Plan,,,,,,,,,,,,,,,,,
label,Reference - Section 407.17,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Asphalt placement and Lot plan to be created prior to commencement of works.,,,,,,,,,,,,,,,,,
label,○ The location of all joints shall be planned before work commences to achieve the specified offsets between layers and the final position of joints in the wearing course.,,,,,,,,,,,,,,,,,
label,"○ Plan to specify start/end chainage, offset/lane and layer.",,,,,,,,,,,,,,,,,
label,Method - Verify,,,,,,,,,,,,,,,,,
label,Frequency - Each lot,,,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,,,
label,Responsibility - Site Engineer/ Asphalt Supervisor,,,,,,,,,,,,,,,,,
label,Verifying Documents - Daily Lot Record,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,
checkpoint,2.3 - Site Inspection and Base Condition,,,,,,,,,,,,,,,,,
label,Reference - 407.17 AS2150 10.1 AS2150 10.3,,,,,,,,,,,,,,,,,
label,"Acceptance Criteria - Surface on which asphalt is to be placed is essentially dry and free from puddles, defects (holes, cracks, unstable material and edge irregularities) and loose materials.",,,,,,,,,,,,,,,,,
label,Method - Visual Inspection,,,,,,,,,,,,,,,,,
label,Frequency - Prior to commencing paving,,,,,,,,,,,,,,,,,
label,Category - WP,,,,,,,,,,,,,,,,,
label,Responsibility - Asphalt Supervisor,,,,,,,,,,,,,,,,,
label,Verifying Documents - Completed ITP,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,
textbox,Team Binder Approval Number,,,,,,,,,,,,,,,,,
checkpoint,2.4 - Ambient Conditions for Placing,,,,,,,,,,,,,,,,,
label,Reference - 407.17,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - The majority of the surface area to be paved has a temperature greater than or equal to the following:,,,,,,,,,,,,,,,,,
label,○ Base & Intermediate Courses: 5°C for conventional binders or 10°C for PMBs & Class 600,,,,,,,,,,,,,,,,,
label,○ Wearing Courses:  10°C for conventional binders or 15°C for PMBs,,,,,,,,,,,,,,,,,
label,"○ Where the above temperatures cannot be achieved, asphalt must be laid under the ""Fulton Hogan Cold Weather Paving Plan""",,,,,,,,,,,,,,,,,
label,Method - Infrared Thermometer,,,,,,,,,,,,,,,,,
label,Frequency - Prior to commencing Paving,,,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,,,
label,Responsibility - Asphalt Supervisor,,,,,,,,,,,,,,,,,
label,Verifying Documents - Completed ITP,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,
textbox,Team Binder Approval Number,,,,,,,,,,,,,,,,,
checkpoint,2.5 - Planning of Joints,,,,,,,,,,,,,,,,,
label,Reference - 407.21,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Runs to be marked to ensure placement of all Longitudinal Joints satisfy the following unless otherwise approved by the Client: Transverse Joints Offset from layer to layer by at least 2m Longitudinal Joints for the final Wearing Course are located on lane lines,,,,,,,,,,,,,,,,,
label,"○ Longitudinal Joints for Intermediate and Base Layers offset from layer to layer by 150mm, and no more than 300mm from lane lines.Where new pavement abuts an existing full depth asphalt pavement, the existing pavement shall be removed in steps to achieve an offset from layer to layer of not less than 150 mm.",,,,,,,,,,,,,,,,,
label,"○ At the wearing surface where the new and existing pavement join, a hot applied bituminous crack sealant shall be applied.",,,,,,,,,,,,,,,,,
label,Method - Measure and mark out runs by tape measure or survey,,,,,,,,,,,,,,,,,
label,Frequency - Prior to commencing paving,,,,,,,,,,,,,,,,,
label,Category - WP,,,,,,,,,,,,,,,,,
label,Responsibility - PE FHC,,,,,,,,,,,,,,,,,
label,Verifying Documents - Completed ITP,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,
checkpoint,2.6 - Tack Coat,,,,,,,,,,,,,,,,,
label,Reference - 407.19 AS2150 11,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - Tack coat to be sprayed in a uniform film over the surface to be paved at a rate of 0.15-0.30 L/m2. This rate is to be doubled on joints and chases.,,,,,,,,,,,,,,,,,
label,○ Tack coat must be allowed to fully cure.,,,,,,,,,,,,,,,,,
label,"NOTE: Tack coat is not required on clean, freshly placed asphalt or primed surfaces Photographical evidence must be obtained (with an identifiable landmark)",,,,,,,,,,,,,,,,,
label,"*from 1st July 2023, ""trackless Tack Coat"" must be used",,,,,,,,,,,,,,,,,
label,Method - Spray area and inspect,,,,,,,,,,,,,,,,,
label,Frequency - Prior to Commencing paving,,,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,,,
label,Responsibility - Asphalt Foreman,,,,,,,,,,,,,,,,,
label,Verifying Documents - Completed ITP,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,
checkpoint,2.7 - Submission of Primer Material documents (if applicable),,,,,,,,,,,,,,,,,
label,"Reference -  408.08 c, e",,,,,,,,,,,,,,,,,
label,"Acceptance Criteria - The primer shall be cutback bitumen complying with the requirements of clause 408.08(c) and shall be water resistant, of uniform appearance and capable of providing a strong bond between the bituminous surfacing and the pavement. ",,,,,,,,,,,,,,,,,
label,Method - Document Review,,,,,,,,,,,,,,,,,
label,Frequency - Prior to commencing works,,,,,,,,,,,,,,,,,
label,Category - HP*,,,,,,,,,,,,,,,,,
label,Responsibility - Site Engineer/Project Engineer,,,,,,,,,,,,,,,,,
label,Verifying Documents - Conformance Certificate uploaded to TeamBinder,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,
textbox,Team Binder Approval Number,,,,,,,,,,,,,,,,,
checkpoint,2.8 - Application Rates for Primer (if applicable),,,,,,,,,,,,,,,,,
label,Reference -  408.13 a,,,,,,,,,,,,,,,,,
label,"Acceptance Criteria - At least one week prior to the commencement of work, the Contractor shall submit the initial design rates of application for bituminous material, aggregate, and rates for pre-treatment for review by the Superintendent",,,,,,,,,,,,,,,,,
label,Method - Document Review,,,,,,,,,,,,,,,,,
label,Frequency - Prior to commencing works,,,,,,,,,,,,,,,,,
label,Category - HP,,,,,,,,,,,,,,,,,
label,"Responsibility - Site Engineer, NA",,,,,,,,,,,,,,,,,
label,Verifying Documents - Application Rates uploaded to TeamBinder,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,
textbox,Team Binder Approval Number,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,
section,3. Asphalt Placement Works,,,,,,,,,,,,,,,,,
checkpoint,3.1 - Commencement of placing,,,,,,,,,,,,,,,,,
label,Reference - 407.23,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - The placement of asphalt on the sub-base or granular base for a new pavement or for an overlay of an existing bituminous surfaced pavement shall not commence until the consent to proceed is obtained from the Client's nominated authority.,,,,,,,,,,,,,,,,,
label,Method - Visual Inspection,,,,,,,,,,,,,,,,,
label,Frequency - Prior to Commencing paving,,,,,,,,,,,,,,,,,
label,Category - HP,,,,,,,,,,,,,,,,,
label,Responsibility - Asphalt Supervisor / Superintendent,,,,,,,,,,,,,,,,,
label,Verifying Documents - Completed ITP,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,,,,
checkpoint,3.2 - Delivery of Mix,,,,,,,,,,,,,,,,,
label,Reference - Pavement Design Details 407.20,,,,,,,,,,,,,,,,,
label,Acceptance Criteria - The majority of the surface area to be paved has a temperature greater than or equal to the following: ,,,,,,,,,,,,,,,,,
label,○ Base & intermediate courses: 5ºC for conventional binders or 10ºC for PMBs & Class 600,,,,,,,,,,,,,,,,,
label,○ Wearing Course: 10ºC for conventional binders or 15ºC for PMBs,,,,,,,,,,,,,,,,,
label,"○ Where the above temperatures cannot be achieved , asphalt must be laid under the ""Fulton Hogan Cold Weather Placement Management Plan""",,,,,,,,,,,,,,,,,
label,Method - Check aspahlt delivery docket,,,,,,,,,,,,,,,,,
label,Frequency - Each lot,,,,,,,,,,,,,,,,,
label,Category - IP,,,,,,,,,,,,,,,,,
label,Responsibility - Asphalt Foreman,,,,,,,,,,,,,,,,,
label,Verifying Documents - Completed ITP,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,
checkpoint,3.3 - Delivery of Mix,,,,,,,,,,,,,,,,,
label,Reference - 407.11 Table 407.111,,,,,,,,,,,,,,,,,
label,"Acceptance Criteria - Asphalt is not segregated, binder is not separated or does not contain uncoated particles and the temperature from mixing plant is not more than 175°C.",,,,,,,,,,,,,,,,,
