"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Seismic Suite (non curtain wall) Checklist Progress"
,"Scope",,
,"Rows"
,,"W0.9.1",,"w0.9.1"
,,"W0.9.3",,"w0.9.3"
,,"W0.9.5",,"w0.9.5"
,,"W0.9.2",,"w0.9.2"
,,"W0.9.4",,"w0.9.4"
,,"W0.9.6",,"w0.9.6"
,,"W0.01.1",,"w0.01.1"
,,"W0.01.2",,"w0.01.2"
,,"W1.01.1",,"w1.01.1"
,,"W1.01.2",,"w1.01.2"
,,"W1.01.3",,"w1.01.3"
,,"W1.02.1",,"w1.02.1"
,,"W0.17.1",,"w0.17.1"
,"Columns"
,,"Opening Prepared, Wrapped & Datums",,"opening prepared, wrapped & datums"
,,"Seismic Installed As Per Shop Drawings",,"seismic installed as per shop drawings"
,,"Splicers & Soakers Sealed (provide photo reference)",,"splicers & soakers sealed (provide photo reference)"
,,"Panel Fitted & Locked Off",,"panel fitted & locked off"
,,"Airseal and Internal Flashings (Photo)",,"airseal and internal flashings (photo)"
,,"External Flashings / Weather Seals / Drainage",,"external flashings / weather seals / drainage"
,,"Site Glazing Completed",,"site glazing completed"
,,"Trade Clean",,"trade clean"
,,"Wights - Sign Off",,"wights - sign off"

"Commercial/Domestic Checklist Progress"
,"Scope",,
,"Rows"
,,"W0.02.1 - D0.02.1",,"w0.02.1 - d0.02.1"
,,"W0.02.2 - D0.02.2",,"w0.02.2 - d0.02.2"
,,"W0.23.1 - D0.23.1",,"w0.23.1 - d0.23.1"
,,"W0.23.2 - D0.23.2",,"w0.23.2 - d0.23.2"
,,"DT15",,"dt15"
,"Columns"
,,"Opening Wraped & Prepared Correctly",,"opening wraped & prepared correctly"
,,"External Flashings / Weather Seals As Per Shop Drawing",,"external flashings / weather seals as per shop drawing"
,,"Installed / Fixed As Per Shop Drawings",,"installed / fixed as per shop drawings"
,,"Airseals Completed (photo)",,"airseals completed (photo)"
,,"Site Glazing Completed",,"site glazing completed"
,,"Trade Clean & Sign off",,"trade clean & sign off"

"Skylight Checklist Progress"
,"Scope",,
,"Rows"
,,"W1.02.2",,"w1.02.2"
,"Columns"
,,"Opening Wraped & Prepared Correctly",,"opening wraped & prepared correctly"
,,"Roof frame Installed / Fixed As Per Shop Drawings",,"roof frame installed / fixed as per shop drawings"
,,"Airseal and Internal Flashings",,"airseal and internal flashings"
,,"External Flashings / Weather Sealas ( Provide photo reference)",,"external flashings / weather sealas ( provide photo reference)"
,,"Site Glazing Completed",,"site glazing completed"
,,"Trade Clean",,"trade clean"
,,"Wights - Sign Off",,"wights - sign off"

