"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9cfacfed-d8cc-4ccf-a506-bca445eff534","","folder-normal","work-in-progress","","step","TRUE","FALSE","Nellie Melba "
"5a2ad7f2-81be-4795-8208-088aeddfda3e","","checklist-flat","pass","Main Building & Townhouse Spiderproofing","checklist-flat","FALSE","FALSE","Nellie Melba ","Spider Control  1A & B, 2A, B, C, 3"
"beb5548a-57e6-5011-bd82-143e7d4c1075","","checkpoint-status","pass","","","TRUE","TRUE","Nellie Melba ","Spider Control  1A & B, 2A, B, C, 3","Scope area & notes"
"e5552eab-60cd-5000-9950-c05d265b2a49","","checkpoint-status","pass","","","TRUE","TRUE","Nellie Melba ","Spider Control  1A & B, 2A, B, C, 3","Continuous application of the spiderproofing product by Sprayer to the areas as described"
"376efd20-9a59-49b0-9966-1f728244f3c5","","checklist-flat","pass","Main Building Brickwork Washdown","checklist-flat","FALSE","FALSE","Nellie Melba ","Brickwork Washdown"
"82b2c330-326a-5e20-b374-6fa3fa7a155e","","checkpoint-status","pass","","","TRUE","TRUE","Nellie Melba ","Brickwork Washdown","Scope area & notes"
"b26b3952-ec0b-5fdd-b164-50ca8d8d6bd8","","checkpoint-status","pass","","","TRUE","TRUE","Nellie Melba ","Brickwork Washdown","Surface clean and free of loose detritus material"
"046ba188-f920-592c-a9d3-54c276d1fb30","","checkpoint-status","pass","","","TRUE","TRUE","Nellie Melba ","Brickwork Washdown","Moss and Mould removed"
"7dc0a9cf-8061-472d-8894-42507d02f1db","","checklist-flat","not-started","Main Building Plaster Wall Washdowns","checklist-flat","FALSE","FALSE","Nellie Melba ","Main Building Plaster Wall Washdowns"
"5a43c7b0-37c9-541c-bccd-ea5a5247de54","","checkpoint-status","not-started","","","TRUE","TRUE","Nellie Melba ","Main Building Plaster Wall Washdowns","Scope area & notes"
"84aad942-e9ec-5b28-9901-e6be5942e447","","checkpoint-status","not-started","","","TRUE","TRUE","Nellie Melba ","Main Building Plaster Wall Washdowns","Surface clean and free of loose detritus material"
"cb01140d-afe5-51f8-97ba-053f0e5a47af","","checkpoint-status","not-started","","","TRUE","TRUE","Nellie Melba ","Main Building Plaster Wall Washdowns","Moss and Mould removed"
"3ebee798-004a-5d83-9a19-e1ff99885f9b","","checkpoint-status","not-started","","","TRUE","TRUE","Nellie Melba ","Main Building Plaster Wall Washdowns","On a Full Plaster Village (please see scope/notes) the fascia, soffit and external guttering"
"8fc18ecc-71ac-43b5-a08b-d83aa7df0a55","","checklist-flat","pass","Path Treatments & Lamp Cleaning","checklist-flat","FALSE","FALSE","Nellie Melba ","Path Treatments & Lamp Cleaning"
"19aade48-6b86-5968-8e5c-1203ab20248c","","checkpoint-status","pass","","","TRUE","TRUE","Nellie Melba ","Path Treatments & Lamp Cleaning","Scope area & notes"
"7ac448e6-d6c1-5a36-b3a0-7ba0e3a20bc0","","checkpoint-status","pass","","","TRUE","TRUE","Nellie Melba ","Path Treatments & Lamp Cleaning","Paths should be fully cover with the Wet and Leave Product"
"b6fb3bfb-309d-512e-95d4-d22b373225fb","","checkpoint-status","pass","","","TRUE","TRUE","Nellie Melba ","Path Treatments & Lamp Cleaning","Lamps cleaned with a wet broom to remove spider webs and dirt"
"b0f7961a-3807-4c34-a942-cbf3bd27c053","","checklist-flat","not-started","Australian Exterior Window Wash","checklist-flat","FALSE","FALSE","Nellie Melba ","Australian Exterior Window Wash - 1A & B, 2A, B, C, 3"
"7e70db2d-230e-5466-b45b-457648d4ec84","","checkpoint-status","not-started","","","TRUE","TRUE","Nellie Melba ","Australian Exterior Window Wash - 1A & B, 2A, B, C, 3","Window washed down with purified water"
"72a5b48f-4e81-5e50-8bdc-2e0988f8449c","","checkpoint-status","not-started","","","TRUE","TRUE","Nellie Melba ","Australian Exterior Window Wash - 1A & B, 2A, B, C, 3","Any damage or visual scratches"
"eb85b933-91f3-407b-908b-8e309f4733d0","","checklist-flat","pass","Australian Interior Window Wash","checklist-flat","FALSE","FALSE","Nellie Melba ","Australian Interior Window Wash -1A & B, 2A, B, C, 3"
"be82f42c-b2d0-5f3c-a369-44ba48d7ff2c","","checkpoint-status","pass","","","TRUE","TRUE","Nellie Melba ","Australian Interior Window Wash -1A & B, 2A, B, C, 3","Fly screens removed, washed and reinstalled"
"2d904ce9-7602-532c-96ff-892ed822bd6a","","checkpoint-status","pass","","","TRUE","TRUE","Nellie Melba ","Australian Interior Window Wash -1A & B, 2A, B, C, 3","Windows washed, bladed and sills wiped"
"376998e2-9c73-5d5a-9bc2-bc0d9e83908c","","checkpoint-status","not-applicable","","","TRUE","TRUE","Nellie Melba ","Australian Interior Window Wash -1A & B, 2A, B, C, 3","Any damage or visual scratches"
"f076d71d-5950-4563-9df4-4262e71b560f","","checklist-flat","pass","Australian Window Cleaning - Sign Off","checklist-flat","FALSE","FALSE","Nellie Melba ","Australian Window Cleaning - sign off - 1A & B, 2A, B, C, 3"
