Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id,,
checklist-sectioned,0919da16-212d-4b8c-ba15-91389140996e,,checklist,Ductwork,,,,13,Yes,Ductwork,12397304-ce3b-40d8-9b75-a0d12f90021a,,
checkpoint-group,4a5ae196-555c-4941-8268-ace97e8815fb,,section,Ductwork,,,,,,,,,
checkpoint-status,240ee964-b467-458c-b180-b452c9ec72b5,,checkpoint,All solid ductwork installed as per drawings.,,,,,,,,,
checkpoint-status,5769c45d-fbbe-420b-abef-ec54d1bfa892,,checkpoint,Blank end installed,,,,,,,,,
checkpoint-status,e6c2c1be-902e-4ed4-9418-2abbec523da1,,checkpoint,Grilles/louvres installed,,,,,,,,,
,,,,,,,,,,,,,
checklist-sectioned,f4ba1c00-a7b6-4a71-9b0d-6d30be55ca57,,checklist,Roof Cowl (RC),,,,9,Yes,Roof Cowl (RC),22c509c8-918d-435f-a463-7a3f223dbb57,,
checkpoint-group,e46b8059-3cb0-459d-a5fd-b0bb0023d978,,section,Roof Cowl (RC),,,,,,,,,
checkpoint-status,e5b78c47-894a-49b4-ac31-1e5a42b1661c,,checkpoint,"RC Model Number correct, installed & RC Labelled",,,,,,,,,
,,,,,,,,,,,,,
checklist-sectioned,0ff947c0-24b1-4168-b933-23d0b31b17b3,,checklist,Cassette Rough In,,,,1,Yes,Cassette Rough In,28ea817e-5d30-4396-a39d-1a5ddfe19dda,,
checkpoint-group,26d6ebd0-3f79-4008-a19f-d0f52b621665,,section,Rough In.,,,,,,,,,
checkpoint-status,1bd604a8-c582-4fa8-abec-fb7513ed56a8,,checkpoint,Unit Model Number correct & Labelled with a clear photo of Both Model & Serial Numbers,,,,,,,,,
checkpoint-status,b16dcb3b-b512-4991-83e2-3d66a1ede3bf,,checkpoint,vibration mounts installed,,,,,,,,,
checkpoint-status,235ab060-567c-4b36-bb36-dd26ad765f15,,checkpoint,Condensate drain installed including hose clamps,,,,,,,,,
checkpoint-status,995eed16-f24a-46b2-9ce7-f01468d3c60a,,checkpoint,Refrigeration pipework installed including insulation over flare nuts,,,,,,,,,
checkpoint-status,134570b9-36a4-4872-a024-4be0b5926afc,,checkpoint,(Fit-Off) Fascia fitted square and plugged loom connected,,,,,,,,,
,,,,,,,,,,,,,
checklist-sectioned,d9460854-5d5f-443f-9d3c-e3c88029f12d,,checklist,Refrigeration Pipe,,,,20,Yes,Refrigeration Pipe,63dd5750-1a23-4bec-91b8-ecc3fad9d52b,,
checkpoint-group,7d40611a-6e6e-4e0b-a2d3-a06029f1d117,,section,Refrigeration Pipe,,,,,,,,,
checkpoint-status,b4201469-a95b-4be2-98ef-039f1a1d94b5,,checkpoint,Pipework installed as per Schematic and Shop Drawings,,,,,,,,,
checkpoint-status,b0622cf9-b67b-409d-b2ed-37f2bfd6ec31,,checkpoint,Actual Pipe Meters Recorded on schematic,,,,,,,,,
checkpoint-status,4090062e-508d-4849-8ded-188f341e00c2,,checkpoint,Pipework Pressure Tested @400 psi,,,,,,,,,
,,,,,,,,,,,,,
checklist-sectioned,228bc546-7586-457a-ba03-0025540fc841,,checklist,Low Profile PVC Ducting,,,,53,Yes,Low Profile PVC Ducting,8351dba9-ba6a-43c4-9e2b-1c743fab706e,,
checkpoint-group,311a3799-c975-4f5e-ba87-2efa073a35b1,,section,Low Profile PVC Ducting,,,,,,,,,
checkpoint-status,d1c4f7c0-ca30-45bc-8668-59164adc8b52,,checkpoint,"All PVC ductwork installed as per drawings, including flexible connections.",,,,,,,,,
,,,,,,,,,,,,,
checklist-sectioned,c18be868-dd03-4edd-9ada-63c47f8ec71a,,checklist,Fire Damper & Pipework Penetration Checklist,,,,10,Yes,Fire Damper & Pipework Penetration Checklist,bffca0ad-63f3-4363-ab24-f06a37c995cb,,
checkpoint-group,2442737a-efc6-47bc-a067-3eeb502f8787,,section,Fire Damper & Pipework Penetration,,,,,,,,,
checkpoint-status,d90e37c4-21e4-44b1-9f2d-b2dd3a82c6c3,,checkpoint,"Fire treatment was installed correctly as per the Drawing, sealed and labelled with Photo on both sides.",,,,,,,,,
