resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,
,,,step,,,Site QA,,,,,,,,,,,
,,,step,,,,Building A,,,,,,,,,,
,,,step,,,,,Ground,,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Library/ Breakout 7.1.04.01.019,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Staff Room 7.1.04.01.041,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Reception 701.04.01.001,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Staff Workspace 7.1.04.01.020,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Interview Room 7.1.04.02.001,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Photocopy Bay 7.1.04.02.011,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Staff Workspace 7.1.04.02.010,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Skills Room 7.1.04.01.013,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Store 7.1.04.01.030,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Prep/ Cleanup 7.1.04.01.014,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,E-Health Training 7.1.04.01.036,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Acc. WC 7.1.04.01.043,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Public Acc. WC 7.1.04.01.031,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Male WC 7.1.04.01.042,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,AMB Male 7.1.04.01.032,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Female WC 7.1.04.01.040,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,AMB Female 7.1.04.01.033,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Media Studio/ CTRL Room 7.1.04.01.016,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Flex/ Simulation Room 7.1.04.01.015,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Computer Lab/ IT Training 7.1.04.01.006,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Entry/ Waiting/ Corridor 7.1.91.002,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,AV Room 7.1.90.017,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Large Teaching Space 7.1.04.01.003/004/005,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Store 7.1.04.04.049,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Store 7.1.04.01.044,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Control/ Viewing Room 7.1.04.01.009,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Simulation Room - HF 7.1.04.01.008,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Clean Utility/ Medi 7.1.04.01.010,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Store 7.1.04.01.045,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Comms Room 7.1.90.003,,,,,,,,
Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,,,,Corridor 7.1.91.006,,,,,,,,
