Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,,,,
Fit off,,,,,,,,,,,,
,Scope,,,,,,,,,,,
,Rows,,,,,,,,,,,
,,Building A,grouping,Building A,,,,,,,,
,,Level Basement / Carpark - Lift / Lift Lobby,,lift / lift lobby,level basement / carpark,site qa,fit off,building a,common areas,,,
,,Level Basement / Carpark - MSB room / Services,,level basement / carpark,site qa,fit off,building a,service areas,msb room / services,,,
,,Level Basement / Carpark - Sprinkler Room,,sprinkler room,level basement / carpark,site qa,fit off,building a,service areas,,,
,,Level Ground - Lift Lobby,,level ground,common areas wifi/camera/nurse call,lift lobby,site qa,fit off,building a,,,
,,Level Ground - Corridor,,level ground,common areas wifi/camera/nurse call,corridor,site qa,fit off,building a,,,
,,Level Ground - Stairwell 01,,level ground,common areas wifi/camera/nurse call,site qa,fit off,building a,stairwell 01,,,
,,Level Ground - Services (Riser),,level ground,site qa,fit off,services (riser),building a,service areas,,,
,,Level 1 - Lift Lobby,,lift lobby,site qa,fit off,building a,level 1,common areas,,,
,,Level 1 - Corridor,,corridor,site qa,fit off,building a,level 1,common areas,,,
,,Level 1 - Stairwell 01,,site qa,fit off,building a,level 1,common areas,stairwell 01,,,
,,Level 1 - Services (Riser),,site qa,fit off,services (riser),building a,level 1,service areas,,,
,,Level 2 - Lift Lobby,,lift lobby,site qa,fit off,building a,common areas,level 2,,,
,,Level 2 - Corridor,,corridor,site qa,fit off,building a,common areas,level 2,,,
,,Level 2 - Stairwell 01,,site qa,fit off,building a,common areas,level 2,stairwell 01,,,
,,Level 2 - Services (Riser),,site qa,fit off,services (riser),building a,service areas,level 2,,,
,,Building B,grouping,Building B,,,,,,,,
,,Level Basement / Carpark - Lift / Lift Lobby,,lift / lift lobby,level basement / carpark,site qa,fit off,common areas,building b,,,
,,Level Basement / Carpark - MSB room / Services,,level basement / carpark,site qa,fit off,service areas,building b,msb room / services,,,
,,Level Basement / Carpark - Sprinkler Room,,sprinkler room,level basement / carpark,site qa,fit off,service areas,building b,,,
,,Level Ground - Lift Lobby,,level ground,lift lobby,site qa,fit off,common areas,building b,,,
,,Level Ground - Corridor,,level ground,corridor,site qa,fit off,common areas,building b,,,
,,Level Ground - Stairwell 01,,level ground,site qa,fit off,common areas,building b,stairwell 01,,,
,,Level Ground - Services (Riser),,level ground,site qa,fit off,services (riser),service areas,building b,,,
,,Level 1 - Lift Lobby,,lift lobby,site qa,fit off,level 1,common areas,building b,,,
,,Level 1 - Corridor,,corridor,site qa,fit off,level 1,common areas,building b,,,
,,Level 1 - Stairwell 01,,site qa,fit off,level 1,common areas,building b,stairwell 01,,,
,,Level 1 - Services (Riser),,site qa,fit off,services (riser),level 1,service areas,building b,,,
,,Level 2 - Lift Lobby,,lift lobby,site qa,fit off,common areas,building b,level 2,,,
,,Level 2 - Corridor,,corridor,site qa,fit off,common areas,building b,level 2,,,
,,Level 2 - Stairwell 01,,site qa,fit off,common areas,building b,level 2,stairwell 01,,,
,,Level 2 - Services (Riser),,site qa,fit off,services (riser),service areas,building b,level 2,,,
,,Pohutukawa Care Building,grouping,Pohutukawa Care Building,,,,,,,,
,,Ground - Stage 1 - PERS - Common areas - Stairs G.04,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 1,PERS,Common areas,Stairs G.04,Fit Off
,,Ground - Stage 1 - PERS - Common areas - Lift G.08,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 1,PERS,Common areas,Lift G.08,Fit Off
,,Ground - Stage 1 - PERS - Common areas - Lounge G.02,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 1,PERS,Common areas,Lounge G.02,Fit Off
,,Ground - Stage 1 - PERS - Rooms - Room G.18,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 1,PERS,Rooms,Room G.18,Fit Off
,,Ground - Stage 1 - PERS - Rooms - Room G.19,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 1,PERS,Rooms,Room G.19,Fit Off
,,Ground - Stage 1 - PERS - Rooms - Room G.20,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 1,PERS,Rooms,Room G.20,Fit Off
,,Ground - Stage 1 - PERS - Rooms - Room G.21,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 1,PERS,Rooms,Room G.21,Fit Off
,,Ground - Stage 1 - PERS - Rooms - Room G.23,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 1,PERS,Rooms,Room G.23,Fit Off
,,Ground - Stage 1 - PERS - Rooms - Room G.24,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 1,PERS,Rooms,Room G.24,Fit Off
,,Ground - Stage 1 - PERS - Displays - Display 1 CIRC G.17 DF,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 1,PERS,Displays,Display 1 CIRC G.17 DF,Fit Off
,,Ground - Stage 1 - PERS - Displays - Display 2 CIRC G.28 SF,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 1,PERS,Displays,Display 2 CIRC G.28 SF,Fit Off
,,Ground - Stage 1 - GCS - Common Area Data - Café G.13 - 8 Data,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 1,GCS,Common Area Data,Café G.13 - 8 Data,Fit Off
,,Ground - Stage 1 - GCS - Common Area Data - Nurse Manager G.14 - 4 Data,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 1,GCS,Common Area Data,Nurse Manager G.14 - 4 Data,Fit Off
,,Ground - Stage 1 - GCS - Common Area Data - Admin G.15 - 4 Data,,Site QA,Pohutukawa Care Building,Second Fix,Ground,Stage 1,GCS,Common Area Data,Admin G.15 - 4 Data,Fit Off
