resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,
,step,,,Pohutukawa Care Building,,,,,,,,,,,
,step,,,,First Fix,,,,,,,,,,
,step,,,,,Ground,,,,,,,,,
,step,,,,,,Stage 1,,,,,,,,
,step,,,,,,,PERS,,,,,,,
,step,,,,,,,,Common areas,,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,Stairs G.04,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,Lift G.08,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,Lounge G.02,,,,,
,step,,,,,,,,Rooms,,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,Room G.18,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,Room G.19,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,Room G.20,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,Room G.21,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,Room G.23,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,Room G.24,,,,,
,step,,,,,,,,Displays,,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,Display 1 CIRC G.17 DF,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,Display 2 CIRC G.28 SF,,,,,
,step,,,,,,,GCS,,,,,,,
,step,,,,,,,,Common Area Data,,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,Café G.13 - 8 Data,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,Nurse Manager G.14 - 4 Data,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,Admin G.15 - 4 Data,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,Nurse Station G.29 - 6 Data,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,DB CBD G.27 - 4 Data,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,Plant Room - 2 Data,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,Wind Lobby Intercom G.12 - 1 Data,,,,,
,step,,,,,,,,WIFI,,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,Lounge G.02 - WIFI,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,CIRC G.17 - WIFI,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,CIRC G.22 - WIFI,,,,,
,step,,,,,,,ESS,,,,,,,
,step,,,,,,,,Doors,,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,CIRC G.03 Double Door,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,Wind Lobby G.12 Slidding Door,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,CRIC G.22 Double Door,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,DLY CON 1 G.25 Double Door,,,,,
,step,,,,,,,,Cameras,,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,C-G01,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,C-G02,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,C-G03,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,C-G04,,,,,
,step,,,,,,Stage 2,,,,,,,,
,step,,,,,,,PERS,,,,,,,
,step,,,,,,,,Rooms,,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,Room G.31,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,Room G.32,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,Room G.33,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,Room G.35,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,Room G.36,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,Room G.37,,,,,
,step,,,,,,,,Displays,,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,Display 3 CIRC G.34 DF,,,,,
,step,,,,,,,GCS,,,,,,,
,step,,,,,,,,WIFI,,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,CIRC G.34 - WIFI,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,OUTSIDE G.31 - WIFI,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,OUTSIDE G.32 - WIFI,,,,,
,step,,,,,,Stage 3,,,,,,,,
,step,,,,,,,PERS,,,,,,,
,step,,,,,,,,Common areas,,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,Lounge G.49.1 A,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,Lounge G.49.1 B,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,Dining G.49 A,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,Dining G.49 B,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,Strair G.55,,,,,
,step,,,,,,,,Rooms,,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,Room G.41,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,Room G.42,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,Room G.43,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,Room G.44,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,Room G.45,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,Room G.47,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,Room G.48,,,,,
,step,,,,,,,,Displays,,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,Display 4 SF,,,,,
,step,,,,,,,GCS,,,,,,,
,step,,,,,,,,Common Area Data,,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,MSR G.38 - 2 Data,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,Lounge G.49.1 - 2 Data,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,CM Kitchen G.51 - 6 Data,,,,,
,step,,,,,,,,WIFI,,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,Outside G.41 - WIFI,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,CIRC G.46 - WIFI,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,CIRC G.50 - WIFI,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,CIRC G.57 - WIFI,,,,,
,step,,,,,,,ESS,,,,,,,
,step,,,,,,,,Doors,,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,MSR G.38 Single Door Mortise,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,CM Kitchen G.51 Double Door,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,Stair G.55 Double Door with Door Reed,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,Sluice G.58 Single Door ,,,,,
,step,,,,,,,,Cameras,,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,C-G05,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,C-G06,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,C-G07,,,,,
,step,,,,,,,MATV,,,,,,,
,step,,,,,,,,Common Area,,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,Lounge G.49.1 - 1 TV,,,,,
,step,,,,,,Stage 4,,,,,,,,
,step,,,,,,,PERS,,,,,,,
,step,,,,,,,,Common areas,,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,Memory Pod G.90 A,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,Memory Pod G.90 B,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,WC G.92 ,,,,,
Pre Wire (Pohutukawa Care Building),checklist,,,,,,,,,Stairs G.83,,,,,
