"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ec990272-67ab-4108-8b18-64fb89a20bb4","","folder-normal","","","step","TRUE","FALSE","Site QA"
"be61cda7-83c3-40a9-bfc6-0a810fb55fec","","folder-normal","","","step","TRUE","FALSE","Site QA","Building A"
"aadc0d3e-d7a8-4418-a150-ba63c0eef067","","folder-normal","","","step","TRUE","FALSE","Site QA","Building A","Level Basement / Carpark"
"cd86483f-45b0-4c44-b99f-64e10341d6c8","","folder-normal","","","step","TRUE","FALSE","Site QA","Building A","Level Basement / Carpark","Common areas"
"7c74cd6d-4cda-4141-be2f-3823ada47e42","","folder-normal","","","step","TRUE","FALSE","Site QA","Building A","Level Basement / Carpark","Common areas","Lift / Lift Lobby"
"8e4db2b1-8674-4318-8b4f-6147f976dfa2","","checklist-flat","","Pre Wire","checklist-flat","FALSE","FALSE","Site QA","Building A","Level Basement / Carpark","Common areas","Lift / Lift Lobby","Pre Wire"
"576905a9-0a3f-4b7f-ae38-68c7cfdc3992","","checklist-flat","","Terminated & Tested","checklist-flat","FALSE","FALSE","Site QA","Building A","Level Basement / Carpark","Common areas","Lift / Lift Lobby","Terminated & Tested"
"e4264e13-b032-48e3-9d45-aeae4e260c0f","","checklist-flat","","Fit off (Common/Services)","checklist-flat","FALSE","FALSE","Site QA","Building A","Level Basement / Carpark","Common areas","Lift / Lift Lobby","Fit off"
"e308b921-6721-4850-be9c-b9eca264fbf1","","folder-normal","","","step","TRUE","FALSE","Site QA","Building A","Level Basement / Carpark","Service areas"
"49f6c166-0bc3-46be-919f-621c6cbea39c","","folder-normal","","","step","TRUE","FALSE","Site QA","Building A","Level Basement / Carpark","Service areas","MSB room / Services"
"4dfe9c19-de37-48f1-9219-b51c057eb419","","checklist-flat","","Pre Wire","checklist-flat","FALSE","FALSE","Site QA","Building A","Level Basement / Carpark","Service areas","MSB room / Services","Pre Wire"
"b6de822a-9c76-4b30-93ab-53120759d1bf","","checklist-flat","","Terminated & Tested","checklist-flat","FALSE","FALSE","Site QA","Building A","Level Basement / Carpark","Service areas","MSB room / Services","Terminated & Tested"
"4955ae1b-96d6-4b61-a714-05b54f85cb4a","","checklist-flat","","Fit off (Common/Services)","checklist-flat","FALSE","FALSE","Site QA","Building A","Level Basement / Carpark","Service areas","MSB room / Services","Fit off"
"a67b6374-25f7-4c4c-b825-2dacf4454f03","","folder-normal","","","step","TRUE","FALSE","Site QA","Building A","Level Basement / Carpark","Service areas","Sprinkler Room"
"fb4167cf-2e77-48ac-bf73-134dd2aabc02","","checklist-flat","","Pre Wire","checklist-flat","FALSE","FALSE","Site QA","Building A","Level Basement / Carpark","Service areas","Sprinkler Room","Pre Wire"
"f40ba16c-a367-42e4-9deb-6bacea07ebfb","","checklist-flat","","Terminated & Tested","checklist-flat","FALSE","FALSE","Site QA","Building A","Level Basement / Carpark","Service areas","Sprinkler Room","Terminated & Tested"
"c079146c-6e6c-4593-b107-21e8f3e0c0c5","","checklist-flat","","Fit off (Common/Services)","checklist-flat","FALSE","FALSE","Site QA","Building A","Level Basement / Carpark","Service areas","Sprinkler Room","Fit off"
"e87e58ca-8232-417d-a2a2-5c2936e8c709","","checklist-flat","","Floor Commissioning","checklist-flat","FALSE","FALSE","Site QA","Building A","Level Basement / Carpark","Floor Commissioning"
"d3926e27-dfd2-402a-9aa6-5cc418f86412","","folder-normal","","","step","TRUE","FALSE","Site QA","Building A","Level Ground"
"4d698648-ffac-40f4-bfb3-57d2b3437469","","folder-normal","","","step","TRUE","FALSE","Site QA","Building A","Level Ground","Common areas WIFI/Camera/Nurse Call"
"4c753ca2-ac24-4642-a152-7d69be8b559c","","folder-normal","","","step","TRUE","FALSE","Site QA","Building A","Level Ground","Common areas WIFI/Camera/Nurse Call","Lift Lobby"
"7e139ed4-f74d-4f85-b8cd-6625c469d2b4","","checklist-flat","","Pre Wire","checklist-flat","FALSE","FALSE","Site QA","Building A","Level Ground","Common areas WIFI/Camera/Nurse Call","Lift Lobby","Pre Wire"
