"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e89f6a09-c360-4b0c-9098-e42655ea6633","","folder-normal","","","step","TRUE","FALSE","Site QA"
"7fdf9b96-6be4-43de-9d22-88c6bfe8ce60","","folder-normal","","","step","TRUE","FALSE","Site QA","BUILDING A"
"ee31a614-25c9-48ca-ae9a-5bd87add9b22","","folder-normal","","","step","TRUE","FALSE","Site QA","BUILDING A","Basement 1"
"bb2bc9b4-adcd-4e43-8994-ccb30e09c076","","folder-normal","","","step","TRUE","FALSE","Site QA","BUILDING A","Basement 1","Common door"
"fa0e14ca-01e2-4465-afcd-da956062d5e5","","checklist-flat","","Service Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","Basement 1","Common door","BIN ROOM- B00A-01"
"83f5ff28-315c-4677-af51-b08d83a3b132","","checklist-flat","","Service Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","Basement 1","Common door","STAIR 1- B00A-02"
"c31f02f9-a734-4e12-98f6-041b95920505","","checklist-flat","","Service Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","Basement 1","Common door","COMMS RM- B00A-03"
"affbc20d-0e1c-4df0-b783-f4fef3183a88","","checklist-flat","","Service Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","Basement 1","Common door","STAIR 2 - B00A-04"
"8ebe08a4-b1d6-4874-a74d-ce961a0f527a","","checklist-flat","","Service Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","Basement 1","Common door","SWITCH RM- B00A-05"
"56fd9e3f-347a-4d62-ab95-ce58d5a187d6","","checklist-flat","","Service Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","Basement 1","Common door","SWITCH RM- B00A-06"
"f6c4ac34-41c5-4be3-9d4c-cbc078cb4a02","","folder-normal","","","step","TRUE","FALSE","Site QA","BUILDING A","GF"
"df976306-d63b-405b-b249-094152b48bd4","","folder-normal","","","step","TRUE","FALSE","Site QA","BUILDING A","GF","Common door"
"224149ec-0229-4319-9e2f-e1c6e0b422ce","","checklist-flat","","Service Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","GF","Common door","WATER - 20A-09"
"f4b5a8ea-ac06-4c5d-8562-dd5a592e3519","","checklist-flat","","Service Door Checklist","checklist-flat","FALSE","FALSE","Site QA","BUILDING A","GF","Common door","BOOSTER - 312A-12"
