"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"10a353ae-59c5-4eb5-a430-4f310e17c290","","folder-progress","work-in-progress","","checklist","TRUE","FALSE","Site Works - Civil"
"09961241-9785-428d-af94-a905941a5ee2","","folder-progress","work-in-progress","","checklist","TRUE","FALSE","Site Works - Civil","Site Drainage"
"dc2aec0e-58a5-4c78-b1fc-967eabb3fb7c","","folder-progress","work-in-progress","","checklist","TRUE","FALSE","Site Works - Civil","Site Drainage","Stormwater"
"4f49ebcd-04e8-47ca-84f0-26037017b032","","folder-progress","work-in-progress","","checklist","TRUE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes"
"e4e80314-b341-42a2-a28f-d4995e38c6dd","","folder-progress","work-in-progress","","checklist","TRUE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 1."
"745fcef5-4703-4d53-8ba1-f619a1fbe4c2","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 1.","CP 1.0.1.a"
"4e392c55-bd3c-4412-be3e-e34a661dd13c","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 1.","CP 1.0.a"
"ed2a7057-ecae-4026-9757-1c52da882d35","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 1.","CP 1.0.A.a"
"ce5cc526-4f46-4a6e-8d22-08da15d269e2","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 1.","CP 1.2.a"
"ff249963-60e4-41ac-bd90-9ae7227ff1f7","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 1.","CP 1.2.b"
"d18428cf-75d6-4971-aae1-112420a2abdf","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 1.","CP 1.2.c"
"5f6f416d-2d76-4c69-afb6-aadcf7dbe417","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 1.","Manhole 1.0"
"4f05a6f5-9e6d-4247-a24c-5633e5fac0f4","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 1.","Manhole 1.0.1"
"a1d04d1b-0f89-4404-91a6-eb675c331f0e","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 1.","Manhole 1.0.A"
"9a1372e2-7828-4954-84b3-a9c8a9e1b7b3","","checklist-sectioned","not-started","7f9246cab38bb4cd86bac5efede2b7cf9b70737cd32c9a0b5e122adc405c8168","checklist","FALSE","FALSE","Site Works - Civil","Site Drainage","Stormwater","Stormwater - Manholes","Manholes 1.","Manhole 1.1"
