Folders,,,,,Checklists
Awaken - Project Details,,,,,Job Details
Manufacture QA,,,,,
,Level 2,,,,
,,Column,,,
,,,02-18,,Manufacturing Checklist
,,,02-21,,Manufacturing Checklist
,,,02-30,,Manufacturing Checklist
,,Core Lift,,,
,,,02-03,,Manufacturing Checklist
,,,02-04,,Manufacturing Checklist
,,,02-05,,Manufacturing Checklist
,,,02-09,,Manufacturing Checklist
,,Core Stair,,,
,,,02-01,,Manufacturing Checklist
,,,02-02,,Manufacturing Checklist
,,,02-07,,Manufacturing Checklist
,,,02-10,,Manufacturing Checklist
,,,02-11,,Manufacturing Checklist
,,,02-25,,Manufacturing Checklist
,Level 3,,,,
,,Column,,,
,,,03-18,,Manufacturing Checklist
,,Core Lift,,,
,,,03-03,,Manufacturing Checklist
,,,03-05,,Manufacturing Checklist
,,Core Stair,,,
,,,03-02,,Manufacturing Checklist
,,,03-10,,Manufacturing Checklist
,,,03-11,,Manufacturing Checklist
,,,03-25,,Manufacturing Checklist
Delivery / Installation Day,,,,ability to add,
