type,name,values,prefix,postfix,usage count,user addable,template name,,,,,
checklist-flat,Pre Sheet Sign off,,,,,,Pre-Sheet wall Sign-Off,,,,,
checkpoint,Electrical - Apps Electrical - Pass once below is completed,,,,,,,,,,,
button,Rough-in Complete,"Yes,No,N/A",,,,,,,,,,
button,Cutouts Marked,"Yes,No,N/A",,,,,,,,,,
button,Noggins installed as marked,"Yes,No,N/A",,,,,,,,,,
button,Pressure boxes installed,"Yes,No,N/A",,,,,,,,,,
button,Pressure box rough-in sealed,"Yes,No,N/A",,,,,,,,,,
button,FR GPO boxes installed,"Yes,No,N/A",,,,,,,,,,
holdpoint,Subcontractor presheet works complete (S/C to sign),,,,,,,,,,,
checkpoint,Hydraulics - Planet Plumbing - Pass once below is completed,,,,,,,,,,,
button,Rough-in complete,"Yes,No,N/A",,,,,,,,,,
button,Cut outs marked,"Yes,No,N/A",,,,,,,,,,
button,Noggins installed as marked,"Yes,No,N/A",,,,,,,,,,
button,Access panel / Valve box locations framed as marked,"Yes,No,N/A",,,,,,,,,,
button,Lagging complete,"Yes,No,N/A",,,,,,,,,,
holdpoint,Subcontractor presheet works complete (S/C to sign),,,,,,,,,,,
checkpoint,Mechanical - DE-ELLIS - Pass once below is completed,,,,,,,,,,,
button,Rough-in complete,"Yes,No,N/A",,,,,,,,,,
button,Cut outs marked,"Yes,No,N/A",,,,,,,,,,
button,Pressure boxes installed,"Yes,No,N/A",,,,,,,,,,
button,Pressure box rough-in sealed,"Yes,No,N/A",,,,,,,,,,
button,Noggins installed as marked,"Yes,No,N/A",,,,,,,,,,
button,Access panel locations framed as marked,"Yes,No,N/A",,,,,,,,,,
button,Lagging complete,"Yes,No,N/A",,,,,,,,,,
holdpoint,Subcontractor presheet works complete (S/C to sign),,,,,,,,,,,
checkpoint,Medical Gas - DE-ELLIS -Pass once below is completed,,,,,,,,,,,
button,Rough-in complete,"Yes,No,N/A",,,,,,,,,,
button,Cut outs marked,"Yes,No,N/A",,,,,,,,,,
button,Pressure boxes installed,"Yes,No,N/A",,,,,,,,,,
button,Pressure box rough-in sealed,"Yes,No,N/A",,,,,,,,,,
button,Access panel / Valve box locations framed as marked,"Yes,No,N/A",,,,,,,,,,
button,Noggins installed as marked,"Yes,No,N/A",,,,,,,,,,
holdpoint,Subcontractor presheet works complete (S/C to sign),,,,,,,,,,,
checkpoint,Pneumatic Piping - DE-ELLIS -Pass once below is completed,,,,,,,,,,,
button,Rough-in complete,"Yes,No,N/A",,,,,,,,,,
button,Cut outs marked,"Yes,No,N/A",,,,,,,,,,
button,Noggins installed as marked,"Yes,No,N/A",,,,,,,,,,
holdpoint,Subcontractor presheet works complete (S/C to sign),,,,,,,,,,,
checkpoint,Wet Fire - Contract Fire -Pass once below is completed,,,,,,,,,,,
button,Rough-in complete,"Yes,No,N/A",,,,,,,,,,
button,Cut outs marked,"Yes,No,N/A",,,,,,,,,,
button,Noggins installed as marked (Fire extinguishers),"Yes,No,N/A",,,,,,,,,,
holdpoint,Subcontractor presheet works complete (S/C to sign),,,,,,,,,,,
checkpoint,Dry Fire - Jaycon -Pass once below is completed,,,,,,,,,,,
button,Rough-in complete,"Yes,No,N/A",,,,,,,,,,
button,Cut outs marked,"Yes,No,N/A",,,,,,,,,,
button,Noggins installed as marked,"Yes,No,N/A",,,,,,,,,,
holdpoint,Subcontractor presheet works complete (S/C to sign),,,,,,,,,,,
checkpoint,Security- Honeywell - Pass once below is completed,,,,,,,,,,,
button,Rough-in complete,"Yes,No,N/A",,,,,,,,,,
button,Cut outs marked,"Yes,No,N/A",,,,,,,,,,
button,Pressure boxes installed,"Yes,No,N/A",,,,,,,,,,
button,Pressure box rough-in sealed,"Yes,No,N/A",,,,,,,,,,
button,Fire rated boxes installed,"Yes,No,N/A",,,,,,,,,,
button,Noggins installed as marked,"Yes,No,N/A",,,,,,,,,,
holdpoint,Subcontractor presheet works complete (S/C to sign),,,,,,,,,,,
checkpoint,Data - SKS - Pass once below is completed,,,,,,,,,,,
button,Rough-in complete,"Yes,No,N/A",,,,,,,,,,
button,Cut outs marked,"Yes,No,N/A",,,,,,,,,,
button,Pressure boxes installed,"Yes,No,N/A",,,,,,,,,,
button,Pressure box rough-in sealed,"Yes,No,N/A",,,,,,,,,,
button,Fire rated boxes installed,"Yes,No,N/A",,,,,,,,,,
button,Noggins installed as marked,"Yes,No,N/A",,,,,,,,,,
holdpoint,Subcontractor presheet works complete (S/C to sign),,,,,,,,,,,
checkpoint,Nurse Call - Pass once below is completed,,,,,,,,,,,
button,Rough-in complete,"Yes,No,N/A",,,,,,,,,,
