"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e34a855e-e81b-43ac-809b-c55011d4d357","","pass","","folder","TRUE","FALSE","Lift Pit"
"4da8c21f-c6c8-4517-b588-c9e54a7c2c72","","pass","Substrate Inspection for Preprufe/Bituthene Checklist","checklist","FALSE","FALSE","Lift Pit","Substrate Inspection for Preprufe/Buthene Report"
"8029a07f-aa02-4f37-9bb1-9dcc88629c4e","","pass","Preprufe 300R Checklist","checklist","FALSE","FALSE","Lift Pit","Lift pit - Preprufe 300R Checklist"
"06f99e6c-7fa2-445e-aaa1-4da4ee5c08f5","","work-in-progress","","folder","TRUE","FALSE","Zone 1a"
"a21cb81b-1a75-4a9b-9e67-013f476bedfb","","pass","Substrate Inspection for Preprufe/Bituthene Checklist","checklist","FALSE","FALSE","Zone 1a","Substrate Inspection for Preprufe/Bituthene Checklist"
"ee0d303a-bd85-47e8-8e40-f5560c2b4b1b","","work-in-progress","Preprufe 300R Checklist","checklist","FALSE","FALSE","Zone 1a","Preprufe 300R Checklist"
"d8231e62-db24-40e0-be3d-b2857ebb7a25","","work-in-progress","","folder","TRUE","FALSE","Zone 1b"
"0e957d1f-528b-4b36-a977-ccfeaf39c785","","pass","Substrate Inspection for Preprufe/Bituthene Checklist","checklist","FALSE","FALSE","Zone 1b","Zone 1 B Substrate Inspection for Preprufe/Bituthene Checklist"
"bc586a08-ae94-4ec5-b7b6-ad23bd1499cc","","work-in-progress","Preprufe 300R Checklist","checklist","FALSE","FALSE","Zone 1b","Preprufe 300R Checklist"
"e4462456-5c9f-424b-98ed-5e3863fd1d4a","","pass","","folder","TRUE","FALSE","Zone 2"
"d880401b-adc0-476d-8c26-07f558dde5be","","pass","Substrate Inspection for Preprufe/Bituthene Checklist","checklist","FALSE","FALSE","Zone 2","Zone 2 - Substrate Inspection for Preprufe/Bituthene Checklist"
"8ff3e457-c23b-45ee-87f4-b162b8031d3a","","pass","Preprufe 300R Checklist","checklist","FALSE","FALSE","Zone 2","Preprufe 300R Checklist"
"a1efae26-dd3d-4ecf-9a2e-819c135a7f66","","fail","","folder","TRUE","FALSE","Zone 3"
"2515e728-5162-4fb7-af1e-5e1eecb4d922","","fail","Substrate Inspection for Preprufe/Bituthene Checklist","checklist","FALSE","FALSE","Zone 3","Substrate Zone 3 Inspection for Preprufe/Bituthene Checklist"
"07e1c5b2-d9cf-4f4a-b4a8-c56e921bdac8","","work-in-progress","Preprufe 300R Checklist","checklist","FALSE","FALSE","Zone 3","Preprufe 300R Checklist"
"f3b05a1f-41d2-4efc-a1a9-c9c36fa861ea","","not-started","","folder","TRUE","FALSE","Zone 4"
"ad9f1d3b-bbc6-42e0-a238-8dc68536b6e4","","not-started","Substrate Inspection for Preprufe/Bituthene Checklist","checklist","FALSE","FALSE","Zone 4","Substrate Inspection for Preprufe/Bituthene Checklist"
"a4faefc8-73ab-4559-905e-138d99af073e","","not-started","Preprufe 300R Checklist","checklist","FALSE","FALSE","Zone 4","Preprufe 300R Checklist"
