Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
Wake Carpentry - Frames Progress,,,,,,
,Scope,,,Frames,,
,Rows,,,,,
,,B5,,Frames,B5,Wake Carpentry Site QA
,,B4,,Frames,B4,Wake Carpentry Site QA
,,B3,,Frames,B3,Wake Carpentry Site QA
,,B2,,Frames,B2,Wake Carpentry Site QA
,,B1,,Frames,B1,Wake Carpentry Site QA
,,G,,Frames,G,Wake Carpentry Site QA
,,L1,,Frames,L1,Wake Carpentry Site QA
,,L2,,Frames,L2,Wake Carpentry Site QA
,,L3,,Frames,L3,Wake Carpentry Site QA
,,L4,,Frames,L4,Wake Carpentry Site QA
,,L5,,Frames,L5,Wake Carpentry Site QA
,,L6,,Frames,L6,Wake Carpentry Site QA
,,L7,,Frames,L7,Wake Carpentry Site QA
,,L8,,Frames,L8,Wake Carpentry Site QA
,,L9,,Frames,L9,Wake Carpentry Site QA
,,L10,,Frames,L10,Wake Carpentry Site QA
,,L11,,Frames,L11,Wake Carpentry Site QA
,,L12,,Frames,L12,Wake Carpentry Site QA
,,L13,,Frames,L13,Wake Carpentry Site QA
,,L14,,Frames,L14,Wake Carpentry Site QA
,,L15,,Frames,L15,Wake Carpentry Site QA
,,L16,,Frames,L16,Wake Carpentry Site QA
,,L17,,Frames,L17,Wake Carpentry Site QA
,,L18,,Frames,L18,Wake Carpentry Site QA
,,L19,,Frames,L19,Wake Carpentry Site QA
,,L20,,Frames,L20,Wake Carpentry Site QA
,,L21,,Frames,L21,Wake Carpentry Site QA
,,L22,,Frames,L22,Wake Carpentry Site QA
,,L23,,Frames,L23,Wake Carpentry Site QA
,,L24,,Frames,L24,Wake Carpentry Site QA
,,L25,,Frames,L25,Wake Carpentry Site QA
,,L26,,Frames,L26,Wake Carpentry Site QA
,,L27,,Frames,L27,Wake Carpentry Site QA
,Columns,,,,,
,,All door frames are plumb,,All door frames are plumb,,
,,All door frames are Level,,All door frames are Level,,
,,All door frames are wine,,All door frames are wine,,
,,,,,,
Wake Carpentry - Doors Progress (B5 - Level 10),,,,,,
,Scope,,,Doors,,
,Rows,,,,,
,,B5,dynamic,Doors,B5,Wake Carpentry Site QA
,,B4,dynamic,Doors,B4,Wake Carpentry Site QA
,,B3,dynamic,Doors,B3,Wake Carpentry Site QA
,,B2,dynamic,Doors,B2,Wake Carpentry Site QA
,,B1,dynamic,Doors,B1,Wake Carpentry Site QA
,,G,dynamic,Doors,G,Wake Carpentry Site QA
,,L1,dynamic,Doors,L1,Wake Carpentry Site QA
,,L2,dynamic,Doors,L2,Wake Carpentry Site QA
,,L3,dynamic,Doors,L3,Wake Carpentry Site QA
,,L4,dynamic,Doors,L4,Wake Carpentry Site QA
,,L5,dynamic,Doors,L5,Wake Carpentry Site QA
,,L6,dynamic,Doors,L6,Wake Carpentry Site QA
,,L7,dynamic,Doors,L7,Wake Carpentry Site QA
,,L8,dynamic,Doors,L8,Wake Carpentry Site QA
,,L9,dynamic,Doors,L9,Wake Carpentry Site QA
,,L10,dynamic,Doors,L10,Wake Carpentry Site QA
,Columns,,,,,
,,"Doors have good, consistent perimeter & no binding",,"Doors have good, consistent perimeter and no binding",,
,,For hollow core doors: hinge & lock sides correct/For fire doors: top hinge side correct,,"For hollow core doors, hinge and lock sides are correct. For fire doors, the top hinge (T.H) side is correct",,
,,Door free of scratches & damages,,Door free of scratches and damages,,
,,,,,,
Wake Carpentry - Doors Progress (Level 11-29),,,,,,
,Scope,,,Doors,,
,Rows,,,,,
,,L11,dynamic,Doors,L11,Wake Carpentry Site QA
,,L12,dynamic,Doors,L12,Wake Carpentry Site QA
,,L13,dynamic,Doors,L13,Wake Carpentry Site QA
,,L14,dynamic,Doors,L14,Wake Carpentry Site QA
,,L15,dynamic,Doors,L15,Wake Carpentry Site QA
,,L16,dynamic,Doors,L16,Wake Carpentry Site QA
,,L17,dynamic,Doors,L17,Wake Carpentry Site QA
,,L18,dynamic,Doors,L18,Wake Carpentry Site QA
,,L19,dynamic,Doors,L19,Wake Carpentry Site QA
,,L20,dynamic,Doors,L20,Wake Carpentry Site QA
,,L21,dynamic,Doors,L21,Wake Carpentry Site QA
,,L22,dynamic,Doors,L22,Wake Carpentry Site QA
,,L23,dynamic,Doors,L23,Wake Carpentry Site QA
,,L24,dynamic,Doors,L24,Wake Carpentry Site QA
,,L25,dynamic,Doors,L25,Wake Carpentry Site QA
,,L26,dynamic,Doors,L26,Wake Carpentry Site QA
,,L27,dynamic,Doors,L27,Wake Carpentry Site QA
,,L28,dynamic,Doors,L28,Wake Carpentry Site QA
,,L29,dynamic,Doors,L29,Wake Carpentry Site QA
,Columns,,,,,
,,"Doors have good, consistent perimeter & no binding",,"Doors have good, consistent perimeter and no binding",,
,,For hollow core doors: hinge & lock sides correct/For fire doors: top hinge side correct,,"For hollow core doors, hinge and lock sides are correct. For fire doors, the top hinge (T.H) side is correct",,
,,Door free of scratches & damages,,Door free of scratches and damages,,
,,,,,,
Wake Carpentry - Hardware Progress,,,,,,
,Scope,,,Hardware,,
,Rows,,,,,
,,B5,,Hardware,B5,Wake Carpentry Site QA
,,B4,,Hardware,B4,Wake Carpentry Site QA
,,B3,,Hardware,B3,Wake Carpentry Site QA
,,B2,,Hardware,B2,Wake Carpentry Site QA
,,B1,,Hardware,B1,Wake Carpentry Site QA
,,G,,Hardware,G,Wake Carpentry Site QA
,,L1,,Hardware,L1,Wake Carpentry Site QA
,,L2,,Hardware,L2,Wake Carpentry Site QA
,,L3,,Hardware,L3,Wake Carpentry Site QA
,,L4,,Hardware,L4,Wake Carpentry Site QA
