type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,
checklist,FHC-ITP-039 - Hearing Loops (AFILs) Rev1,itp,,,,,FHC-ITP-039 - Hearing Loops (AFILs) Rev1,,,,,,,,,
section,1 - Preliminary Works,,,,,,,,,,,,,,,
checkpoint,1.1 Check for correct documentation,,,,,,,,,,,,,,,
label,FREQUENCY: Prior to commencing any activity,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Ensure that all employees and subcontractors are:,,,,,,,,,,,,,,,
label,– using the correct and complete set of drawings ,,,,,,,,,,,,,,,
label,– all drawings are the latest revision,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,REFERENCE DOCUMENTS: Drawings and drawing registers,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,INSPECTION/TEST METHOD: Visual inspection,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,RECORD OF CONFORMITY: This ITP signed off,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,IP,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
text,DATE:,,,,,,,,,,,,,,,
checkpoint,1.2 Implementation of all measures and controls,,,,,,,,,,,,,,,
label,FREQUENCY: Prior to commencing any activity,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: All necessary measures and controls are being implemented, that is: PSP, EMP, TMP, JSEA, SWMS & WP",,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,"REFERENCE DOCUMENTS: PSP, EMP, TMP, JSEA, SWMS, WP",,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,INSPECTION/TEST METHOD: Visual Inspection,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,RECORD OF CONFORMITY: This ITP signed off,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,IP,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,RESPONSIBILITY: Fulton Hogan Engineer,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
text,DATE:,,,,,,,,,,,,,,,
section,2 - Construction Works,,,,,,,,,,,,,,,
checkpoint,2.1 Setting Out ,,,,,,,,,,,,,,,
label,FREQUENCY: Prior to start,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Set out work in accordance with drawings and in accordance with alignments, levels, grades, and sections",,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,REFERENCE DOCUMENTS: Drawings,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,INSPECTION/TEST METHOD: Visual Inspection,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
label,RECORD OF CONFORMITY: This ITP signed off,,,,,,,,,,,,,,,
label,– – – – – – – – –,,,,,,,,,,,,,,,
