Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id
checklist-flat,,,checklist,Wall Reinforcing QA Checklist,,,,,Yes,Wall Reinforcing QA Checklist,
checkpoint-status,,,checkpoint,Wall type checked as per drawing (attach photos),,,,,,,
checkpoint-status,,,checkpoint,Specified covers checked as per drawing (attach photos),,,,,,,
checkpoint-status,,,checkpoint,Stirrup centres as per drawing (attach photos),,,,,,,
checkpoint-status,,,checkpoint,Stirrups spacings as per drawing (attach photos),,,,,,,
checkpoint-status,,,checkpoint,Link centres as per drawing (attach photos),,,,,,,
checkpoint-status,,,checkpoint,Link spacings as per drawing (attach photos),,,,,,,
checkpoint-status,,,checkpoint,Wall Verticals and amount's as per drawing (attach photos),,,,,,,
checkpoint-status,,,checkpoint,Vertical Lap's and locations as per drawing (attach photos),,,,,,,
checkpoint-status,,,checkpoint,IBMS/Reid/Ancon fittings as per drawing (attach photos),,,,,,,
checkpoint-status,,,checkpoint,"All reinforcement tied, secured and rigid (attach photos)",,,,,,,
