"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"aefef8f5-f914-4e5b-964d-dbaebed14fbb","","folder-normal","fail","","step","TRUE","FALSE","Project QA"
"bce1d63e-8772-41c7-a70b-8c020c7ac21f","","folder-normal","fail","","step","TRUE","FALSE","Project QA","Concrete QA"
"4940ae90-f8d2-4b33-b6d0-4664bb0cf2d7","","checklist-sectioned","fail","30717902c6eb75635dcf71242ea8b3586135115123dcd8cd70de5e73c8df400f","checklist","FALSE","FALSE","Project QA","Concrete QA","Concrete Pour: Grid B5"
"af3fdb20-b13b-4270-b834-6e0a580353f0","","checklist-sectioned","not-started","In Situ Concrete Pour Checklist","checklist","FALSE","FALSE","Project QA","Concrete QA","In Situ: Grid F6"
"c1cdaa2a-bd28-4270-8b93-8bed41e79cb5","","checklist-sectioned","work-in-progress","c399d26d9f1566b1bc37034012dc1451912a07b70d401ae33a5295a9bf175aa3","checklist","FALSE","FALSE","Project QA","Concrete QA","REVISED - Concrete Pour Checklist"
"f0d0eefd-db88-4867-adcf-c6c542e9d628","","checklist-sectioned","not-started","Concrete Pour Checklist","checklist","FALSE","FALSE","Project QA","Concrete QA","27 JULY REVISION - Concrete Pour Checklist"
"744c3dac-3bf5-4fa2-917e-f89080a856b2","","folder-normal","not-started","","step","TRUE","FALSE","Project QA","Remedials"
"cd70701a-ceb6-43e0-b859-73f4eaab8c1b","","checklist-sectioned","not-started","Remedial Checklist","checklist","FALSE","FALSE","Project QA","Remedials","Remedial: Grid A Pour Remedial"
"8ce206cf-d2eb-485e-b9ab-0b05902887f4","","folder-normal","not-started","","step","TRUE","FALSE","Project QA","Documentation"
"920495e9-f8da-47df-aa25-09f80e11d496","","checklist-flat","not-started","Add New Document","checklist-flat","FALSE","FALSE","Project QA","Documentation","Document Name: Engineer CCC"
"aa97931c-0e66-5db2-99de-d0f886898b73","","folder-normal","work-in-progress","","step","TRUE","FALSE","Health and Safety"
"f59c1ede-ccfc-5be1-9bee-f7a0f5168beb","","folder-normal","work-in-progress","","step","TRUE","FALSE","Health and Safety","Pre-Start"
"4713840e-46c8-5d7f-abef-dbb1a9a95a2d","","folder-normal","not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","Jun-23"
"981b88d6-0641-4462-a24f-29457844e986","","checklist-flat","not-started","Add Site Toolbox Meeting Checklist","checklist-flat","FALSE","FALSE","Health and Safety","Pre-Start","Jun-23","Site Toolbox Meeting Checklist"
"98c9153f-5c88-5fa2-a98f-0f19f537a7ef","","folder-normal","not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","Jul-23"
"2507cbe1-7cee-4911-96bf-22ab124f06e1","","checklist-flat","not-started","H&S - Daily Prestart","checklist-flat","FALSE","FALSE","Health and Safety","Pre-Start","Jul-23","Daily Prestart"
"970bd58c-db71-5c55-819a-eadabe2ed2a2","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","Aug-23"
"5b04bdc5-0790-5233-89e1-abdcf8c3e702","","folder-normal","not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","Sep-23"
"e222d261-c382-4cdd-8973-813228b61fe4","","checklist-flat","not-started","Add Daily Pre Start Checklist","checklist-flat","FALSE","FALSE","Health and Safety","Pre-Start","Sep-23","Daily Pre Start Checklist"
"2ed94cb5-20b1-52f2-a852-85e2521b967b","","folder-normal","pass","","step","TRUE","FALSE","Health and Safety","Pre-Start","Oct-23"
"bc3ca160-cfa5-4746-89d8-b18607f0f046","","checklist-flat","pass","H&S - Daily Prestart","checklist-flat","FALSE","FALSE","Health and Safety","Pre-Start","Oct-23","Daily Prestart06/10/2023"
"8b62f124-b669-5c3d-88fd-b93dfcdb1816","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","Nov-23"
"2f4ccf11-0f0b-5c9d-939e-418a6aa847f3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","Dec-23"
"c1d28538-02c1-5b29-8cff-5caf743221c7","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","Jan-24"
"0d9cb9be-b7d8-5f72-9a5d-e2d0233d30ec","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","Feb-24"
"e2df5330-b66f-5d1f-846e-6da4558b8a65","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","Mar-24"
"20d304d7-bab2-5f25-b3f9-215432dc20ea","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","Apr-24"
"3dc680aa-2dad-508d-987b-4373eff4daf3","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","May-24"
"4521f480-7b21-51ba-9405-58e12277bedb","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","Jun-24"
"7252719a-a544-5727-bddd-929d37050421","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","Jul-24"
"bb50febb-0d6e-5bdf-8eb5-875999801abb","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","Aug-24"
"f0073306-83d3-5299-a4da-1245919afcc2","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Health and Safety","Pre-Start","Sep-24"
"2df75c04-9a1f-526b-95b6-efe9fec4d354","","folder-normal","work-in-progress","","step","TRUE","FALSE","Health and Safety","Pre-Start","Oct-24"
"91c992f5-05c3-40a3-87da-8c4ee121bbb1","","checklist-flat","work-in-progress","H&S - Daily Prestart","checklist-flat","FALSE","FALSE","Health and Safety","Pre-Start","Oct-24","Daily Prestart 06/10/23"
"b405b9ce-e2ae-4c93-900a-d5733f43ba7b","","checklist-flat","work-in-progress","Add Daily Pre Start Checklist","checklist-flat","FALSE","FALSE","Health and Safety","Pre-Start","Daily Pre Start Checklist 6 oct 2023"
"b2b193cc-f7d5-45b8-b4d6-82a1aed86224","","checklist-flat","not-started","H&S - Daily Prestart","checklist-flat","FALSE","FALSE","Health and Safety","Pre-Start","Daily Prestart 10/12 /23"
"18d93b4d-d5fe-40f6-a1f7-d1427109ba88","","checklist-flat","pass","H&S - Daily Prestart","checklist-flat","FALSE","FALSE","Health and Safety","Pre-Start","Daily Prestart 07 /10/23"
"3e9c9b91-0c41-430a-8e8d-6d5c7c90b910","","checklist-flat","not-started","Add Daily Pre Start Checklist","checklist-flat","FALSE","FALSE","Health and Safety","Pre-Start","Daily Pre Start Checklist7/10/2023"
"5e45485d-6549-4820-9c6b-909e2fdbece2","","checklist-flat","not-started","H&S - Daily Prestart","checklist-flat","FALSE","FALSE","Health and Safety","Pre-Start","Daily Prestart7/10/2023"
"f623cf13-a7b4-4ada-94c2-3c9111f66438","","checklist-flat","not-started","H&S - Daily Prestart","checklist-flat","FALSE","FALSE","Health and Safety","Pre-Start","Daily Prestart9/10/2023"
"9211116c-48c0-4d9d-a4b3-df0e7c73787d","","checklist-flat","pass","H&S - Daily Prestart","checklist-flat","FALSE","FALSE","Health and Safety","Pre-Start","Daily Prestart 9 /10/23"
"78261a76-5b4f-459b-992d-a965eb069158","","checklist-flat","work-in-progress","H&S - Daily Prestart","checklist-flat","FALSE","FALSE","Health and Safety","Pre-Start","Daily Prestart 10/10/23"
"202f9f57-1e5d-43d3-a315-f6daa4fd854f","","checklist-flat","not-started","Add Daily Pre Start Checklist","checklist-flat","FALSE","FALSE","Health and Safety","Pre-Start","Daily Pre Start Checklist 10/10/23"
"425fa0df-50df-4400-9b11-94a0a5308b49","","checklist-flat","work-in-progress","H&S - Daily Prestart","checklist-flat","FALSE","FALSE","Health and Safety","Pre-Start","Daily Prestart 10/10/23"
"aa768e82-4787-47d3-9221-df392c1eee35","","checklist-flat","pass","H&S - Daily Prestart","checklist-flat","FALSE","FALSE","Health and Safety","Pre-Start","Daily Prestart10/10/2023"
"b1eb1339-73fa-4358-b7b2-ff2dcfbb9847","","checklist-flat","pass","H&S - Daily Prestart","checklist-flat","FALSE","FALSE","Health and Safety","Pre-Start","Daily Prestart11/10/2023"
"9cdb1bd4-21eb-4cf3-8164-6a960a9f455b","","checklist-flat","work-in-progress","H&S - Daily Prestart","checklist-flat","FALSE","FALSE","Health and Safety","Pre-Start","Daily Prestart 11/10/23"
"ad378495-5b56-4b15-8ce6-bb9b736406c1","","checklist-flat","work-in-progress","Add Site Toolbox Meeting Checklist","checklist-flat","FALSE","FALSE","Health and Safety","Pre-Start","Site Toolbox Meeting Checklist 11/1023"
"6ce570db-fb64-4e69-bd82-4eb60c881490","","checklist-flat","pass","H&S - Daily Prestart","checklist-flat","FALSE","FALSE","Health and Safety","Pre-Start","Daily Prestart12/10/2023"
"3cd5cf4b-3dbf-4fb8-9032-a10250eb515e","","checklist-flat","pass","H&S - Daily Prestart","checklist-flat","FALSE","FALSE","Health and Safety","Pre-Start","Daily Prestart13/10/2023"
