Id,Type,Name,Values,Prompting Name,Postfix,Resource Id
79afa97b-9938-4d6e-a35a-36fd314f7d79,checklist,"Floor, Duct Penetrations and Vents",,"Floor, Duct Penetrations and Vents",,1865c2b8-9bed-468e-90ef-53cf35cdf276
45e8814a-82cf-423b-a9fd-c3a56e777229,section,Details,,,,
36a65fa0-b6fe-4e8f-87ed-a5010d557ac7,checkpoint,Floor Cable Penetrations,,,,
a9ce95ae-5cc5-5b51-975f-60d57c51c194,button,Floor cable penetrations arrangement as per latest drawings,"Yes,N/A",,,
6a2836a5-30e3-4826-a707-53299831e42e,checkpoint,Battery Cabinet Ventilations,,,,
0ec14b00-bec0-5cf2-8a4d-adeb865de8b0,button,Battery Cabinet Ventilations as per drawings,"Yes,N/A",,,
71c85fcf-3d5c-467c-9550-66d017b95e2c,checkpoint,Fresh Air Intake,,,,
cbecbdfd-b31d-5589-a4c2-28a37267fa47,button,Fresh air intake installed for the control room as per drawings.,"Yes,N/A",,,
3ccb695c-42da-4799-8b4e-0df02080757d,checkpoint,Ventilation Point,,,,
d7d90532-32bd-5093-b330-9cf1b4cb0b98,button,Ventilation point for the switchroom installed as per drawings,"Yes,N/A",,,
9104a0d5-85e3-478b-b432-0594eb734bd1,checkpoint,Switchboard Arc Vent,,,,
b98ee680-9380-5664-a722-77fd7ed945b5,button,Switch board arc vent installed and located as per drawings,"Yes,N/A",,,
f2c89068-4a2c-473e-9e62-b127f211179e,checkpoint,Warning Signs,,,,
ac4782fd-ef51-58ec-92e2-1501115a887f,button,Warning signs installed,"Yes,N/A",,,
6b075b5d-37f1-43bd-a11c-b9ba5ccbf38f,checkpoint,Deflection Check,,,,
6e706191-a90d-5546-91dc-93b245fa5f49,textbox,Deflection Check - (+/-) 1mm tolerance in any 1 metre radius & a tolerance of (+/-) 3mm over the length of the switchroom. Record results:,,,,
668d1e9c-8d88-4b6f-97db-9fda4bf9fd3d,checkpoint,As-Built drawings completed and signed off,,,,
9d01742b-c0b0-548d-8f9c-2fd518f54a40,textbox,"Floor, Duct Penetrations checked by:",,,,
98defa83-0e7f-4e2c-add6-371ab4ea1d69,signoff,Client Representative:,,,,
