resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,
,,step,,,On Site QA,,,,,,,,,
,,step,,,,Building A,,,,,,,,
,,step,,,,,First Floor,,,,,,,
Stud Install Checklist,Balustrade Checklist 1,folder-with-checklists,,,,,,Unit 1,,,,,,
Stud Install Checklist,Balustrade Checklist 1,folder-with-checklists,,,,,,Unit 2,,,,,,
Stud Install Checklist,Balustrade Checklist 1,folder-with-checklists,,,,,,Unit 3,,,,,,
Stud Install Checklist,Balustrade Checklist 1,folder-with-checklists,,,,,,Unit 4,,,,,,
,,step,,,,,Second Floor,,,,,,,
Stud Install Checklist,Balustrade Checklist 1,folder-with-checklists,,,,,,Unit 5,,,,,,
Stud Install Checklist,Balustrade Checklist 1,folder-with-checklists,,,,,,Unit 6,,,,,,
Stud Install Checklist,Balustrade Checklist 1,folder-with-checklists,,,,,,Unit 7,,,,,,
Stud Install Checklist,Balustrade Checklist 1,folder-with-checklists,,,,,,Unit 8,,,,,,
,,step,,,,Building B ,,,,,,,,
,,step,,,,,First Floor,,,,,,,
Stud Install Checklist,Balustrade Checklist 1,folder-with-checklists,,,,,,Unit 14,,,,,,
Stud Install Checklist,Balustrade Checklist 1,folder-with-checklists,,,,,,Unit 15,,,,,,
Stud Install Checklist,Balustrade Checklist 1,folder-with-checklists,,,,,,Unit 16,,,,,,
Stud Install Checklist,Balustrade Checklist 1,folder-with-checklists,,,,,,Unit 17,,,,,,
Stud Install Checklist,Balustrade Checklist 1,folder-with-checklists,,,,,,Unit 18,,,,,,
,,step,,,,,Second Floor,,,,,,,
Stud Install Checklist,Balustrade Checklist 1,folder-with-checklists,,,,,,Unit 19,,,,,,
Stud Install Checklist,Balustrade Checklist 1,folder-with-checklists,,,,,,Unit 20,,,,,,
Stud Install Checklist,Balustrade Checklist 1,folder-with-checklists,,,,,,Unit 21,,,,,,
Stud Install Checklist,Balustrade Checklist 1,folder-with-checklists,,,,,,Unit 22,,,,,,
Stud Install Checklist,Balustrade Checklist 1,folder-with-checklists,,,,,,Unit 23,,,,,,
