"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"baa395ca-3905-4a6b-a6b7-02b36c305f6e","","work-in-progress","","folder","TRUE","FALSE","Holdpoint Signoffs"
"0ede2a99-be4d-4fb5-8439-cd538f256d56","","pass","Contract Holdpoint Checklist","checklist","FALSE","FALSE","Holdpoint Signoffs","160.C1 HP - Commencement of Work - SIGNED"
"232e28ba-ccce-4e36-8c54-a00345bcceee","","pass","Contract Holdpoint Checklist","checklist","FALSE","FALSE","Holdpoint Signoffs","168.05 (c) HP - Health & Safety Co-ordination Plan & Declaration - SIGNED"
"ed0906b5-ec2d-4a61-9c8d-8fe1100403b2","","pass","Contract Holdpoint Checklist","checklist","FALSE","FALSE","Holdpoint Signoffs","176.A3 (k) HP - Environmental Management Plans - SIGNED"
"cfed54cd-47b5-4a57-ab09-3b847e81f718","","not-applicable","Contract Holdpoint Checklist","checklist","FALSE","FALSE","Holdpoint Signoffs","176.I1 (c) HP - Flora & Fauna - NOT REQUIRED"
"fafc605a-f7ae-4e36-aa0b-84a7b31617cb","","pass","Contract Holdpoint Checklist","checklist","FALSE","FALSE","Holdpoint Signoffs","610.07 (b) HP - Concrete Mix Design - SIGNED"
"0e1cd500-848e-449c-ab9d-d000fb71190c","","work-in-progress","Contract Holdpoint Checklist","checklist","FALSE","FALSE","Holdpoint Signoffs","610.18 (a) HP - Placing and Compacting Concrete - PrePour signoff"
"51465ecd-480d-4d19-8b29-bd64ced11bd3","","work-in-progress","Contract Holdpoint Checklist","checklist","FALSE","FALSE","Holdpoint Signoffs","610.23 HP - Curing"
"8bcb2720-a5fc-470c-bd72-ebc35a9f432e","","work-in-progress","Contract Holdpoint Checklist","checklist","FALSE","FALSE","Holdpoint Signoffs","610.24 (b) HP1 - Cracking of Concrete - ONLY REQUIRED IF CRACKING"
"76c5348c-d64a-43ad-968c-d12a5f626abd","","work-in-progress","Contract Holdpoint Checklist","checklist","FALSE","FALSE","Holdpoint Signoffs","610.24 (b) HP2 - Cracking of Concrete"
"86f4d71b-32f2-4ad4-84b8-c7b94eb88546","","not-applicable","Contract Holdpoint Checklist","checklist","FALSE","FALSE","Holdpoint Signoffs","611.05 (b) HP - Certifcation and Testing - NOT REQUIRED"
"da7d0144-8ffd-4230-9bb4-890e512fdfbf","","not-applicable","Contract Holdpoint Checklist","checklist","FALSE","FALSE","Holdpoint Signoffs","611.07 HP -  Re-Bending on Site - NOT REQUIRED"
"ff19b84f-cb0c-41ec-9148-20ed86f09386","","not-applicable","Contract Holdpoint Checklist","checklist","FALSE","FALSE","Holdpoint Signoffs","614.04 HP - Formwork Design - NOT REQUIRED"
"e06d5b5e-ab14-44f9-9255-3bb8a70c9933","","pass","Contract Holdpoint Checklist","checklist","FALSE","FALSE","Holdpoint Signoffs","100.7 HP - Order of Work - SIGNED"
"03837c3f-1bfd-4a5f-8531-c713c0ece309","","pass","Contract Holdpoint Checklist","checklist","FALSE","FALSE","Holdpoint Signoffs","100.9 HP - Traffic Management - SIGNED"
"ded40fe5-548a-480f-8b2b-b2286b71039d","","pass","Contract Holdpoint Checklist","checklist","FALSE","FALSE","Holdpoint Signoffs","100.9.4 HP - Variable Message Signs/ Boards - SIGNED"
"78c58609-6370-41dc-b7f9-0fe8cc8544f9","","pass","Contract Holdpoint Checklist","checklist","FALSE","FALSE","Holdpoint Signoffs","100.10 HP - Utility Services - SIGNED"
"aef480e4-2237-4ed7-bde4-f71cb9bede30","","not-applicable","Contract Holdpoint Checklist","checklist","FALSE","FALSE","Holdpoint Signoffs","300.2 HP1 - Avoidance of Damage to Existing Bridge Deck - NOT REQUIRED"
"23f14b92-29fe-4e19-8a7a-57e1bf814199","","pass","Contract Holdpoint Checklist","checklist","FALSE","FALSE","Holdpoint Signoffs","300.2 HP2 - Avoidance of Damage to Existing Deck - SIGNED"
"870654f3-c975-47b9-af8d-450853bf9721","","pass","Contract Holdpoint Checklist","checklist","FALSE","FALSE","Holdpoint Signoffs","630.07 HP - Material Compliance and Traceability"
"ef30dfe9-4df9-4261-b738-3e9ac1f7ae0a","","not-applicable","Contract Holdpoint Checklist","checklist","FALSE","FALSE","Holdpoint Signoffs","630.11 HP - Cambering, Straightening or Forming - NOT REQUIRED"
"a3cd8d7f-19e2-4a98-b777-4609e6188ae0","","pass","Contract Holdpoint Checklist","checklist","FALSE","FALSE","Holdpoint Signoffs","630.15 HP1 - Welding Procedure Qualification"
"0ed99897-5530-4d6e-a553-807d02b441d8","","pass","Contract Holdpoint Checklist","checklist","FALSE","FALSE","Holdpoint Signoffs","610.36 (c) HP - Early Loading and Trafficking of Bridge Decks, Deck Overlays and Approach Slabs (North & South)"
"eb752954-89d8-420b-9f37-8a3efdff6e15","","work-in-progress","Contract Holdpoint Checklist","checklist","FALSE","FALSE","Holdpoint Signoffs","610.37 HP - Construction of Deck Widening, Longitudinal Stitch Pours, In-Fill Strips and Stage Construction of Deck Overlays under Live Traffic"
"2865c6db-dcb5-4e8f-ac95-b1770fc29e7d","","pass","Contract Holdpoint Checklist","checklist","FALSE","FALSE","Holdpoint Signoffs","610.36 (c) HP - Early Loading and Trafficking of Bridge Decks, Deck Overlays and Approach Slabs (Tram Track Area)"
"2df1bb9a-5d62-4669-afc8-d265e0a5ce41","","fail","","folder","TRUE","FALSE","Bridge Strengthening"
"ee40b02d-6977-4fe3-8d00-b5dcd8892bae","","pass","ITP-042 - General Demolition & Excavation","checklist","FALSE","FALSE","Bridge Strengthening","ITP-042 - General Demolition & Excavation (NORTH)"
"5688d10d-9f98-4c9c-8fe3-e3edfc2a0fd4","","pass","ITP-042 - General Demolition & Excavation","checklist","FALSE","FALSE","Bridge Strengthening","ITP-042 - General Demolition & Excavation (SOUTH)"
"a78baff8-c39c-4dad-8d96-56fa463e2691","","work-in-progress","","folder","TRUE","FALSE","Bridge Strengthening","Shear Stud"
"3d8ae429-78c3-4509-a730-b0a6914f96f4","","pass","ITP-049 - Shear Stud Welding","checklist","FALSE","FALSE","Bridge Strengthening","Shear Stud","ITP-049 - Shear Stud Welding LOT01 04/04/22"
"d3ad8a9e-4690-4e46-8952-16821c396a15","","pass","ITP-049 - Shear Stud Welding","checklist","FALSE","FALSE","Bridge Strengthening","Shear Stud","ITP-049 - Shear Stud Welding LOT02 05/04/22"
"ed91c2a8-a3cc-4b44-aba2-9655ffdd31bb","","pass","ITP-049 - Shear Stud Welding","checklist","FALSE","FALSE","Bridge Strengthening","Shear Stud","ITP-049 - Shear Stud Welding LOT03 06/04/22"
"0240f755-be43-4999-9358-2f0a8e64736c","","pass","ITP-049 - Shear Stud Welding","checklist","FALSE","FALSE","Bridge Strengthening","Shear Stud","ITP-049 - Shear Stud Welding LOT04 07/04/22"
"b41f4bd6-ff80-4bb4-8468-15a8d223c5fe","","not-started","ITP-049 - Shear Stud Welding","checklist","FALSE","FALSE","Bridge Strengthening","Shear Stud","DELETED - NON EXISTENTITP-049 - Shear Stud Welding LOT05 07/04/22"
"4e1ac5e4-fc69-47bf-8ef9-dc5a2c3ed38a","","pass","ITP-049 - Shear Stud Welding","checklist","FALSE","FALSE","Bridge Strengthening","Shear Stud","ITP-049 - Shear Stud Welding LOT06 07/04/22"
"eed8bf98-1184-42c8-baf3-a0f9bf2648ea","","pass","ITP-049 - Shear Stud Welding","checklist","FALSE","FALSE","Bridge Strengthening","Shear Stud","ITP-049 - Shear Stud Welding LOT08 09/04/22"
"a33fa863-3727-4cfa-b717-095094c1c452","","pass","ITP-049 - Shear Stud Welding","checklist","FALSE","FALSE","Bridge Strengthening","Shear Stud","ITP-049 - Shear Stud Welding LOT07 08/04/22"
"ea0aa09e-9e11-4a82-b32c-0cb3e4fc68a0","","pass","ITP-049 - Shear Stud Welding","checklist","FALSE","FALSE","Bridge Strengthening","Shear Stud","ITP-049 - Shear Stud Welding LOT10 02/05/22 (MONDAY AM)"
"77427200-493c-4311-b8b8-337ab43a17b8","","pass","ITP-049 - Shear Stud Welding","checklist","FALSE","FALSE","Bridge Strengthening","Shear Stud","ITP-049 - Shear Stud Welding LOT11 02/05/22 (MONDAY PM)"
"649efad7-8812-46bd-944d-0b8393452a3e","","pass","ITP-049 - Shear Stud Welding","checklist","FALSE","FALSE","Bridge Strengthening","Shear Stud","ITP-049 - Shear Stud Welding LOT12 03/05/22 (Tuesday AM)"
"b701c5db-0906-44aa-9f81-2b097ed7a5ff","","pass","ITP-049 - Shear Stud Welding","checklist","FALSE","FALSE","Bridge Strengthening","Shear Stud","ITP-049 - Shear Stud Welding LOT09 10/04/2022"
"1ed8ef75-dee4-4bec-a025-d8dc45312dae","","pass","ITP-049 - Shear Stud Welding","checklist","FALSE","FALSE","Bridge Strengthening","Shear Stud","ITP-049 - Shear Stud Welding LOT13 03.05.22 (Tuesday PM)"
"ee5ee75a-1eba-40d4-97d0-ba0581dbe17a","","fail","","folder","TRUE","FALSE","Bridge Strengthening","Concrete Pours"
"78ef0e63-3a31-46db-8c73-6896b074d999","","fail","ITP-037 - Structural Concrete Construction","checklist","FALSE","FALSE","Bridge Strengthening","Concrete Pours"," Lot02 Structural Concrete Construction North Side"
"6195558c-2df0-473f-af7b-31d948f94a6b","","pass","ITP-037 - Structural Concrete Construction","checklist","FALSE","FALSE","Bridge Strengthening","Concrete Pours","Lot 01 Structural Concrete Construction - South Side"
"0479a793-3316-48d6-8c62-4bff130575f6","","fail","ITP-037 - Structural Concrete Construction","checklist","FALSE","FALSE","Bridge Strengthening","Concrete Pours","Lot 03 Structural Concrete Construction Tram Track Area"
"af3846e2-839d-4748-82c8-8260b79dc164","","not-started","","folder","TRUE","FALSE","Bridge Strengthening","ITS & Signalling - ignore HP's - Checklists setup incorrectly"
"b631bcf2-6ecc-4616-8687-1ee6bd6d251f","","not-started","ITP-048 - Signal pits and conduit installation","checklist","FALSE","FALSE","Bridge Strengthening","ITS & Signalling - ignore HP's - Checklists setup incorrectly","ITP-048 - Signal pits and conduit installation LOT01 South Section"
"9c6d9f33-151e-4157-bbbf-f46dc4465c76","","pass","ITP-042 - General Demolition & Excavation","checklist","FALSE","FALSE","Bridge Strengthening","ITP-042 - General Demolition & Excavation (CENTRE)"
"802b0937-9281-4442-a15e-b36ee0bc115f","","no-status-not-started","","folder","TRUE","FALSE","Bridge Strengthening","Structural Concrete Coatings"
"1c5e48e2-2228-401a-9aa5-c0e74102a9fa","","work-in-progress","","folder","TRUE","FALSE","Track Renewal ITPs"
"2537a901-d1ff-4597-bdd3-58fbe962876b","","work-in-progress","","folder","TRUE","FALSE","Track Renewal ITPs","ITP-002 Feeder Conduits and pits "
"a900746e-fe87-4553-8e2d-2b73b7f7e871","","pass","ITP-002 Feeder Conduits and pits","checklist","FALSE","FALSE","Track Renewal ITPs","ITP-002 Feeder Conduits and pits ","ITP-002 Feeder Conduits and pits Lot 01 - 30/04/22 - CH290-CH522"
"5d10901a-15ac-4fc5-9f59-c8c3b9cd9775","","not-started","ITP-002 Feeder Conduits and pits","checklist","FALSE","FALSE","Track Renewal ITPs","ITP-002 Feeder Conduits and pits ","ITP-002 Feeder Conduits and pits Lot 02 - 1/5/22 - CH522-CH768 & CH830-CH1050"
"eb796299-3ba4-4063-ad5b-89c1ef389430","","not-started","ITP-002 Feeder Conduits and pits","checklist","FALSE","FALSE","Track Renewal ITPs","ITP-002 Feeder Conduits and pits ","ITP-002 Feeder Conduits and pits Lot 03 - 2/5/22 - CH1050-CH1580"
"7f084912-2033-487d-ba21-85ba0b08916a","","not-started","ITP-002 Feeder Conduits and pits","checklist","FALSE","FALSE","Track Renewal ITPs","ITP-002 Feeder Conduits and pits ","ITP-002 Feeder Conduits and pits Lot 04 - Williams Rd - CH768-CH830"
