"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Concrete Post-Pour"
,"Scope",,
,"Rows"
,,"Ground Floor",,"ground floor"
,,"Level 1",,"level 1"
,"Columns"
,,"Concrete",,"concrete"
,,"Stressor",,"stressor"
,,"As Builts",,"as builts"
,,"Floor Inspection & Defect Identification",,"floor inspection & defect identification"

"Concrete Pre-Pour"
,"Scope",,
,"Rows"
,,"Ground Floor",,"ground floor"
,,"Level 1",,"level 1"
,"Columns"
,,"General",,"general"
,,"Services Rough-In/Penetration Sign Off",,"services rough-in/penetration sign off"
,,"Footings",,"footings"
,,"Columns/Walls",,"columns/walls"
,,"Slab",,"slab"

