"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"41c30900-7f05-4040-8a59-998ad0236d40","","work-in-progress","","folder","TRUE","FALSE","Drawings and documents "
"825ce7fa-7e0d-48c6-b427-2de42e36de21","","pass","97be94472a83606e55f144050c08c8d86077851e21dd6727b40b77f2ce1574e4","checklist","FALSE","FALSE","Drawings and documents ","Drawing North-East-South-West"
"7ca72e72-c81b-40f8-81e8-6b886136f2aa","","not-started","e7bf6822ed9c3f8d887a14f0f3b9ce0cd2bae0b6fba9fbdfff3c88cb97e11e0d","checklist","FALSE","FALSE","Drawings and documents ","Dayworks Checklist"
"942d2c7a-4d0c-4f37-9c4f-8e441b36526d","","not-started","418ceb56f8bb811b1364148d8fbfe93bbea7ee7ef4738d315c7d2a578e5fc19a","checklist","FALSE","FALSE","Drawings and documents ","Toolbox Talk - Site-Specific"
"448fde3e-7cd1-446f-af32-6fac00fd769c","","pass","","folder","TRUE","FALSE","Ground Floor"
"19be5666-ca5a-4de8-b1a9-f0d88f2b363a","","pass","","folder","TRUE","FALSE","Ground Floor","Circulation Corridor - NORTH"
"a87f0b7a-2fae-4158-a947-bc14e7fcfdf9","","pass","CDC Floor Prep - J1868","checklist","FALSE","FALSE","Ground Floor","Circulation Corridor - NORTH","CDC Floor Prep"
"401393a6-1060-4c91-bdfa-904d20de7fd6","","pass","9b87defe7c4c655b5e23136e7c5818a0a551a1b578bb354ac8e97c4666d56f45","checklist","FALSE","FALSE","Ground Floor","Circulation Corridor - NORTH","CDC Floor Vinyl"
"59ae869e-f9df-4933-b968-f6fc798af8f7","","pass","","folder","TRUE","FALSE","Ground Floor","Circulation Corridor – North Phase 2"
"c7769540-99f6-4876-8eee-7a9c84572b96","","pass","CDC Floor Prep - J1868","checklist","FALSE","FALSE","Ground Floor","Circulation Corridor – North Phase 2","CDC Floor Prep"
"ad0743a2-4b6e-4328-8a98-f687a9f9f83e","","pass","9b87defe7c4c655b5e23136e7c5818a0a551a1b578bb354ac8e97c4666d56f45","checklist","FALSE","FALSE","Ground Floor","Circulation Corridor – North Phase 2","CDC Floor Vinyl"
"487dbf0c-5338-43d0-bb6c-14ae46582008","","pass","","folder","TRUE","FALSE","Ground Floor","Circulation Corridor - EAST"
"fbdcd0ef-6d0c-48b4-bc75-be502c3ea306","","pass","CDC Floor Prep - J1868","checklist","FALSE","FALSE","Ground Floor","Circulation Corridor - EAST","CDC Floor Prep"
"ed052628-e0cf-494e-9856-488c7576e3e5","","pass","9b87defe7c4c655b5e23136e7c5818a0a551a1b578bb354ac8e97c4666d56f45","checklist","FALSE","FALSE","Ground Floor","Circulation Corridor - EAST","CDC Floor Vinyl"
"d93f9de8-6ce6-4692-9629-2732c165222d","","pass","","folder","TRUE","FALSE","Ground Floor","Circulation Corridor - WEST"
"bf4d44e1-0268-4f48-95c4-5386edefe7b8","","pass","CDC Floor Prep - J1868","checklist","FALSE","FALSE","Ground Floor","Circulation Corridor - WEST","CDC Floor Prep"
"037e165b-fcff-4d04-9e12-ec1fbedd246e","","pass","9b87defe7c4c655b5e23136e7c5818a0a551a1b578bb354ac8e97c4666d56f45","checklist","FALSE","FALSE","Ground Floor","Circulation Corridor - WEST","CDC Floor Vinyl"
"ebabb344-3224-4129-b3ad-ce5ae304ad86","","pass","","folder","TRUE","FALSE","Ground Floor","Circulation Corridor - South "
"a96e1d49-fe31-474e-9a81-20a1c9f392c7","","pass","CDC Floor Prep - J1868","checklist","FALSE","FALSE","Ground Floor","Circulation Corridor - South ","CDC Floor Prep"
"9696c32b-7baf-4728-a602-f07fde768068","","pass","9b87defe7c4c655b5e23136e7c5818a0a551a1b578bb354ac8e97c4666d56f45","checklist","FALSE","FALSE","Ground Floor","Circulation Corridor - South ","CDC Floor Vinyl"
"c25788e3-9ae4-4e96-9bb2-889f5169d7ea","","pass","","folder","TRUE","FALSE","Ground Floor","Circulation Corridor – South Phase 2"
"a733aad0-7c7e-4966-895c-cc2a2cbd36d6","","pass","CDC Floor Prep - J1868","checklist","FALSE","FALSE","Ground Floor","Circulation Corridor – South Phase 2","CDC Floor Prep"
"3e14e297-4f02-4bb4-970d-833aba499156","","pass","9b87defe7c4c655b5e23136e7c5818a0a551a1b578bb354ac8e97c4666d56f45","checklist","FALSE","FALSE","Ground Floor","Circulation Corridor – South Phase 2","CDC Floor Vinyl"
"03f6378b-fb71-478e-8506-8e8d5a485a0b","","pass","","folder","TRUE","FALSE","Ground Floor","Circulation Corridor – South Phase 3"
"a93bc4fb-603d-4c8a-ab53-78de4aec0a26","","pass","CDC Floor Prep - J1868","checklist","FALSE","FALSE","Ground Floor","Circulation Corridor – South Phase 3","CDC Floor Prep"
"a1c20aa2-4f9f-4783-a957-007d633e0d2b","","pass","9b87defe7c4c655b5e23136e7c5818a0a551a1b578bb354ac8e97c4666d56f45","checklist","FALSE","FALSE","Ground Floor","Circulation Corridor – South Phase 3","CDC Floor Vinyl"
"603e6de8-e656-4785-b4dd-8f834f5da80b","","pass","","folder","TRUE","FALSE","Ground Floor","COMM Room 1"
"64d77e6e-6eb3-4220-9329-e252f5f46479","","pass","CDC Floor Prep - J1868","checklist","FALSE","FALSE","Ground Floor","COMM Room 1","CDC Floor Prep"
"8f6a5411-f679-455c-8b53-2d99528f1450","","pass","9b87defe7c4c655b5e23136e7c5818a0a551a1b578bb354ac8e97c4666d56f45","checklist","FALSE","FALSE","Ground Floor","COMM Room 1","CDC Floor Vinyl"
"2f9570de-daac-4953-8d84-9a3418597e5b","","pass","","folder","TRUE","FALSE","Ground Floor","COMMS Room 2"
"90272912-d40c-415d-8f41-361246f582e5","","pass","CDC Floor Prep - J1868","checklist","FALSE","FALSE","Ground Floor","COMMS Room 2","CDC Floor Prep"
"a38fc397-49cb-49ce-88ff-d64f101e1ea5","","pass","9b87defe7c4c655b5e23136e7c5818a0a551a1b578bb354ac8e97c4666d56f45","checklist","FALSE","FALSE","Ground Floor","COMMS Room 2","CDC Floor Vinyl"
"d413c803-55b9-4d6c-b34e-79e913c0c56d","","pass","","folder","TRUE","FALSE","Ground Floor","Data Hall 4"
"990ab220-64e9-42b8-95f0-febe8d6dda88","","pass","CDC Floor Prep - J1868","checklist","FALSE","FALSE","Ground Floor","Data Hall 4","CDC Floor Prep"
"5cc436ed-d13e-439e-b36d-390c7fdc60e1","","pass","9b87defe7c4c655b5e23136e7c5818a0a551a1b578bb354ac8e97c4666d56f45","checklist","FALSE","FALSE","Ground Floor","Data Hall 4","CDC Floor Vinyl"
"c186b3c9-7f89-4af6-b844-a42eebd6dc52","","pass","","folder","TRUE","FALSE","Ground Floor","Data Hall 5"
"21ecad7c-7976-45d6-a921-56eaa6efe466","","pass","CDC Floor Prep - J1868","checklist","FALSE","FALSE","Ground Floor","Data Hall 5","CDC Floor Prep"
"8fda9772-0cf3-44b6-b4f7-d9ab7cec25a0","","pass","9b87defe7c4c655b5e23136e7c5818a0a551a1b578bb354ac8e97c4666d56f45","checklist","FALSE","FALSE","Ground Floor","Data Hall 5","CDC Floor Vinyl"
"be99ea05-5ce3-43da-8b1c-79c4d0ec40c8","","pass","","folder","TRUE","FALSE","Ground Floor","Data Hall 6"
