"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"35576cc0-2b37-49af-916f-a45fc7ac2800","","folder-normal","not-started","","step","TRUE","FALSE","Site QA"
"de4f1e85-fa48-4c41-9eb3-5fdfa83e8a68","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Slab PT"
"2e685f9d-35ee-453a-9d62-9a0ff7e9190a","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Slab PT","Level 1"
"d177ee29-ebf5-4bdc-b31f-2398be9cb5d0","","checklist-flat","not-started","PT Pre-Pour ITP","checklist-flat","FALSE","FALSE","Site QA","Slab PT","Level 1","Pre-Pour"
"035e4862-03ce-5d22-818a-ee5be1df813d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 1","Pre-Pour","Drawings and Revisions - uploaded below as necessary"
"011a76b8-9733-5aa5-93ae-ac789f16d525","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 1","Pre-Pour","Are the Anchorages securely fixed and anti-burst installed?"
"14a89435-8e2a-5714-a661-38fe8e97b5c6","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 1","Pre-Pour","Is the duct placed in the correct position and alignment, with joints sealed?"
"007594a1-82cd-5a30-bc15-bd4c62a5ebb4","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 1","Pre-Pour","Has the tendon been installed with the correct position and alignment, with joints sealed?"
"6e8cc031-98c1-5908-85db-eec8d71e0c49","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 1","Pre-Pour","Strand Information entered below"
"8f2ac5da-fcb8-55d9-879c-58d8bb741591","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 1","Pre-Pour","Are the Circle Dead Ends used, including anti-burst installed (onion or swage)?"
"c2f17651-6409-5f09-ac47-147d31382b97","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 1","Pre-Pour","Are tendons profiled correctly and supporting chairs secured?"
"2f2f1a2d-e29c-534a-8055-ed7ea67b8f0d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 1","Pre-Pour","All pans to have minimum 50mm clearance off of deck"
"cb9132ef-57d6-5564-b456-416b40ea45eb","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 1","Pre-Pour","Are grout hoses installed with anchorages sealed?"
"6a737a24-c7d1-5e25-8584-1776423db9b1","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 1","Pre-Pour","Has the post-tensioning system been inspected and signed off by an Engineer?"
"ba7d3bec-1468-4c80-b2a6-856defd7b134","","checklist-flat","not-started","5a575ff13251ffbd4b43763e34f1c29779161973cbeb4e446eb56ebea5b5d74c","checklist-flat","FALSE","FALSE","Site QA","Slab PT","Level 1","Post-Pour"
"5b7687f7-f6cb-5db3-8b33-a2f311f86ef3","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 1","Post-Pour","Drawings and Revisions - uploaded below as necessary"
"4b17cc35-bf90-563f-a942-08a5792a5f2c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 1","Post-Pour","Are the anchor blocks and wedges installed?"
"cc1e6d0b-33d5-5973-a7e0-efa0d7870c85","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 1","Post-Pour","Has an initial stress (39kN) been carried out as per design requirements?"
"626611a4-0337-5023-9341-3ef632a712a2","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 1","Post-Pour","Has AusPT received confirmation via Aconex/sighted of the concrete test report prior to commencement of full stress?"
"45386534-4799-519d-b80b-4804e1916676","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Slab PT","Level 1","Post-Pour","Has the concrete test results reached minimum required strength (25mPa) as per Engineer’s requirements? Make a hold point."
