Type,Name,Values,Prompting Name,Postfix,Resource Id
checklist,FH-927-QU-ITP004 - Cold Planing - Rev 0,itp,ITP004 - Cold Planing,,
section,1.0 - Plant and equipment,,,,
checkpoint,1.1 - All cold planing works,,,,
label,Frequency - At least ten (10) working days prior to commencement of cold planing operations,,,,
label,"Acceptance Criteria - List, including details, of all plant and equipment to be used for the cold planing work.",,,,
label,Reference Documents - Volume 1: HP3903-1,,,,
label,Inspection/Test Method - Notification,,,,
label,Record of conformity - Aconex Submission / This ITP signed by Contract Administrator,,,,
label,HP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,
checkpoint,1.2 - Contractor's check that cold planing plant in full working order,,,,
label,Frequency - Prior (60 minutes),,,,
label,Acceptance Criteria - 1. Notice of the commencement time of the Contractor's cold planing plant verification process,,,,
label,Reference Documents - Volume 1: HP3903- 2.1,,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - This ITP signed by Contract Administrator,,,,
label,HP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,
checkpoint,1.3 - Cold planing plant in full working order,,,,
label,Frequency - Prior (60 minutes),,,,
label,Acceptance Criteria - 2. Copy of Contractors’ cold planing verification checklist at the completion of check prior to commencement of each work period,,,,
label,Reference Documents - Volume 1: HP3903- 2.2,,,,
label,Inspection/Test Method - Notification,,,,
label,Record of conformity - Submission of Daily Prestart Records / This ITP signed by Contract Administrator,,,,
label,HP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,
section,2.0 - Cold Planing in Advance of Asphalt Work,,,,
checkpoint,2.1 - Cold planing in advance of asphalt overlay work: Area closed to aircraft traffic.,,,,
label,Frequency - Prior (10 working days) to commencement of planing works,,,,
label,"Acceptance Criteria - Proposal to Contract Administrator to texture, profile and mill in advance of asphalt work including complete program and plan of texturing, profiling and milling and asphalt overlay work proposed in the work area.",,,,
label,Reference Documents - Volume 1: HP3904-1,,,,
label,Inspection/Test Method - Notification,,,,
label,Record of conformity - Submission of Shift Plan / This ITP signed by Contract Administrator,,,,
label,HP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,
checkpoint,2.2 - Cold planning in advance of asphalt overlay work: Area open to aircraft traffic.,,,,
label,Frequency - Prior (10 working days) to commencement of planing works,,,,
label,Acceptance Criteria - 1. Proposal to Contract Administrator to texture in advance of asphalt overlay work including date of demonstration and detailed program of texturing and asphalt overlay work in the work area,,,,
label,Reference Documents - Volume 1: HP3904- 2.1,,,,
label,Inspection/Test Method - Notification,,,,
label,Record of conformity - This ITP signed by Contract Administrator,,,,
label,HP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,
checkpoint,2.3 - Removal of cold planing and asphalt paving equipment from work area,,,,
label,Frequency - Before textured surface is opened to aircraft traffic,,,,
label,Acceptance Criteria - Inspection between Contractor and Contract Administrator of textured area.,,,,
label,Reference Documents - Volume 1: HP3904-3,,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - This ITP signed by Contract Administrator,,,,
label,HP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,
section,3.0 - Restrictions on Cold Planing,,,,
checkpoint,3.1 - Commencement of cold planing works,,,,
label,Frequency - Before the commencement of each working period,,,,
label,"Acceptance Criteria - Written notification to the Contract Administrator that all plant, equipment and labour, including that required for the placing, compaction and finish of asphalt, are available and ready on-site and supply of asphalt for the work is confirmed even in the event of an unexpected breakdown of the asphalt mixing plant.",,,,
label,Reference Documents - Volume 1: HP3905-1,,,,
label,Inspection/Test Method - Notification,,,,
label,Record of conformity - This ITP signed by Contract Administrator,,,,
label,HP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,
section,4.0 - Performance Check at Commencement of Work Period,,,,
checkpoint,4.1 - Check that planing machines producing compliant surface,,,,
label,Frequency - Prior (30 minutes),,,,
label,Acceptance Criteria - Notice to the Contract Administrator of the commencement time of cold planning,,,,
label,Reference Documents - Volume 1: WP3906-1,,,,
label,Inspection/Test Method - Notification,,,,
label,Record of conformity - Submission,,,,
label,WP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
section,5.0 - Texturing,,,,
checkpoint,4.1 - Commencement of application of tack coat and asphalt paving,,,,
label,Frequency - Prior (30 minutes),,,,
label,Acceptance Criteria - 1. Notice to the contract Administrator of the scheduled commencement time of Contractor's inspection and checking of the textured surface of the texturing trial.,,,,
label, 2. Statement of compliance signed by the Contractors’ PQR that the textured surface in the texturing trial complies with the specified requirements,,,,
label,Reference Documents - Volume 1: HP3907- 2.1,,,,
label,Inspection/Test Method - Notification,,,,
label,Record of conformity - This ITP signed by Contract administrator,,,,
label,HP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,
checkpoint,4.2 - Commencement of application of tack coat and asphalt paving,,,,
label,Frequency - Prior to application of tack coat,,,,
label,"Acceptance Criteria - Written agreement by Contractor, including photograph and typical measurements of the Texture Reference Area",,,,
label,Reference Documents - Volume 1: HP3907-3,,,,
label,Inspection/Test Method - Notification,,,,
label,Record of conformity - This ITP signed by Contract administrator,,,,
label,HP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,
checkpoint,4.3 - Removal of application of cold planing and asphalt paving equipment from work area,,,,
label,Frequency - Prior (minimum 60 minutes),,,,
label,"Acceptance Criteria - Notice to the Contract Administrator of Contractor's Inspection of completed textured surface and, statement of compliance of textured surface with specified requirements signed by contractor’s PQR",,,,
label,Reference Documents - Volume 1: HP3907-4,,,,
label,Inspection/Test Method - Notification,,,,
label,Record of conformity - This ITP signed by Contract administrator,,,,
label,HP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,
section,"5.0 - Profiling, Miling and Cleaning of Cold Planed Surfaces",,,,
checkpoint,5.1 - Removal of planing and cleaning equipment from site,,,,
label,Frequency - Prior (minimum 60 minutes),,,,
label,"Acceptance Criteria - Notice to the Contract Administrator of Contractor's Inspection of completed profiled surface and, statement of compliance of profiled surface with specified requirements signed by contractor’s PQR",,,,
label,Reference Documents - Volume 1: HP3908- 1,,,,
label,Inspection/Test Method - Notification,,,,
label,Record of conformity - This ITP signed by Contract administrator,,,,
label,HP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,
checkpoint,5.2 - Removal of cold planing and asphalt paving equipment from work area,,,,
label,Frequency - Prior (minimum 60 minutes),,,,
label,"Acceptance Criteria - Notice to the Contract Administrator of Contractor's Inspection of completed milled surface and, statement of compliance of milled surface with specified requirements signed by contactor’s PQR",,,,
label,Reference Documents - Volume 1: HP3909- 1,,,,
label,Inspection/Test Method - Notification,,,,
label,Record of conformity - This ITP signed by Contract administrator,,,,
label,HP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,
checkpoint,5.3 - Cleaning of entire cold planned surfaces of asphalt,,,,
label,Frequency - Prior (minimum 30 minutes),,,,
label,Acceptance Criteria - Notice to the contract Administrator of commencement of cleaning of cold planed surfaces of asphalt,,,,
label,Reference Documents - Volume 1: WP3911-1,,,,
label,Inspection/Test Method - Notification,,,,
label,Record of conformity - This ITP signed by Contractor,,,,
label,WP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
checkpoint,5.4 - Tack coat and placement of asphalt over cold planed surfaces of asphalt,,,,
label,Frequency - At completion of each cleaning working period,,,,
label,Acceptance Criteria - Statement signed by the Contractor's PQR that the whole of the cold planed surfaces of asphalt have been cleaned as specified,,,,
label,Reference Documents - Volume 1: HP3911-1,,,,
label,Inspection/Test Method - Notification,,,,
label,Record of conformity - This ITP signed by Contract Administrator,,,,
label,HP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,
checkpoint,5.5 - Removal of Waste,,,,
label,Frequency - As required,,,,
label,Acceptance Criteria - All asphalt removed from pavements by cold planing will become the property of the Contractor and must be removed from the site and disposed of by the Contractor.,,,,
label,○ Stockpiling and material disposal requirements to be confirmed and authorised with Contract Administrator,,,,
label,Reference Documents - Volume 1: 3912 and Volume 2 SP3912,,,,
label,Inspection/Test Method - Inspection,,,,
label,Record of conformity - This ITP signed by Contractor,,,,
label,IP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
section,7.0 - Survey of Cold Planed Asphalt Surfaces,,,,
checkpoint,7.1 - Placing of asphalt over cold- planed asphalt surfaces,,,,
label,Frequency - Prior (30 minutes),,,,
label,"Acceptance Criteria - Survey of cold planed asphalt surfaces and determination of overlay thicknesses for asphalt thickness control, and Notice to the contract Administrator of commencement of survey",,,,
label,Reference Documents - Volume 1: HP3913- 1,,,,
label,Inspection/Test Method - Notification,,,,
label,Record of conformity - This ITP signed by Contract Administrator / Submission of Survey Records.,,,,
label,HP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,
checkpoint,5.9 - Lot Submission for Cold Planning,,,,
label,Frequency - Per shift,,,,
label,"Acceptance Criteria - Submit detailed information for each shift. Details include location, test certificates etc.",,,,
label,Reference Documents - Method Stateme nt,,,,
label,Inspection/Test Method - Review of Lot Submission details,,,,
label,Record of conformity - Lot Submission documents submitted to Contract Administrator,,,,
label,WP,,,,
label,Responsibility - Site Engineer,,,,
date,Date Completed:,,,,
checkpoint,Final Inspection,,,,
note,The signature below verifies that this ITP has been completed in accordance with the Fulton Hogan’s Quality system Procedures and verifies lot compliance with specifications.,,,,
textbox,Print Name:,,,,
textbox,Position:,,,,
date,Work Completed On:,,,,
