"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"36e8009d-321a-4e56-8db2-1b28b0ffa4cb","","work-in-progress","","folder","TRUE","FALSE","Inspection Test Plan / Checklist"
"775f099a-5225-4d89-aef9-8b6bb0fb04b1","","work-in-progress","Precast Components ITP","checklist","FALSE","FALSE","Inspection Test Plan / Checklist","Panel No. SP-01"
"9b6412bd-ac63-4f47-92a7-2130d1dfe336","","work-in-progress","Precast Components ITP","checklist","FALSE","FALSE","Inspection Test Plan / Checklist","Panel No. SP-02"
"1f66327f-8364-4364-98a9-93b631254ed3","","work-in-progress","Precast Components ITP","checklist","FALSE","FALSE","Inspection Test Plan / Checklist","Panel No. SP-03"
"a76412d6-6a7e-48e9-aabe-91bb3b4bdd45","","work-in-progress","Precast Components ITP","checklist","FALSE","FALSE","Inspection Test Plan / Checklist","Panel No. SP-04"
"6c6e78f2-c7d3-4f75-a7a6-3bbeb823604b","","work-in-progress","Precast Components ITP","checklist","FALSE","FALSE","Inspection Test Plan / Checklist","Panel No. SP-05"
"c2fa7de4-79c2-4cbb-959b-6cebbad9fb87","","work-in-progress","Precast Components ITP","checklist","FALSE","FALSE","Inspection Test Plan / Checklist","Panel No. SP-06"
"d3978e42-39f5-4a79-af87-b9161ec6b841","","work-in-progress","Precast Components ITP","checklist","FALSE","FALSE","Inspection Test Plan / Checklist","Panel No. SP-07"
"90a38d43-3cd9-4381-99c8-4dbb65c819dd","","work-in-progress","Precast Components ITP","checklist","FALSE","FALSE","Inspection Test Plan / Checklist","Panel No. SP-08"
"d908e796-6852-4f43-9b0e-ba06391406ac","","work-in-progress","Precast Components ITP","checklist","FALSE","FALSE","Inspection Test Plan / Checklist","Panel No. SP-09"
"c859ce04-6cf5-4c88-8119-7a3eda74c741","","work-in-progress","Precast Components ITP","checklist","FALSE","FALSE","Inspection Test Plan / Checklist","Panel No. SP-10"
"913748b8-1796-4b89-808e-53601e9b7544","","work-in-progress","Precast Components ITP [extra ferules]","checklist","FALSE","FALSE","Inspection Test Plan / Checklist","Panel No. SP-11"
"dcbcfcb6-172c-4653-91c8-459c459cc26e","","work-in-progress","Precast Components ITP","checklist","FALSE","FALSE","Inspection Test Plan / Checklist","Panel No. SP-12"
"6c925996-b55f-4852-98ca-39c795346d4e","","work-in-progress","Precast Components ITP","checklist","FALSE","FALSE","Inspection Test Plan / Checklist","Panel No. SP-13"
"d3c30c08-1ff9-4880-905f-8d488d7f4613","","work-in-progress","Precast Components ITP","checklist","FALSE","FALSE","Inspection Test Plan / Checklist","Panel No. SP-14"
"c8fc0c7c-8af1-44bf-82d6-6616259df447","","work-in-progress","Precast Components ITP","checklist","FALSE","FALSE","Inspection Test Plan / Checklist","Panel No. SP-15"
"6f7e7b3e-4130-41c0-ab24-60901e522fa8","","work-in-progress","Precast Components ITP","checklist","FALSE","FALSE","Inspection Test Plan / Checklist","Panel No. SP-16"
"46ccecda-0c2e-4081-80d2-021cad497d0f","","work-in-progress","Precast Components ITP","checklist","FALSE","FALSE","Inspection Test Plan / Checklist","Panel No. SP-17"
"e97f86fa-e2b3-4014-8da5-2301c40123e6","","work-in-progress","Precast Components ITP","checklist","FALSE","FALSE","Inspection Test Plan / Checklist","Panel No. SP-18"
