Type,Name,Values,Prompting Name,Postfix,Resource Id
checklist,FH-927-QU-ITP008 - Runway Grooving of Asphalt Surfacing - Rev 0,itp,ITP008 - Runway Grooving of Asphalt Surfacing,,
section,1.0 - Trials,,,,
checkpoint,1.1 - Trial section of grooving in new asphalt surfacing,,,,
label,Frequency - Prior to the commencement of grooving works.,,,,
label,Acceptance Criteria - Construction of a trial section of grooving that complies with the requirements of Sections 2 and 3 of this ITP.,,,,
label,"Reference Documents - GHD-SPC-001 7005, HP 7005-1",,,,
label,Inspection/Test Method - Inspection,,,,
label,Record of conformity - This signed ITP,,,,
label,HP,,,,
label,Responsibility - Quality Manager,,,,
date,Date Completed:,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,
section,2.0 - Grooving,,,,
checkpoint,2.1 - Commencement of grooving in new asphalt surfacing.,,,,
label,Frequency - Prior to the commencement of grooving works.,,,,
label,Acceptance Criteria - Grooving of asphalt surfacing commenced no less than 8 weeks after the completion of the construction of the asphalt surfacing.,,,,
label,Reference Documents - GHD-SPC-001 7004(a),,,,
label,Inspection/Test Method - Inspection,,,,
label,Record of conformity - This signed ITP,,,,
label,IP,,,,
label,Responsibility - Site Engineer,,,,
date,Date Completed:,,,,
checkpoint,"2.2 - Grooving of new asphalt surfacing as per specified dimensions, length, extent and shape.",,,,
label,"Frequency - During grooving works, on at least 15 randomly selected grooves within a lot. Submission of groove lots to be within 48 hours of completion of a lot.",,,,
label,"Acceptance Criteria - Width, depth and spacing of grooves are as indicated on Drawings. Floor of grooves are parallel to the finished surface of the pavement. Square grooves are square with sides perpendicular to the surface of the runway; trapezoidal grooves are a consistent trapezoidal shape and not round or semi-circle. The deviation from specified groove shape is not more than specified in Note 1.",,,,
label,"○ Grooves are cut continuously across the width of the pavement and are cut to extend over the length of the pavement, as shown on the Drawings.",,,,
label,"Reference Documents - GHD-SPC-001 7004(c)(d)(f)(g), Table 7007-1, WP 7007-1",,,,
label,Inspection/Test Method - Inspection; random selection in accordance with AS 1289.1.4.2,,,,
label,Record of conformity - This signed ITP,,,,
label,WP,,,,
label,Responsibility - Site Engineer,,,,
date,Date Completed:,,,,
checkpoint,2.3 - Grooving of new asphalt surfacing as per specified alignment.,,,,
label,"Frequency - During grooving works, on at least 15 randomly selected grooves within a lot. Submission of groove lots to be within 48 hours of completion of a lot.",,,,
label,Acceptance Criteria - Alignment of grooves reset to truly perpendicular to the runway centreline at 150 m intervals along the runway.,,,,
label,○ Grooves are cut in parallel straight lines perpendicular to the runway centreline and comply with the requirements of Note 1.,,,,
label,○ Grooves on rapid exit taxiways are in straight lines and oriented as indicated on Drawings.,,,,
label,"Reference Documents - GHD-SPC-001 7004(e), Table 7007-1, WP 7007-1",,,,
label,Inspection/Test Method - Inspection; random selection in accordance with AS 1289.1.4.2,,,,
label,Record of conformity - This signed ITP,,,,
label,WP,,,,
label,Responsibility - Site Engineer,,,,
date,Date Completed:,,,,
checkpoint,2.4 - Grooving of new asphalt surfacing near inset light fittings.,,,,
label,Frequency - During grooving works adjacent to inset light fittings.,,,,
label,Acceptance Criteria - Grooving is stopped to leave a regular (rectangular or square) ungrooved area symmetrically surrounding the light fitting. Grooves are not sawn closer than 150 mm and not more than 900 mm from the edge of any inset light.,,,,
label,Reference Documents - GHD-SPC-001 7004(h),,,,
label,Inspection/Test Method - Inspection,,,,
label,Record of conformity - This signed ITP,,,,
label,IP,,,,
label,Responsibility - Site Engineer,,,,
date,Date Completed:,,,,
checkpoint,2.5 - Grooving of new asphalt surfacing near cable slots.,,,,
label,Frequency - During grooving works adjacent to cable slots.,,,,
label,Acceptance Criteria - Grooves are not sawn closer than 150 mm and not more than 900 mm from the edge of any cable slots.,,,,
label,Reference Documents - GHD-SPC-001 7004(i),,,,
label,Inspection/Test Method - Inspection,,,,
label,Record of conformity - This signed ITP,,,,
label,IP,,,,
label,Responsibility - Site Engineer,,,,
date,Date Completed:,,,,
checkpoint,2.6 - Grooving of new asphalt surfacing near cable arrestors.,,,,
label,Frequency - During grooving works adjacent to cable arrestors.,,,,
label,"Acceptance Criteria - Grooves are not sawn closer than 3,000 mm each side of a cable arrestor system.",,,,
label,Reference Documents - GHD-SPC-001 7004(j),,,,
label,Inspection/Test Method - Inspection,,,,
label,Record of conformity - This signed ITP,,,,
label,IP,,,,
label,Responsibility - Site Engineer,,,,
date,Date Completed:,,,,
section,3.0 - Slurry Removal,,,,
checkpoint,3.1 - Cleaning of grooved surface.,,,,
label,Frequency - Progressively during grooving and at the completion of grooving works.,,,,
label,Acceptance Criteria - Slurry produced by grooving equipment is flushed from grooves as it is produced and removed by suction into a mobile container. Residual slurry is removed to produce a clean pavement free from all material arising from the cutting of grooves.,,,,
label,Reference Documents - GHD-SPC-001 7006,,,,
label,Inspection/Test Method - Inspection,,,,
label,Record of conformity - This signed ITP,,,,
label,IP,,,,
label,Responsibility - Site Engineer,,,,
date,Date Completed:,,,,
checkpoint,3.2 - Notification of completion of cleaning of pavement surface.,,,,
label,Frequency - At the end of each work period in which grooving works have been undertaken.,,,,
label,Acceptance Criteria - Contract Administor is notified of completion of cleaning of pavement surface.,,,,
label,"Reference Documents - GHD-SPC-001 7006, WP 7006-1",,,,
label,Inspection/Test Method - Inspection,,,,
label,Record of conformity - This signed ITP,,,,
label,WP,,,,
label,Responsibility - Site Engineer,,,,
date,Date Completed:,,,,
section,4.0 - Quality Assurance,,,,
checkpoint,4.1 - Compliance,,,,
label,Frequency - Lot information to be submitted within two weeks of completing works.,,,,
label,Acceptance Criteria - The Contractor must measure the requirements for grooves specified in subclauses 7004(c) to 7004(g) on at least 15 randomly selected grooves within a lot. Random selection must be in accordance with AS 1289.1.4.2. Lot submissions must be within 2 weeks of completing works.,,,,
label,"Reference Documents - GHD-SPC-001 7007(B), WP 7007-1",,,,
label,Inspection/Test Method - Review of Lot Submission details,,,,
label,Record of conformity - This signed ITP,,,,
label,WP,,,,
label,Responsibility - Site Engineer,,,,
date,Date Completed:,,,,
checkpoint,4.2 - Non-conforming work,,,,
label,Frequency - As required throughout the completion of works,,,,
label,"Acceptance Criteria - Any grooves that do not meet all the requirements of the specification must be deemed nonconforming and the work must be rectified to comply with all requirements of the specification. Where rectification requires the removal and replacement of asphalt or concrete, all requirements of the specifications must apply.",,,,
label,"○ Any damage to other infrastructure (lights fittings, drains, manholes, adjacent pavements, etc.) shall be recorded as a non-conformance and the damage made good by the Contractor to the satisfaction of the Contract Administrator at no additional cost to the Principal.",,,,
label,Reference Documents - GHD-SPC-001 7008,,,,
label,Inspection/Test Method - Verfication of Remediation method.,,,,
label,Record of conformity - This ITP signed by Contract Adminstrator,,,,
label,HP,,,,
label,Responsibility - Site Engineer,,,,
date,Date Completed:,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,
checkpoint,Final Inspection,,,,
note,The signature below verifies that this ITP has been completed in accordance with the FH’s Quality system Procedures and verifies lot compliance with specifications.,,,,
textbox,Print Name:,,,,
textbox,Position:,,,,
date,Work Completed On:,,,,
date,Date:,,,,
