"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a2b7b887-6070-4f39-b40b-fa28f49d5dd4","","checklist-flat","not-started","SYS - PT - Job Details","checklist-flat","FALSE","FALSE","Job Details"
"9f173bbc-495a-5d21-bfdc-e3f21897ce77","","checkpoint-status","not-started","","","TRUE","TRUE","Job Details","Site Information Recorded"
"5698bc66-f11e-4a4f-818f-3f9ffacaa913","","folder-normal","not-started","","step","TRUE","FALSE","Job Pre-Commencement Checks"
"08bd6363-dcdf-4519-b6fc-3780fdbea85a","","checklist-flat","not-started","SYS - PT - H&S","checklist-flat","FALSE","FALSE","Job Pre-Commencement Checks","H&S Pre-Commencement"
"87f6fe66-0c24-55c1-903b-df41b85511c1","","checkpoint-status","not-started","","","TRUE","TRUE","Job Pre-Commencement Checks","H&S Pre-Commencement","All Pre-Commencment Health & Safety documentation completed & attached"
"22abb56e-9813-5998-90eb-82e767944585","","holdpoint","not-started","","","TRUE","TRUE","Job Pre-Commencement Checks","H&S Pre-Commencement","Request Signoff"
"ce689311-77cd-4317-8fd4-6d44d4df8c06","","checklist-flat","not-started","SYS - PT - Quality","checklist-flat","FALSE","FALSE","Job Pre-Commencement Checks","Quality Pre-Commencement"
"204e094a-7765-51cd-8527-9d96b1a92858","","checkpoint-status","not-started","","","TRUE","TRUE","Job Pre-Commencement Checks","Quality Pre-Commencement","All Pre-Commencment QC/QA checks completed & Conqa setup"
"ff866cc6-17f6-5f19-b053-2d73c5339be6","","holdpoint","not-started","","","TRUE","TRUE","Job Pre-Commencement Checks","Quality Pre-Commencement","Request Signoff"
"ed7faaa3-bfdd-4312-b4db-5742c2fb39ef","","folder-normal","fail","","step","FALSE","FALSE","On Site QA"
"db2eb78c-47c7-4923-9736-e57e46c0a96a","","folder-normal","fail","","step","FALSE","FALSE","On Site QA","Enabling Works Halsey East underside of level 01"
"20a358c8-3862-445e-828d-9187aa5078c8","","folder-normal","fail","","step","FALSE","FALSE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep"
"433d8835-1da1-49b7-8840-36a1d7ac8bed","","folder-normal","fail","","step","TRUE","FALSE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist"
"d602f93f-32ab-40e2-86e7-e22aaa13a06e","","checklist-sectioned","pass","1. Add Daily QC Checklist","checklist","FALSE","FALSE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist:30.08.23 waterblast canopies U/S Level 1"
"cf626e9e-af4f-5668-95db-ca520fa079dd","","checkpoint-group","pass","","","FALSE","FALSE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist:30.08.23 waterblast canopies U/S Level 1","Preparation"
"e51e69e9-982f-5f77-840f-d0e5f6175fd5","","checkpoint-status","pass","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist:30.08.23 waterblast canopies U/S Level 1","Preparation","Hold Point Inspections"
"9d6e69fb-7010-5ea5-9938-c81f5d621041","","checkpoint-status","pass","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist:30.08.23 waterblast canopies U/S Level 1","Preparation","Surface Conditions"
"8a52abd1-081a-5cb6-8392-75f1062f21d5","","checkpoint-status","not-applicable","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist:30.08.23 waterblast canopies U/S Level 1","Preparation","Ambient Conditions"
"9e659e08-e181-5e76-95c0-06c708ad69d3","","checkpoint-status","pass","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist:30.08.23 waterblast canopies U/S Level 1","Preparation","Surface Preparation"
"6db17ef5-9781-58f3-9d7f-f4be0ee42fb1","","checkpoint-group","not-applicable","","","FALSE","FALSE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist:30.08.23 waterblast canopies U/S Level 1","Application"
"8df47544-7775-58c7-bb16-8fe445f1e526","","checkpoint-status","not-applicable","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist:30.08.23 waterblast canopies U/S Level 1","Application","Ambient Conditions"
"e5f30c7e-dd1f-515f-bd4e-ff4ce4180456","","checkpoint-status","not-applicable","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist:30.08.23 waterblast canopies U/S Level 1","Application","Coat"
"36194936-c759-4603-8569-ab8e6dcb0128","","checklist-sectioned","pass","1. Add Daily QC Checklist","checklist","FALSE","FALSE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 31.08.23 waterblast canopy and k bracing U/S Level 1"
"23dc249c-4499-5226-b560-257ee7cc7c30","","checkpoint-group","pass","","","FALSE","FALSE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 31.08.23 waterblast canopy and k bracing U/S Level 1","Preparation"
"14cd4bb6-e8b4-5d64-ad62-0b3599aa9d08","","checkpoint-status","pass","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 31.08.23 waterblast canopy and k bracing U/S Level 1","Preparation","Hold Point Inspections"
"ca45a157-4e82-507d-afcd-337c71d0df27","","checkpoint-status","pass","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 31.08.23 waterblast canopy and k bracing U/S Level 1","Preparation","Surface Conditions"
"5aae59ad-9289-5d44-b734-1acc01f282f6","","checkpoint-status","not-applicable","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 31.08.23 waterblast canopy and k bracing U/S Level 1","Preparation","Ambient Conditions"
"d1fcb689-70be-5294-a412-7f28affcb061","","checkpoint-status","pass","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 31.08.23 waterblast canopy and k bracing U/S Level 1","Preparation","Surface Preparation"
"499e85a3-8dca-5e69-b888-b16389e5edd2","","checkpoint-group","not-applicable","","","FALSE","FALSE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 31.08.23 waterblast canopy and k bracing U/S Level 1","Application"
"61cd87ff-4eec-5ce8-8ce1-ae819c013c84","","checkpoint-status","not-applicable","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 31.08.23 waterblast canopy and k bracing U/S Level 1","Application","Ambient Conditions"
"198e16b1-b67f-5bc6-a1ee-493bb234e510","","checkpoint-status","not-applicable","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 31.08.23 waterblast canopy and k bracing U/S Level 1","Application","Coat"
"0d1d7c0c-e1fe-47f3-9f0e-437f374a8dfd","","checklist-sectioned","pass","1. Add Daily QC Checklist","checklist","FALSE","FALSE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 01.09.23 prep canopies U/S Level 1"
"bcea430b-9b9d-526c-953d-d47d72aba8b0","","checkpoint-group","pass","","","FALSE","FALSE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 01.09.23 prep canopies U/S Level 1","Preparation"
"695a65ca-1bd8-5d3b-96b7-289c6cb0e790","","checkpoint-status","pass","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 01.09.23 prep canopies U/S Level 1","Preparation","Hold Point Inspections"
"94d8c83a-e4df-5a2d-8206-fef6bd4700ec","","checkpoint-status","pass","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 01.09.23 prep canopies U/S Level 1","Preparation","Surface Conditions"
"b99a4239-4cf0-5391-a91d-cde0aad1d002","","checkpoint-status","not-applicable","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 01.09.23 prep canopies U/S Level 1","Preparation","Ambient Conditions"
"7fb8d0f2-9c37-57bc-89f0-795e07285648","","checkpoint-status","pass","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 01.09.23 prep canopies U/S Level 1","Preparation","Surface Preparation"
"8d2da734-e7da-5912-8f3e-0032412a90ed","","checkpoint-group","not-applicable","","","FALSE","FALSE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 01.09.23 prep canopies U/S Level 1","Application"
"00ae4f81-4da2-5b98-9e3a-02ae8e045104","","checkpoint-status","not-applicable","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 01.09.23 prep canopies U/S Level 1","Application","Ambient Conditions"
"a94f78d8-f7e7-5200-b4e9-40f92c9f17d9","","checkpoint-status","not-applicable","","","TRUE","TRUE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 01.09.23 prep canopies U/S Level 1","Application","Coat"
"a995bbca-ff09-402d-9dd2-6aecdde2335b","","checklist-sectioned","pass","1. Add Daily QC Checklist","checklist","FALSE","FALSE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 02.09.23 prep and apply gpe to canopies U/S Level 1"
"4e149a29-8957-5dfa-b220-952b8ac6926b","","checkpoint-group","pass","","","FALSE","FALSE","On Site QA","Enabling Works Halsey East underside of level 01","GPE and prep","Daily QC Checklist","Daily Checklist: 02.09.23 prep and apply gpe to canopies U/S Level 1","Preparation"
