"Rich Type","Id","Warnings","type","name","values","prefix","postfix","Usage Count","User Addable","Template Name","Template Id"
"checklist-sectioned","b95ddd36-ae4b-4449-ab79-f638f8ba9651","","checklist","ST - S - Punch Window Frames","",,,0,"Yes","ST - S - Punch Window Frames","6847c5c4-9092-4515-8617-f48fb3e947de"
"checkpoint-group","229eb62f-5cf1-4386-bb9c-902ff689ae26","","section","Glazing Install"
"checkpoint-no-status","fa89e3b0-e073-4c79-afb1-50114fefc291","","checkpoint","Glazing Install"
"label","11178c11-8393-5d40-ba2e-da7743f13616","","note","Window # / Elevation / Level",,,
"checkpoint-status","e4e4e64b-793d-4eb8-8623-6a96af40f873","","checkpoint","Installation (By others) completed as per detail Y/N"
"checkpoint-status","371adb1d-fe40-472b-9542-7b3aa8241728","","checkpoint","Check the joinery is free from damage"
"checkpoint-status","39f8ec25-6ee0-4d21-8156-d9e760892271","","checkpoint","All glazing beads attached to Frame PHOTO REQUIRED"
"checkpoint-status","5d0ae8f1-2ba0-4a66-9624-4e32d45f1296","","checkpoint","Check Frame number PHOTO REQUIRED"
"checkpoint-status","f5a9bf92-526e-4649-ac5d-7d6387941466","","checkpoint","Inspection of Backing rubber - no damage and continuous around perimeter"
"checkpoint-status","a0deed65-f770-4eb7-bace-ad357c458e9a","","checkpoint","Glazing Blocks inserted correctly PHOTO REQUIRED"
"checkpoint-status","09b80f34-2d10-4178-91a8-f77e97377b1a","","checkpoint","Correct Glass units installed (Glass sticker) PHOTO REQUIRED"
"checkpoint-status","c051f727-8d2b-4733-bcf3-4faa965d869c","","checkpoint","Glazing Beads fitted correctly PHOTO REQUIRED"
"checkpoint-status","d4f33ca3-a604-45ee-b2bb-fe36ac9623e1","","checkpoint","Correct Wedge Rubber installed and rubbered off as per WGANZ guidelines"
"checkpoint-status","ad710587-efad-47f4-a02f-38749f2b89e2","","checkpoint","Glass Stickers removed"
"checkpoint-status","4c71a336-770c-467a-af5c-bab2b547e9fc","","checkpoint","Trade Clean"
"checkpoint-status","3de174b6-e405-43e3-b39f-ff0c4ef319e1","","checkpoint","Final Inspection PHOTO REQUIRED"
"checkpoint-status","1396d726-418e-4097-bac1-ae5c8353a5f1","","checkpoint","Glazing complete for handover to Ryman Healthcare"
"holdpoint","955aed02-4011-44b9-a9f2-99c188c57843","","signoff","Raise Remedial"

"checklist-flat","f2a6c258-c167-49f2-935a-4ea5c34e08d3","","checklist","Commercial/Domestic","",,,11,"Yes","Commercial/Domestic","8cad8b44-6d8f-4ec2-82b2-68e37294287d"
"checkpoint-status","d5fd31a4-7d96-4156-b1ec-4d48916fb967","","checkpoint","Opening Wraped & Prepared Correctly"
"checkpoint-status","d2bc2f1f-34d9-4fbd-b90c-2dd126e275f0","","checkpoint","External Flashings / Weather Seals As Per Shop Drawing"
"checkpoint-status","afd3c5da-1785-4271-90a4-20ef4b66d5d8","","checkpoint","Installed / Fixed As Per Shop Drawings"
"checkpoint-status","a53e2fae-a4d0-4575-b587-0356b364a8d9","","checkpoint","Airseals Completed (photo)"
"checkpoint-status","d2c8f4e8-4fe7-44eb-a9be-f54c9b9a1315","","checkpoint","Site Glazing Completed"
"checkpoint-status","f9e5b615-dc16-4951-8fcd-60a8e6af48fd","","checkpoint","Trade Clean & Sign off"

"checklist-flat","98c28fc0-a350-4988-b2ab-680d8fe3a61e","","checklist","Seismic Suite (Curtain Wall)","",,,0,"Yes","Seismic Suite (Curtain Wall)","a244b6db-d361-4985-913d-8ddbf3f4a9ec"
"checkpoint-status","7051d0dc-41a9-4ba3-bfb8-70a62160142c","","checkpoint","Opening Prepared By Main Contractor"
"checkpoint-status","c3611a8e-a133-44c4-8fdf-7b670de1c07c","","checkpoint","Setout/Grids/Datum Lines"
"checkpoint-status","892d2064-cbf5-4834-8c9c-708c78cbcb66","","checkpoint","Seismic Installed As Per Shop Drawings"
"checkpoint-status","b13373fe-6817-4844-a0ef-054e64df16bc","","checkpoint","DL Brackets Fitted & Welded correct location"
"checkpoint-status","adf2d38a-01ae-44f7-86a7-21fd00ba800c","","checkpoint","Panel Fitted & Locked Off"
"checkpoint-status","7aff6e2e-0d96-4f99-a9f1-8a32d2472bc4","","checkpoint","Splicers & Soakers Sealed (provide photo reference)"
"checkpoint-status","e1a1b37a-d767-4dc1-a408-b4b789ca0f75","","checkpoint","Airseal and Internal Flashings (photo)"
"checkpoint-status","400846b1-2723-4442-af7d-93a330c14595","","checkpoint","Smoke Seal Complete (photo)"
"checkpoint-status","d90bbc69-4d2a-4e8e-9ba3-6d04de581b38","","checkpoint","External Flashings / Weather Seals/Drainage"
"checkpoint-status","d046eae2-845e-4d98-bea4-ba1bb2978455","","checkpoint","Trade Clean & Sign Off"

"checklist-flat","73431b40-124f-47b0-b414-50f00f58ef45","","checklist","Seismic Suite (non curtain wall)","",,,0,"Yes","Seismic Suite (non curtain wall)","f9598a34-0ad0-4d2b-aa91-6fab59e52cb1"
"checkpoint-status","5daf3176-3b5a-41c2-a79a-6fb661c91389","","checkpoint","Opening Prepared, Wrapped & Datums"
"checkpoint-status","7be0e6c1-adc1-4a63-ba71-02d976719224","","checkpoint","Seismic Installed As Per Shop Drawings"
"checkpoint-status","1056e2ea-5db0-4d4b-943f-442f8f7752ec","","checkpoint","Splicers & Soakers Sealed (provide photo reference)"
"checkpoint-status","90cf925b-8548-435f-aef0-b067e6ffc66c","","checkpoint","Panel Fitted & Locked Off"
"checkpoint-status","ca84f568-31c8-4449-ad97-956893d64e21","","checkpoint","Airseal and Internal Flashings (Photo)"
"checkpoint-status","53b704e7-f90e-44dc-9d5f-60d5e143eb78","","checkpoint","External Flashings / Weather Seals / Drainage"
"checkpoint-status","5535baf7-0a5a-4f35-9ced-d4885e87df2b","","checkpoint","Site Glazing Completed"
"checkpoint-status","0a081146-d065-46eb-8093-fb5a129ad4ea","","checkpoint","Trade Clean"
"checkpoint-status","517d94bb-cca5-475e-a0b8-3529b0dcb989","","checkpoint","Wights - Sign Off"

