type,name,values,prefix,postfix,usage count,user addable,template name,,,,
checklist,02.01 - Traffic Management,itp,,,,,02.01 - Traffic Management,,,,
section,Details,,,,,,,,,,
checkpoint,The Contractor's Nominated Traffic Officer submitted to the Administrator and meets the requirements as specified,,,,,,,,,,
label,Acceptance Criteria & Frequency (Project Specific) - Accreditation Supplied to Administrator,,,,,,,,,,
label,Check Item - Check Item,,,,,,,,,,
label,Reference - MRTS02 Cl. 5.2,,,,,,,,,,
textbox,Submitted with TMP,,,SE/PE/WS/SS (Submitted with TMP __/__/____),,,,,,,
checkpoint,"No traffic rearrangements shall be carried out until after the Administrator has advised the Contractor that the submitted, and amended as directed, TMP is approved and suitable for use.",,,,,,,,,,
label,Acceptance Criteria & Frequency (Project Specific) - Approval via Contract Notice - Per NTO,,,,,,,,,,
label,Check Item - Hold Point 1,,,,,,,,,,
label,Reference - MRTS02 Cl. 5.3,,,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,,
checkpoint,All traffic control devices inspected and records kept in accordance with the specification,,,,,,,,,,
label,Acceptance Criteria & Frequency (Project Specific) - Site Records - Daily,,,,,,,,,,
label,Check Item - Check Item,,,,,,,,,,
label,Reference - MRTS02 Cl. 5.6.4,,,,,,,,,,
checkpoint,"In the event of a traffic crash/incident within the site, the Contractor shall record the date and take time and date stamped photographs of the signs/devices in the vicinity of the crash.",,,,,,,,,,
label,Acceptance Criteria & Frequency (Project Specific) - Incident Report - Per incident,,,,,,,,,,
label,Check Item - Check Item,,,,,,,,,,
label,Reference - MRTS02 Cl. 5.6.5,,,,,,,,,,
checkpoint,"All TGS's prepared by a suitably qualified person and submitted to the Administrator for review and shall be accompanied with a specific risk assessment, as required. Innovations, alternatives and departures from standards shall be certified by a RPEQ.",,,,,,,,,,
label,"Acceptance Criteria & Frequency (Project Specific) - TMD sign off of TGS and, RPEQ Risk Assessment as required",,,,,,,,,,
label,Check Item - Hold Point 2,,,,,,,,,,
label,Reference - MRTS02 Cl. 6.2,,,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,,
checkpoint,"The Traffic Management Inspection report to the Contractor for action, together with documentation of any actions taken in regard to findings.",,,,,,,,,,
label,Acceptance Criteria & Frequency (Project Specific) - Submission of report to Administrator - Per inspection,,,,,,,,,,
label,Check Item - Milestone,,,,,,,,,,
label,Reference - MRTS02 Cl. 7.5,,,,,,,,,,
checkpoint,Final Verification,,,,,,,,,,
label,Supervisor/QA Verify that the Above has been Constructed according to Specification,,,,,,,,,,
textbox,Print Name:,,,,,,,,,,
date,Date:,,,,,,,,,,
label,Project Manager Verify that the Above has been Constructed according to Specification,,,,,,,,,,
textbox,Print Name:,,,,,,,,,,
date,Date:,,,,,,,,,,
holdpoint,Sign ITP,,,,,,,,,,
section,Final Sign Offs (to be completed at closure of Lot),,,,,,,,,,
checkpoint,Agreed Quantities,,,,,,,,,,
holdpoint,Agreed Quantities Sign Off,,,,,,,,,,
checkpoint,Closure of Lot,,,,,,,,,,
holdpoint,Closure of Lot Sign Off,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
checklist,03.09 - Removal of Existing Drainage Structures and Concrete Slabs,itp,,,,,03.09 - Removal of Existing Drainage Structures and Concrete Slabs,,,,
section,Details,,,,,,,,,,
checkpoint,Culverts and culvert end structures shall be removed or demolished where specified in the drawings.,,,,,,,,,,
label,Acceptance Criteria & Frequency (Project Specific) - Culvert Removal - Per Culvert,,,,,,,,,,
label,Check Item - Check Item,,,,,,,,,,
label,Reference - MRTS03 Cl 9.2,,,,,,,,,,
checkpoint,"If existing culvert components are to be removed and re-used, they shall be removed and stacked in a manner which avoids damaging the components.",,,,,,,,,,
label,Acceptance Criteria & Frequency (Project Specific) - Visual - Per Culvert,,,,,,,,,,
label,Check Item - Check Item,,,,,,,,,,
label,Reference - MRTS03 Cl 9.2,,,,,,,,,,
checkpoint,"Removed components which are not to be salvaged, nor reused, shall be removed from the Site and disposed.",,,,,,,,,,
label,Acceptance Criteria & Frequency (Project Specific) - Visual - Per Culvert,,,,,,,,,,
label,Check Item - Check Item,,,,,,,,,,
label,Reference - MRTS03 Cl 9.2,,,,,,,,,,
checkpoint,Excavations carried out and the void left by the removed culvert or end structure shall be backfilled to reinstate the area to a safe and free draining state.,,,,,,,,,,
label,Acceptance Criteria & Frequency (Project Specific) - Visual - Per Culvert,,,,,,,,,,
label,Check Item - Check Item,,,,,,,,,,
label,Reference - MRTS03 Cl 9.2,,,,,,,,,,
checkpoint,"Existing kerbs, channels, kerbs and channels, kerb crossings and concrete slabs shall be removed or demolished where specified in the drawings.",,,,,,,,,,
label,Acceptance Criteria & Frequency (Project Specific) - Visual - Per Kerb,,,,,,,,,,
label,Check Item - Check Item,,,,,,,,,,
label,Reference - MRTS03 Cl 9.4,,,,,,,,,,
checkpoint,Any Kerb and Channel or concrete slab to be removed is saw cut at removal extents or removed to existing joint (or removed in its entirety) where specified in the drawings and no damage shall occur to adjacent work,,,,,,,,,,
label,Acceptance Criteria & Frequency (Project Specific) - Visual,,,,,,,,,,
label,Check Item - Check Item,,,,,,,,,,
label,Reference - MRTS03 Cl. 9.4,,,,,,,,,,
checkpoint,Kerb excavations shall be backfilled to flush with the surrounding area.,,,,,,,,,,
label,Acceptance Criteria & Frequency (Project Specific) - Visual,,,,,,,,,,
label,Check Item - Check Item,,,,,,,,,,
label,Reference - MRTS03 Cl. 9.4,,,,,,,,,,
checkpoint,Final Verification,,,,,,,,,,
label,Contractor's Quality Representative Verify that the Above has been Constructed according to Specification,,,,,,,,,,
textbox,Print Name:,,,,,,,,,,
date,Date:,,,,,,,,,,
label,Administrator's Representative Verify that the Above has been Constructed according to Specification,,,,,,,,,,
textbox,Print Name:,,,,,,,,,,
date,Date:,,,,,,,,,,
holdpoint,Sign ITP,,,,,,,,,,
section,Final Sign Offs (to be completed at closure of Lot),,,,,,,,,,
checkpoint,Agreed Quantities,,,,,,,,,,
holdpoint,Agreed Quantities Sign Off,,,,,,,,,,
checkpoint,Closure of Lot,,,,,,,,,,
holdpoint,Closure of Lot Sign Off,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
checklist,03.10 - Supply and Installation of Precast Concrete Culverts,itp,,,,,03.10 - Supply and Installation of Precast Concrete Culverts,,,,
section,Details,,,,,,,,,,
checkpoint,Maximum Lot Size - 1 Culvert,,,,,,,,,,
label,Acceptance Criteria & Frequency (Project Specific) - Lot size </= 1 Culvert - Per lot,,,,,,,,,,
label,Check Item - Check Item,,,,,,,,,,
label,Reference - MRTS04 Table A.2,,,,,,,,,,
checkpoint,Concrete Pipe culvert components comply with MRTS25/26 Box Culverts Comply with MRTS24,,,,,,,,,,
label,Acceptance Criteria & Frequency (Project Specific) - Manufacture and Test Certificates,,,,,,,,,,
label,Check Item - Check Item,,,,,,,,,,
label,Reference - MRTS03 Cl10.2,,,,,,,,,,
checkpoint,All pipes of diameter 800 mm or less shall have spigot and socket joints with rubber sealing rings. Joints for other sizes shall be as specified on the drawings.,,,,,,,,,,
label,Acceptance Criteria & Frequency (Project Specific) - Visual,,,,,,,,,,
label,Check Item - Check Item,,,,,,,,,,
label,Reference - MRTS03 Cl10.2,,,,,,,,,,
checkpoint,"Component size, wall thickness and class is as specified in the drawings",,,,,,,,,,
label,Acceptance Criteria & Frequency (Project Specific) - Visual,,,,,,,,,,
label,Check Item - Check Item,,,,,,,,,,
label,Reference - MRTS03 Cl10.2,,,,,,,,,,
checkpoint,"Bandage Covers are a Proprietary Product, either: Synthetic or Rubber Band, samples inspected by administrator",,,,,,,,,,
label,Acceptance Criteria & Frequency (Project Specific) - Visual,,,,,,,,,,
label,Check Item - Hold Point 1,,,,,,,,,,
label,Reference - MRTS03 Cl11.2,,,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,,
checkpoint,Culvert Construction Procedures to be accepted prior to commencement of Installation,,,,,,,,,,
label,Acceptance Criteria & Frequency (Project Specific) - Visual,,,,,,,,,,
label,Check Item - Hold Point 2,,,,,,,,,,
label,Reference - MRTS03 Cl11.3.1,,,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,,
section,Excavation,,,,,,,,,,
checkpoint,Excavations shall be carried out in accordance with Clause 13 of MRTS04 General Earth works,,,,,,,,,,
label,Acceptance Criteria & Frequency (Project Specific) - Visual,,,,,,,,,,
label,Check Item - Check Item,,,,,,,,,,
label,Reference - MRTS03 Cl.11.3.1,,,,,,,,,,
checkpoint,"Where Unsuitable Material (in accordance with the provisions of Cl. 9.2) or potentially unsuitable Material is encountered on site the contactor shall, before proceding with removal, shall notify the Administrator. Once Identified the Unsuitable material shall be removed and disposed of in accordance with the provisions of Cl. 9.3 and CL.11.3",,,,,,,,,,
label,Acceptance Criteria & Frequency (Project Specific) - Visual,,,,,,,,,,
label,Check Item - Hold Point 4,,,,,,,,,,
label,Reference - MRTS04 Cl. 9.4,,,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,,
checkpoint,Bottom of excavation compaction tested. 0 - 150mm below foundation -RDD Q140A,,,,,,,,,,
label,"Acceptance Criteria & Frequency (Project Specific) - Cl 15, Table 15.3(b) CV 95% minimum (1 tests / 50m2 - min 2 / lot)",,,,,,,,,,
label,Check Item - Test results,,,,,,,,,,
label,Reference - MRTS04 Table A.2,,,,,,,,,,
section,Culvert Installation,,,,,,,,,,
checkpoint,"Components are assembled as per manufaturers specifications, and if possible, contruction commenced at outlet",,,,,,,,,,
label,Acceptance Criteria & Frequency (Project Specific) - Visual,,,,,,,,,,
label,Check Item - Check Item,,,,,,,,,,
label,"Reference - MRTS03 Cl11.3.3, Cl11.3.4",,,,,,,,,,
checkpoint,Pipes shall be placed with their external grooved ends or spigot ends facing the culvert outlet,,,,,,,,,,
label,Acceptance Criteria & Frequency (Project Specific) - Visual,,,,,,,,,,
label,Check Item - Check Item,,,,,,,,,,
label,Reference - MRTS03 Cl11.3.5,,,,,,,,,,
checkpoint,"The pipes shall be laid with the lifting hole or ""TOP"" marking uppermost. Lifting holes shall be plugged or otherwise closed off in accordance with the manufacturer’s instructions after the pipe is installed.",,,,,,,,,,
label,Acceptance Criteria & Frequency (Project Specific) - Visual,,,,,,,,,,
label,Check Item - Check Item,,,,,,,,,,
label,Reference - MRTS03 Cl11.3.5,,,,,,,,,,
checkpoint,Placed with external groove or spigot end facing outlet with minimum of 50mm bedding material,,,,,,,,,,
label,Acceptance Criteria & Frequency (Project Specific) - Visual,,,,,,,,,,
label,Check Item - Check Item,,,,,,,,,,
label,Reference - MRTS03 Cl11.3.5,,,,,,,,,,
checkpoint,The horizontal alignment of culverts shall not vary from the location specified in the Drawings by more than ± 100 mm,,,,,,,,,,
label,Acceptance Criteria & Frequency (Project Specific) - ± 100mm (All points shown on drawings - min 1 per 20m or 3 points),,,,,,,,,,
label,Check Item - Survey Results,,,,,,,,,,
label,Reference - MRTS03 Cl.8.2,,,,,,,,,,
checkpoint,The invert heights of culverts shall not vary from those specified by more than ± 10 mm and nowhere shall the grades of culverts depart from those specified by more than 1%,,,,,,,,,,
label,"Acceptance Criteria & Frequency (Project Specific) - ± 10mm, ± 1% grade (All points shown on drawings - min 1 per 20m or 3 points)",,,,,,,,,,
label,Check Item - Survey Results,,,,,,,,,,
label,Reference - MRTS03 Cl.8.3,,,,,,,,,,
section,Backfill,,,,,,,,,,
checkpoint,Backfilling of culverts shall not commence until all the conformance and As Constructed Survey requirements have been met and notice of such works provided to the Administrator,,,,,,,,,,
label,Acceptance Criteria & Frequency (Project Specific) - Visual,,,,,,,,,,
label,Check Item - Hold Point 4,,,,,,,,,,
label,Reference - MRTS03 11.3.10,,,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,,
checkpoint,"Backfill material shall not be placed until culverts, structures, pipes, conduits, pits, etc have been completed and inspected, and any specified curing periods have elapsed.",,,,,,,,,,
label,Acceptance Criteria & Frequency (Project Specific) - Visual,,,,,,,,,,
label,Check Item - Hold Point 14,,,,,,,,,,
label,Reference - MRTS04 Cl.19.3.3,,,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,,
checkpoint,"Overlay material within 300 mm of the structure, culvert, pipe, etc shall be general back fill Class A1, A2 or B material conforming to MRTS04 Cl.19.2.2 excep 100% material shall pass 25.0mm test sieve.",,,,,,,,,,
label,Acceptance Criteria & Frequency (Project Specific) - Class A1:,,,,,,,,,,
label,○ Class A2: ,,,,,,,,,,
label,○ Class B: ,,,,,,,,,,
label,○ Except: 100% passing 25mm,,,,,,,,,,
label,Check Item - Witness Point,,,,,,,,,,
label,"Reference - MRTS04 19.3.1, 19.2.2 Table 14.2.2",,,,,,,,,,
checkpoint,"Compaction - Q142A, Q141B",,,,,,,,,,
label,"Acceptance Criteria & Frequency (Project Specific) - Top 300mm below Subgrade Level ≥97%, Greater than 300mm below Subgrade Level ≥95% (1 test / 50m3, min 1 per lot)",,,,,,,,,,
label,Check Item - Test results,,,,,,,,,,
label,Reference - MRTS04 Table 15.3(b),,,,,,,,,,
checkpoint,Moisture content within ranges specified Rainfall Zone: HIGH,,,,,,,,,,
label,"Acceptance Criteria & Frequency (Project Specific) - Class A1/A2: 70-100%, Class B: 80-110%",,,,,,,,,,
label,Check Item - Test results,,,,,,,,,,
label,Reference - MRTS04 Table 15.3(c),,,,,,,,,,
section,Completion,,,,,,,,,,
checkpoint,"CCTV inspection undertaken, report submitted and accepted by administrator. Visual inspection may be approved by the Administrator in lieu of CCTV inspection.",,,,,,,,,,
label,Acceptance Criteria & Frequency (Project Specific) - Visual,,,,,,,,,,
label,Check Item - Hold Point 3,,,,,,,,,,
label,Reference - MRTS03 Cl11.3.5,,,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,,
checkpoint,Final Verification,,,,,,,,,,
label,Supervisor/QA Verify that the Above has been Constructed according to Specification,,,,,,,,,,
textbox,Print Name:,,,,,,,,,,
date,Date:,,,,,,,,,,
label,Project Manager Verify that the Above has been Constructed according to Specification,,,,,,,,,,
textbox,Print Name:,,,,,,,,,,
date,Date:,,,,,,,,,,
holdpoint,Sign ITP,,,,,,,,,,
section,Final Sign Offs (to be completed at closure of Lot),,,,,,,,,,
checkpoint,Agreed Quantities,,,,,,,,,,
holdpoint,Agreed Quantities Sign Off,,,,,,,,,,
checkpoint,Closure of Lot,,,,,,,,,,
holdpoint,Closure of Lot Sign Off,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
checklist,03.11 - Installation of Culvert Components and Structures - Precast or In-Situ,itp,,,,,03.11 - Installation of Culvert Components and Structures - Precast or In-Situ,,,,
section,Details,,,,,,,,,,
checkpoint,Maximum Lot Size - 1 Culvert,,,,,,,,,,
label,Acceptance Criteria & Frequency (Project Specific) - Lot size </= 1 Culvert - Per lot,,,,,,,,,,
label,Check Item - Check Item,,,,,,,,,,
label,Reference - MRTS04 Table A.2,,,,,,,,,,
checkpoint,Culvert Construction Procedures accept prior to commencement of Installation,,,,,,,,,,
label,Acceptance Criteria & Frequency (Project Specific) - Administrator Approval - Per Project,,,,,,,,,,
label,Check Item - Hold Point 2,,,,,,,,,,
label,Reference - MRTS03 Cl 11.3.1,,,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,,
section,Excavation,,,,,,,,,,
checkpoint,Excavations shall be carried out in accordance with Clause 13 of MRTS04 General Earthworks.,,,,,,,,,,
label,Acceptance Criteria & Frequency (Project Specific) - Visual - Per lot,,,,,,,,,,
label,Check Item - Check Item,,,,,,,,,,
label,Reference - MRTS03 Cl 12.3.1,,,,,,,,,,
checkpoint,"Where Unsuitable Material (in accordance with the provisions of Cl. 9.2) or potentially unsuitable Material is encountered on site the contactor shall, before proceding with removal, shall notify the Administrator. Once Identified the Unsuitable material shall be removed and disposed of in accordance with the provisions of Cl. 9.2 and CL.11",,,,,,,,,,
textbox,Reference Unsuitable Lot No. :,,,,,,,,,,
label,Acceptance Criteria & Frequency (Project Specific) - Visual - Per lot,,,,,,,,,,
label,Check Item - Hold Point 4,,,,,,,,,,
label,Reference - MRTS04 Cl 9.4,,,,,,,,,,
holdpoint,HOLD POINT,,,,,,,,,,
checkpoint,Bottom of excavation compaction tested. 0 - 150mm below foundation - AS 1289.5.4.1 or AS1289.5.7.1,,,,,,,,,,
label,"Acceptance Criteria & Frequency (Project Specific) - Cl 15, Table 15.3(b) CV 95% minimum (1 tests / 50m2 - min 2 / lot)",,,,,,,,,,
label,Check Item - Test results,,,,,,,,,,
label,Reference - MRTS04 Table A.2,,,,,,,,,,
section,Installation,,,,,,,,,,
checkpoint,"Cast In Situ material: In accordance with MRTS03 Cl.6.1, MRTS 70 and MRTS71",,,,,,,,,,
label,Acceptance Criteria & Frequency (Project Specific) - MRTS03,,,,,,,,,,
label,○ Cl.15: End Structures,,,,,,,,,,
