type,name,values,prefix,postfix,usage count,user addable,template name,,
checklist,03.22 - Subsoil Drainage,itp,,,,,03.22 - Subsoil Drainage,,
section,Details,,,,,,,,
checkpoint,"Subsoil Drains constructed to appropriate dimensions, inspect trench prior to backfill",,,,,,,,
label,Acceptance Criteria & Frequency (Project Specific) - Visual,,,,,,,,
label,Check Item - Check Item,,,,,,,,
label,Reference - BSD-2041,,,,,,,,
checkpoint,Backfill material shall be damp when placed in trench. Material shall be carefully placed in layers not exceeding 200mm loose thickness. Shall be compacted to achieve effective mechanical interlock between particles.,,,,,,,,
label,Acceptance Criteria & Frequency (Project Specific) - Visual,,,,,,,,
label,Check Item - Check Item,,,,,,,,
label,Reference - MRTS03 Cl 22.3,,,,,,,,
checkpoint,"Subsoil Drains shall be constructed in the locations and in accordance to the drawings. Subsoil Drains shall be installed to the grades specified in the drawings. Where the grades are not specified, the bottom of trenches shall be trimmed to provide not less that 0.5% longitudinal fall towards outlets for pipe type drains and not less that 1% longitudinal fall towards outlets for strip filter type drains.",,,,,,,,
label,Acceptance Criteria & Frequency (Project Specific) - Visual,,,,,,,,
label,Check Item - Check Item,,,,,,,,
label,Reference - MRTS03 Cl 22.3,,,,,,,,
checkpoint,"Cleanout and outlet pipes, Geotextiles, trench backfill, concrete for headwalls and surrounds, marker posts shall be as per specification",,,,,,,,
label,Acceptance Criteria & Frequency (Project Specific) - Visual,,,,,,,,
label,Check Item - Check Item,,,,,,,,
label,Reference - MRTS03 Cl22.2 BSD-2041,,,,,,,,
checkpoint,Clean-outs shall be located at the heads of all subsoil drains and at subsequent spacings not exceeding 60m for Type B subsoil drains and 50m for Type D subsoil drains. Cleanouts shall be constructed in accordance with the details shown on Standard Drawings 1116.,,,,,,,,
label,Acceptance Criteria & Frequency (Project Specific) - Visual,,,,,,,,
label,Check Item - Check Item,,,,,,,,
label,Reference - MRTS03 Cl22.3 TMR SD 1116,,,,,,,,
checkpoint,Marker posts installed where and when required as shown in the project drawings or standard drawings.,,,,,,,,
label,Acceptance Criteria & Frequency (Project Specific) - Visual,,,,,,,,
label,Check Item - Check Item,,,,,,,,
label,Reference - MRTS03 Cl22.2.7 TMR SD 1116,,,,,,,,
checkpoint,"Where directed by Administrator, drains shall be flushed until outlet water is clean and flows consistently",,,,,,,,
label,Acceptance Criteria & Frequency (Project Specific) - Visual,,,,,,,,
label,Check Item - Witness Point,,,,,,,,
label,Reference - MRTS03 Cl22.3,,,,,,,,
checkpoint,As Constructed drawings prepared,,,,,,,,
label,Acceptance Criteria & Frequency (Project Specific) - As constructed drawings submitted to administrator,,,,,,,,
label,Check Item - Witness Point,,,,,,,,
checkpoint,All geometric tolerance requirements met,,,,,,,,
label,Acceptance Criteria & Frequency (Project Specific) - Survey,,,,,,,,
label,Check Item - Check Item,,,,,,,,
checkpoint,Final Verification,,,,,,,,
label,Supervisor/QA Verify that the Above has been Constructed according to Specification,,,,,,,,
textbox,Print Name:,,,,,,,,
date,Date:,,,,,,,,
