Id,Type,Name,Values,Prompting Name,Resource Id
,checklist,Other Areas Fit Off Checklist,,Other Areas Fit Off Checklist,847601df-ea86-40ab-aee2-73d6afc42ac6
,section,Kitchen/Butler's Pantry Fit Off,,,
,checkpoint,Kitchen Mini Stops,,,
,checkpoint,Kitchen Sink Waste,,,
,checkpoint,Kitchen Sink Mixer,,,
,checkpoint,Kitchen Dishwasher,,,
,checkpoint,Kitchen Cooktop,,,
,section,Female Bathroom Fit Off,,,
,checkpoint,Bathroom Shower Mixer,,,
,checkpoint,Bathroom Shower Rail/Rose,,,
,checkpoint,Bathroom Basin,,,
,checkpoint,Bathroom Basin Mixer,,,
,checkpoint,Bathroom Bottle Trap,,,
,checkpoint,Bathroom Toilet,,,
,checkpoint,Bathroom Urinal,,,
,checkpoint,Bath tubs,,,
,checkpoint,Floor wastes - cleared of blockages,,,
,section,Male Bathroom Fit Off,,,
,checkpoint,Bathroom Shower Mixer,,,
,checkpoint,Bathroom Shower Rail/Rose,,,
,checkpoint,Bathroom Basin,,,
,checkpoint,Bathroom Basin Mixer,,,
,checkpoint,Bathroom Bottle Trap,,,
,checkpoint,Bathroom Toilet,,,
,checkpoint,Bathroom Urinal,,,
,checkpoint,Bath tubs,,,
,checkpoint,Floor wastes - cleared of blockages,,,
,section,DDA Bathroom Fit Off,,,
,checkpoint,Bathroom Shower Mixer,,,
,checkpoint,Bathroom Shower Rail/Rose,,,
,checkpoint,Bathroom Basin,,,
,checkpoint,Bathroom Basin Mixer,,,
,checkpoint,Bathroom Bottle Trap,,,
,checkpoint,Bathroom Toilet,,,
,checkpoint,Bathroom Urinal,,,
,checkpoint,Bath tubs,,,
,checkpoint,Floor wastes - cleared of blockages,,,
,,,,,
,checklist,Apartment Fit Off Checklist,,Apartment Fit Off Checklist,6772ce3b-7105-49c2-9c21-779d5841ee66
,section,Laundry Fit Off,,,
,checkpoint,Laundry Trough,,,
,checkpoint,Laundry Trough Mixer,,,
,checkpoint,Laundry Trough Mini Stops,,,
,checkpoint,Laundry Trough Waste,,,
,checkpoint,Floor wastes - cleared of blockages,,,
,section,Kitchen Fit Off,,,
,checkpoint,Kitchen Mini Stops,,,
,checkpoint,Kitchen Sink Waste,,,
,checkpoint,Kitchen Sink Mixer,,,
,checkpoint,Kitchen Dishwasher,,,
,checkpoint,Kitchen Cooktop,,,
,section,Bathroom Fit Off,,,
,checkpoint,Bathroom Shower Mixer,,,
,checkpoint,Bathroom Shower Rail/Rose,,,
,checkpoint,Bathroom Basin,,,
,checkpoint,Bathroom Basin Mixer,,,
,checkpoint,Bathroom Bottle Trap,,,
,checkpoint,Bathroom Toilet,,,
,checkpoint,Bathroom Urinal,,,
,checkpoint,Bath tubs,,,
,checkpoint,Floor wastes - cleared of blockages,,,
,section,Balcony Fit Off,,,
,checkpoint,Balcony Tap,,,
,checkpoint,Gas Point,,,
