type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,
checklist,ITP - Pavement & Surfacing - Rev A,itp,,,,,ITP - Pavement & Surfacing - Rev A,,,,,,,,
section,SECTION 1 – PRE-CONSTRUCTION (P&G / ESTABLISHMENT),,,,,,,,,,,,,,
checkpoint,1.01.01 - Construction Pack,,,,,,,,,,,,,,
label,"Acceptance / Conformance Criteria - Construction Pack including a Methodology and JESA to be assembled, uploaded and transmitted on InEight before works commence",,,,,,,,,,,,,,
label,Standard / Specification - Downer,,,,,,,,,,,,,,
label,Verifying Document - Construction Pack,,,,,,,,,,,,,,
label,Frequency - Prior to Works start,,,,,,,,,,,,,,
label,Activity - H,,,,,,,,,,,,,,
label,By - PE,,,,,,,,,,,,,,
checkpoint,1.01.02 - Survey Setout,,,,,,,,,,,,,,
label,"Acceptance / Conformance Criteria - Survey Set out as per contract drawings and specification, capturing pre-construction levels where needed.",,,,,,,,,,,,,,
label,Standard / Specification - Downer,,,,,,,,,,,,,,
label,Verifying Document - Survey Records,,,,,,,,,,,,,,
label,Frequency - Prior to Works start,,,,,,,,,,,,,,
label,Activity - H,,,,,,,,,,,,,,
label,By - SV,,,,,,,,,,,,,,
checkpoint,1.01.03 - Service Location,,,,,,,,,,,,,,
label,"Acceptance / Conformance Criteria - Complete the Excavation permit process to identify, locate and protect all services.",,,,,,,,,,,,,,
label,Standard / Specification - Downer,,,,,,,,,,,,,,
label,Verifying Document - Excavation Permit,,,,,,,,,,,,,,
label,Frequency - Prior to Excavation,,,,,,,,,,,,,,
label,Activity - H,,,,,,,,,,,,,,
label,By - SE,,,,,,,,,,,,,,
checkpoint,1.01.04 - Internal Permits,,,,,,,,,,,,,,
label,"Acceptance / Conformance Criteria - Complete internal Permits as required to complete works including but not limited to: Hot works, concrete saw, lift, confined space, working at height etc. if applicable.",,,,,,,,,,,,,,
label,Standard / Specification - Downer,,,,,,,,,,,,,,
label,Verifying Document - Internal Permits,,,,,,,,,,,,,,
label,Frequency - Prior to activity being undertaken,,,,,,,,,,,,,,
label,Activity - H,,,,,,,,,,,,,,
label,By - SE,,,,,,,,,,,,,,
checkpoint,1.01.05 - External Permits,,,,,,,,,,,,,,
label,"Acceptance / Conformance Criteria - Obtain  External Permits as required to complete works including but not limited to: Close approach, Worksafe Notice etc, if applicable.",,,,,,,,,,,,,,
label,Standard / Specification - Downer,,,,,,,,,,,,,,
label,Verifying Document - External Permits,,,,,,,,,,,,,,
label,Frequency - Prior to commencment of activity,,,,,,,,,,,,,,
label,Activity - H,,,,,,,,,,,,,,
label,By - PE,,,,,,,,,,,,,,
checkpoint,1.01.06 - Approved Construction Drawings,,,,,,,,,,,,,,
label,"Acceptance / Conformance Criteria - Prior to starting works, Ensure that the construction drawings are both IFC and the Current Version.",,,,,,,,,,,,,,
label,Standard / Specification - Downer,,,,,,,,,,,,,,
label,Verifying Document - IFC Drawings,,,,,,,,,,,,,,
label,Frequency - Prior to works start,,,,,,,,,,,,,,
label,Activity - H,,,,,,,,,,,,,,
label,By - PE,,,,,,,,,,,,,,
checkpoint,1.01.07 - Subbase Approval ,,,,,,,,,,,,,,
label,"Acceptance / Conformance Criteria - All subbase QA to be sent to Engineer for review 48 hours prior to placing basecourse. Final inspection of subbase required, looking for any cracks in stabilised pavement and pavement is clean, free of and contamination",,,,,,,,,,,,,,
label,Standard / Specification - PS - Page 42,,,,,,,,,,,,,,
label,Verifying Document - ConQA ,,,,,,,,,,,,,,
label,Frequency - Before proceeding to the next layer ,,,,,,,,,,,,,,
label,Activity - HP,,,,,,,,,,,,,,
label,By - ENG,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,
section,"SECTION 2 – MATERIAL, PERSONNEL & THIRD PARTY APPROVAL - PAVEMENT AND SURFACING",,,,,,,,,,,,,,
checkpoint,2.01.01 - Basecourse CBR,,,,,,,,,,,,,,
label,"Acceptance / Conformance Criteria - (a) compacted in accordance with NZS 4402 : 1986, Test 4.1.3 New Zealand Vibrating Hammer Compaction Test at Optimum Water Content and;",,,,,,,,,,,,,,
