resource,resource,resource,resource,resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,,,,,,,,,
,,,,,,,,step,,,Existing,,,,,,,,,,,,,,,,,,,
,,,,,,,,step,,,,Ground,,,,,,,,,,,,,,,,,,
Penetrations,Inground Works,Drains,Rough In,Corridor,Fit Off,Commisioning,Plant and Equipment,folder-with-checklists,,,,,Pharmacy,,,,,,,,,,,,,,,,,
Penetrations,Inground Works,Drains,Rough In,Corridor,Fit Off,Commisioning,Plant and Equipment,folder-with-checklists,,,,,Staff Lounge,,,,,,,,,,,,,,,,,
Penetrations,Inground Works,Drains,Rough In,Corridor,Fit Off,Commisioning,Plant and Equipment,folder-with-checklists,,,,,Corridor,,,,,,,,,,,,,,,,,
Penetrations,Inground Works,Drains,Rough In,Corridor,Fit Off,Commisioning,Plant and Equipment,folder-with-checklists,,,,,Gantry,,,,,,,,,,,,,,,,,
Penetrations,Inground Works,Drains,Rough In,Corridor,Fit Off,Commisioning,Plant and Equipment,folder-with-checklists,,,,,Driveway,,,,,,,,,,,,,,,,,
Penetrations,Inground Works,Drains,Rough In,Corridor,Fit Off,Commisioning,Plant and Equipment,folder-with-checklists,,,,,Carpark,,,,,,,,,,,,,,,,,
,,,,,,,,step,,,,Level 1,,,,,,,,,,,,,,,,,,
Penetrations,Inground Works,Drains,Rough In,Corridor,Fit Off,Commisioning,Plant and Equipment,folder-with-checklists,,,,,Resus Bay,,,,,,,,,,,,,,,,,
Penetrations,Inground Works,Drains,Rough In,Corridor,Fit Off,Commisioning,Plant and Equipment,folder-with-checklists,,,,,Day Procedure Corridor ,,,,,,,,,,,,,,,,,
Penetrations,Inground Works,Drains,Rough In,Corridor,Fit Off,Commisioning,Plant and Equipment,folder-with-checklists,,,,,Day Procedure WC,,,,,,,,,,,,,,,,,
Penetrations,Inground Works,Drains,Rough In,Corridor,Fit Off,Commisioning,Plant and Equipment,folder-with-checklists,,,,,Stage 1 Recovery,,,,,,,,,,,,,,,,,
Penetrations,Inground Works,Drains,Rough In,Corridor,Fit Off,Commisioning,Plant and Equipment,folder-with-checklists,,,,,Corridor,,,,,,,,,,,,,,,,,
Penetrations,Inground Works,Drains,Rough In,Corridor,Fit Off,Commisioning,Plant and Equipment,folder-with-checklists,,,,,Bev Bay,,,,,,,,,,,,,,,,,
Penetrations,Inground Works,Drains,Rough In,Corridor,Fit Off,Commisioning,Plant and Equipment,folder-with-checklists,,,,,Medications,,,,,,,,,,,,,,,,,
Penetrations,Inground Works,Drains,Rough In,Corridor,Fit Off,Commisioning,Plant and Equipment,folder-with-checklists,,,,,ACC Shower,,,,,,,,,,,,,,,,,
Penetrations,Inground Works,Drains,Rough In,Corridor,Fit Off,Commisioning,Plant and Equipment,folder-with-checklists,,,,,Staff Change,,,,,,,,,,,,,,,,,
Penetrations,Inground Works,Drains,Rough In,Corridor,Fit Off,Commisioning,Plant and Equipment,folder-with-checklists,,,,,ACC WC,,,,,,,,,,,,,,,,,
Penetrations,Inground Works,Drains,Rough In,Corridor,Fit Off,Commisioning,Plant and Equipment,folder-with-checklists,,,,,Dirty Utility,,,,,,,,,,,,,,,,,
Penetrations,Inground Works,Drains,Rough In,Corridor,Fit Off,Commisioning,Plant and Equipment,folder-with-checklists,,,,,Decontamination,,,,,,,,,,,,,,,,,
Penetrations,Inground Works,Drains,Rough In,Corridor,Fit Off,Commisioning,Plant and Equipment,folder-with-checklists,,,,,Staff Change Modular,,,,,,,,,,,,,,,,,
Penetrations,Inground Works,Drains,Rough In,Corridor,Fit Off,Commisioning,Plant and Equipment,folder-with-checklists,,,,,Cleaner Modular,,,,,,,,,,,,,,,,,
Penetrations,Inground Works,Drains,Rough In,Corridor,Fit Off,Commisioning,Plant and Equipment,folder-with-checklists,,,,,Staff lounge Modular,,,,,,,,,,,,,,,,,
Penetrations,Inground Works,Drains,Rough In,Corridor,Fit Off,Commisioning,Plant and Equipment,folder-with-checklists,,,,,Operating Theatre Zone Modular,,,,,,,,,,,,,,,,,
,,,,,,,,step,,,,Level 2,,,,,,,,,,,,,,,,,,
Penetrations,Inground Works,Drains,Rough In,Corridor,Fit Off,Commisioning,Plant and Equipment,folder-with-checklists,,,,,Chiller Plant Gantry,,,,,,,,,,,,,,,,,
Penetrations,Inground Works,Drains,Rough In,Corridor,Fit Off,Commisioning,Plant and Equipment,folder-with-checklists,,,,,Plant,,,,,,,,,,,,,,,,,
