"Id","Type","Name","Values","Prompting Name","Usage Count","Resource Id"
"c76e12a6-4af4-47a3-b873-e76c17fba749/1","checklist","Cable Tray","","Cable Tray",12,"d710c886-8b21-4469-bef7-743b54f97b84"
"94b8163d-f8bd-44ab-a224-099f31a7bdb2","section","Cable Tray",,,,
"74179ef6-c787-40b5-9609-6591b500decb","checkpoint","Cable Tray Completed",,,,

"f5c93334-07b9-4f35-860b-0f71eceb1faf/1","checklist","DB 1","","DB 1",216,"54d9abf6-b842-42c8-bccd-68b601f3814c"
"66e81d13-bccb-409b-bb89-93f4f375f87d","section","DB",,,,
"ee527e8b-55a4-4297-ad96-f8074ca8e7d5","checkpoint","DB installed",,,,
"c8dcf9bf-da1e-472c-9afd-849dfec88391","checkpoint","CB's installed",,,,
"52fb7134-562d-4b91-975c-f3562c09f21e","checkpoint","Mains roughed in",,,,
"81466aea-486d-42f1-a192-f90a251e6f77","checkpoint","Lighting feeds roughed in",,,,
"3efa91da-e714-444c-9ac4-25a30e8d6098","checkpoint","Power feeds roughed in",,,,
"67439260-230a-4710-9382-ab51db286cfe","checkpoint","Lighting control feeds roughed in (CBUS & DALI)",,,,
"a76a5c63-9599-497a-93c2-fcc0f749b8ae","checkpoint","Mains fit off",,,,
"d6037f24-07ad-4560-85f4-9a1a7a571056","checkpoint","Lighting fit off",,,,
"07f05637-aae0-47e9-9c6e-6bd899051581","checkpoint","Power fit off",,,,
"e2895f76-f342-44cb-a04c-79b672d73388","checkpoint","Lighting control fit off (CBUS & DALI)",,,,
"b8792dee-389d-46e9-b7da-c434d4199631","checkpoint","Schedule completed (attached to door)",,,,
"482a8d70-194e-49b5-9b17-8ac464a3021f","checkpoint","DB cleaned",,,,
"81b2c0a1-62c0-47cc-a8e7-b7813c44b3c9","checkpoint","Glands tight",,,,
"5fc41feb-4b5a-4d2f-a176-fff14e53bc16","checkpoint","Escutchion secured",,,,
"1be87b99-f7b0-4e70-9b33-3a9b310ffe93","checkpoint","DB complete",,,,

"4af15616-e112-4c78-be43-eb01d90d84a4/1","checklist","DB 2","","DB 2",0,"112edae7-ac20-4a32-8f10-471754f938b7"
"0aad71f5-a048-4b40-bff7-dcb03504cc26","section","DB",,,,
"85120593-a07d-4d4d-b7a2-0ea7b3652a1e","checkpoint","DB installed",,,,
"0174db9e-06e8-4dcc-bd1c-7d791a014a35","checkpoint","CB's installed",,,,
"2be918be-e8b0-4d52-adb4-395bf9c85b63","checkpoint","Mains roughed in",,,,
"cb27cfde-2ae6-4620-aed0-c81fdab3763c","checkpoint","Power feeds roughed in",,,,
"90fe521b-0d01-4bcf-93ed-724db9a6ea89","checkpoint","Mains fit off",,,,
"a366c149-bf82-4637-b58f-0fb3cbefa6ad","checkpoint","Power fit off",,,,
"36342356-1213-4351-9853-a7171935193a","checkpoint","Schedule completed",,,,
"d8aae5a0-f563-4ec2-a471-30b344705dcb","checkpoint","DB cleaned",,,,
"9c4e53f1-c517-4a9d-8df6-e661d3b6a265","checkpoint","Glands tight",,,,
"5d485c42-8e63-44c9-bbc4-beeb8ede83ff","checkpoint","Escutchion secured",,,,
"6bcb7b8b-40f0-4daf-bdab-1680877ae668","checkpoint","DB complete",,,,

"cde5b581-79f1-4b0c-905c-a6c79264bf8b/1","checklist","DB 3","","DB 3",0,"26e95d20-b7fc-4c5a-8e68-3667563d9ef3"
"8ee9e736-0d18-4eaa-81c9-cbe383f1ce4c","section","DB",,,,
"84d57442-f4d5-421c-bfae-eb2bbcc1da31","checkpoint","DB installed",,,,
"92ab56ba-734b-4db9-8c9d-c57ba812b3be","checkpoint","CB's installed",,,,
"3c8be554-76de-43cc-8b3f-53e409c6ab26","checkpoint","Mains roughed in",,,,
"cdd3570b-2232-4542-bfe0-6878cd2fc027","checkpoint","Power feeds roughed in",,,,
"029cc076-d747-403d-9f9c-11fa948c6a61","checkpoint","Mains fit off",,,,
"a97ff379-8d8c-4f05-8eb5-1fd4e9edf3d5","checkpoint","Power fit off",,,,
"ae24c638-f36c-4685-ab3b-faa42358f1ca","checkpoint","Schedule completed",,,,
"fc2b7e96-781f-43e5-810a-24878bf86ddc","checkpoint","DB cleaned",,,,
"1790a4da-880b-493f-a698-26c5699f2f28","checkpoint","Glands tight",,,,
"40e15218-587a-40ce-bded-6660cddbaa36","checkpoint","Escutchion secured",,,,
"fa1a9854-f5b1-4687-a735-cc636180eee7","checkpoint","DB complete",,,,

