"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"99a34497-b193-4c25-b2e4-5bb61d744510","","checklist-flat","no-status-not-started","Site Details","checklist-flat","FALSE","FALSE","Site Details"
"a7a47fe3-03bf-463e-8779-55e2ed7b7b7b","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY"
"d2eb102d-443c-4a99-80c2-1c58c5c5645c","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P001"
"2c6fab96-1f56-4e46-b76f-cde77fe19f81","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P001","Pre-Pour Checklist 1"
"aeab1bbd-3158-43cd-96e9-d354455aecb7","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P001","Concrete Delivery Checklist"
"81f4f8eb-6c6b-40c9-ba5e-5bdd2e5d7466","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P002"
"68c77f2b-ba40-4334-a5b4-83a1bdcafbc8","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P002","Pre-Pour Checklist 1"
"89b0a3af-1cf3-4a09-b7bb-be63d75743c7","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P002","Concrete Delivery Checklist"
"c3fc6eb0-22aa-4863-98fe-61f6e44dfcd7","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P003"
"e68489aa-fb13-48ed-af10-8f2a171afa85","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P003","Pre-Pour Checklist 1"
"ef91b651-28b8-451f-a16a-0311d4a8479f","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P003","Concrete Delivery Checklist"
"cd11958a-ae7b-4288-8789-3b273ad11d7f","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P004"
"7b1c122c-9868-4030-b6e5-9858d12f33b6","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P004","Pre-Pour Checklist 1"
