"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"de66ced1-70a8-427b-850e-7d404c06f4dc","","checklist-flat","no-status-not-started","Site Details","checklist-flat","FALSE","FALSE","Site Details"
"79739953-4765-4b4b-bfa7-70f1252e1e3a","","folder-normal","work-in-progress","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY"
"c5b93565-110c-47a5-a027-e7face674cdd","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P00A"
"384b5234-fbf9-4ec0-b808-43c8b6520b62","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P00A","Pre-Pour Checklist"
"df42bb93-eb49-40ae-b69c-c5716eba02fa","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P00A","Concrete Delivery Checklist"
"0dc482c4-5723-4b65-9536-17b146e3c3f9","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P00A1"
"0ccc1dce-da7f-427e-a664-76449c8e4e46","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P00A1","Pre-Pour Checklist"
"70e06163-21fe-4119-a45c-eb38d879115e","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P00A1","Concrete Delivery Checklist"
"0bd166d4-237c-4a7c-8363-2db24091d4b1","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P00B"
"4ffea1f5-de7b-4439-83e0-e0fb3ada55bd","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P00B","Pre-Pour Checklist"
"03ab840f-83e1-4135-8cb6-2dea2fa08e02","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P00B","Concrete Delivery Checklist"
"8ed4cc28-ea26-42e7-bd2b-5a0fb8c132d6","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P00C"
"a226e118-e566-491d-944e-d2e9acd98184","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P00C","Pre-Pour Checklist"
"e05e3706-1257-44d5-b731-ee9e0d9ca457","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P00C","Concrete Delivery Checklist"
"77645312-b508-44a8-8390-e11ffda52ddb","","folder-normal","work-in-progress","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","FP"
"3af99e1b-a3ee-4ac9-86d9-ccb198024d18","","checklist-sectioned","work-in-progress","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","FP","Pre-Pour Checklist"
"b98e4d5f-a3cd-4ab4-b211-0a9d62a534ad","","checklist-flat","not-started","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","FP","Concrete Delivery Checklist"
"c1fb0e66-9934-42e0-b462-a307b6feb2f3","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P00E"
"267690ba-7246-448e-80d7-c16cf3994e7c","","checklist-sectioned","pass","Pre-Pour Checklist 1","checklist","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P00E","Pre-Pour Checklist"
"0bdc4886-713a-4005-9766-edaf5838082d","","checklist-flat","pass","Concrete Delivery Checklist","checklist-flat","FALSE","FALSE","PRE-POUR & CONCRETE DELIVERY","P00E","Concrete Delivery Checklist"
"0a1e3c2c-d70c-4330-9196-30f11279e027","","folder-normal","pass","","step","TRUE","FALSE","PRE-POUR & CONCRETE DELIVERY","P00F"
