"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f4489126-c007-449f-b2d1-624f8607c670","","work-in-progress","","folder","TRUE","FALSE","Project QA"
"ff472b26-ef26-44a3-af4f-60e018da5a1f","","work-in-progress","","folder","TRUE","FALSE","Project QA","Zone 1"
"d0d0c5ff-ac78-42ed-940e-2828c189ec4b","","work-in-progress","","folder","TRUE","FALSE","Project QA","Zone 1","Earthworks"
"5b054ccd-6ac1-4160-8736-73f03d68b32a","","work-in-progress","ITP - Earthworks Cut 01 Rev 1","checklist","FALSE","FALSE","Project QA","Zone 1","Earthworks","Z01-EWK-ITP - Earthworks Cut 01-LOT-001"
"9121d723-6474-4bc2-892e-d009af751b20","","no-status-not-started","","folder","TRUE","FALSE","Project QA","Zone 1","Drainage"
"edc2cc72-dbda-407c-bc67-4f0207770462","","no-status-not-started","","folder","TRUE","FALSE","Project QA","Zone 1","Pavements"
"542779c3-f311-4ddd-9c4b-f83a42828c0c","","no-status-not-started","","folder","TRUE","FALSE","Project QA","Zone 2"
"f9c84f9e-b386-4add-a532-8158795fca2f","","no-status-not-started","","folder","TRUE","FALSE","Project QA","Zone 2","Earthworks"
"f8843fa4-3ee8-470e-aa60-56b6beddaacb","","no-status-not-started","","folder","TRUE","FALSE","Project QA","Zone 2","Drainage"
"cd1c5d7c-84ee-4b19-94f6-aa1bf95daa74","","no-status-not-started","","folder","TRUE","FALSE","Project QA","Zone 2","Pavements"
"d4ccb6a1-bfa1-4dc6-a506-b5b89cb15361","","work-in-progress","","folder","TRUE","FALSE","Project QA","Zone 3"
"294ea4fd-85c5-4f9e-b5cb-ea5cb211eb0c","","work-in-progress","","folder","TRUE","FALSE","Project QA","Zone 3","Earthworks"
"154b0e3a-9afc-44b6-b480-4b01baea46d1","","work-in-progress","","folder","TRUE","FALSE","Project QA","Zone 3","Earthworks","Fill 12 Temporary Stream Diversions"
"271c2b53-4261-4b98-b368-2d247da8173c","","work-in-progress","SYS - ITP-003 – Subsoil Drainage Install For Season 2023/2024","checklist","FALSE","FALSE","Project QA","Zone 3","Earthworks","Fill 12 Temporary Stream Diversions","ITP-003 – Subsoil Drainage Install For Season 2023/2024"
"47c8841b-11fb-45fb-81e2-ab2ac0c1108d","","work-in-progress","SYS - ITP-006 – Temporary PKS Culverts Installation For Season 2023/2024","checklist","FALSE","FALSE","Project QA","Zone 3","Earthworks","Fill 12 Temporary Stream Diversions","ITP-006 – Temporary PKS Culverts Installation For Season 2023/2024"
"b8a49d15-2765-4ab5-97df-0039279a0a34","","work-in-progress","SYS - ITP - Fill 12 For Season 2023/2024.","checklist","FALSE","FALSE","Project QA","Zone 3","Earthworks","Fill 12 Temporary Stream Diversions","ITP - Fill 12 For Season 2023/2024."
"3231eb66-390a-4b2f-af55-95599efb904a","","work-in-progress","ITP - Fill 12 Rev 2","checklist","FALSE","FALSE","Project QA","Zone 3","Earthworks","Fill 12 Temporary Stream Diversions","ITP - Fill 12 For Season 2024/2025"
"e16fb35c-9220-4eb6-a3d9-9dc908cf792f","","work-in-progress","ITP-003 - Subsoil Drainage Install","checklist","FALSE","FALSE","Project QA","Zone 3","Earthworks","Fill 12 Temporary Stream Diversions","ITP-003 - Subsoil Drainage Install For Season 2024/2025"
"3fc24269-1517-40cb-a094-8740d8170fb3","","work-in-progress","ITP-006 - Temporary Culverts Installation","checklist","FALSE","FALSE","Project QA","Zone 3","Earthworks","Fill 12 Temporary Stream Diversions","ITP-006 - Temporary PKS Culverts Installation For Season 2024/2025"
"e5610242-f4bc-49f1-9ed1-368e0174edf0","","work-in-progress","ITP - Earthworks Cut 10 Rev 1","checklist","FALSE","FALSE","Project QA","Zone 3","Earthworks","ITP - Earthworks Cut 10 Rev 1"
"8fec195a-9938-4c55-aa0f-28e5e3bf9a0c","","work-in-progress","ITP - Earthworks Cut 11 Rev 1","checklist","FALSE","FALSE","Project QA","Zone 3","Earthworks","ITP - Earthworks Cut 11 Rev 1"
"32c26d38-78fa-481f-abbb-8aa9a4d81803","","work-in-progress","SYS - ITP - Fill 12 For Season 2023/2024.","checklist","FALSE","FALSE","Project QA","Zone 3","Earthworks","ITP - Fill 12 For Season 2025/2026"
"3a996ea6-2b08-40df-b0da-138dde6a9575","","no-status-not-started","","folder","TRUE","FALSE","Project QA","Zone 3","Drainage"
