resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
Site Establishment and Safety Checklist,,,,checklist,,,OHS,,,,,,,,
Ductwork Checklist,Grille Fit-Off Checklist,,,folder-with-checklists,,,DUCTWORK:,,,,,,,,
Pipework Checklist,Pipework Testing Checklist,,,folder-with-checklists,,,PIPEWORK:,,,,,,,,
,,,,step,,,PAC UNITS: ,,,,,,,,
PAC Unit Checklist,Drains Checklist,Ductwork Checklist,Grille Fit-Off Checklist,folder-with-checklists,,,,PAC-33-01,,,,,,,
PAC Unit Checklist,Drains Checklist,Ductwork Checklist,Grille Fit-Off Checklist,folder-with-checklists,,,,PAC-33-02,,,,,,,
,,,,step,,,FANS:,,,,,,,,
Fan Checklist,,,,checklist,,,,EF-33-01,,,,,,,
Fan Checklist,,,,checklist,,,,OAF-33-01,,,,,,,
Fan Checklist,,,,checklist,,,,OAF-33-02,,,,,,,
All Subbie Rough-in Progression Checklist,All Subbie Fit off & Testing Progression Checklist,As Builts Checklist,Indoor Equipment Checklist,folder-with-checklists,,,SITE QA,,,,,,,,
