"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"285e1724-2d02-4e1b-91ad-bc5f956c71bd","","folder-normal","fail","","step","TRUE","FALSE","Level 1"
"d444c450-a5cc-4015-94cb-8653bbef131e","","folder-normal","fail","","step","TRUE","FALSE","Level 1","101"
"e9fba440-4400-452a-b8ad-5790dfc28d50","","checklist-flat","pass","Chenery - Below Slab Pipework","checklist-flat","FALSE","FALSE","Level 1","101","Apartment 101 below slab pipework "
"48eff334-4ee8-43e7-aa84-488353fde053","","checklist-sectioned","pass","Chenery - Pressure Test","checklist","FALSE","FALSE","Level 1","101","Apartment 101- Pressure Test (Rehau)"
"1a715ec0-d414-49dd-adbe-098a2af67098","","checklist-sectioned","pass","Chenery - Pressure Test","checklist","FALSE","FALSE","Level 1","101","Apartment 101 - Pressure Test (Copper)"
"3ae9a219-caa1-4094-ab9f-713067bf1544","","checklist-sectioned","fail","Chenery - In Wall Pre-Lining","checklist","FALSE","FALSE","Level 1","101","Apartment 101- In Wall Pre-Lining"
"91e8e92a-ad94-41e6-af7c-7431e8520d92","","checklist-flat","not-started","Shower Tray Checklist","checklist-flat","FALSE","FALSE","Level 1","101","Apartment 101 - Shower Tray Checklist"
"5644dedb-b4ac-4927-abf5-67c8a8ecb43a","","folder-normal","fail","","step","TRUE","FALSE","Level 1","102"
"b5dc4876-d634-488a-a46f-f33167d3fa64","","checklist-flat","pass","Chenery - Below Slab Pipework","checklist-flat","FALSE","FALSE","Level 1","102","Apartment 102- Below Slab Pipework"
"3b631fe1-fa8e-463b-9a6e-0d08152fc4e3","","checklist-sectioned","pass","Chenery - Pressure Test","checklist","FALSE","FALSE","Level 1","102","Apartment 102- Pressure Test (Rehau)"
"71b4081e-7668-402a-b28f-b89c4629f898","","checklist-sectioned","pass","Chenery - Pressure Test","checklist","FALSE","FALSE","Level 1","102","Apartment 102- Pressure Test (Copper)"
"9bf8a924-28e6-4f24-bb50-c1e5a846eb6d","","checklist-sectioned","fail","Chenery - In Wall Pre-Lining","checklist","FALSE","FALSE","Level 1","102","Apartment 102 - In Wall Pre-Lining"
"7adf696f-8c28-453f-8cc9-b7449c55ab55","","checklist-flat","pass","Shower Tray Checklist","checklist-flat","FALSE","FALSE","Level 1","102","Apartment 102 - Shower Tray Checklist"
"a461ae96-6c8f-4cfa-8a6d-c7e3a17ea6f7","","folder-normal","fail","","step","TRUE","FALSE","Level 1","103"
"99396802-d1c3-40c2-8c82-296957d3a22d","","checklist-flat","pass","Chenery - Below Slab Pipework","checklist-flat","FALSE","FALSE","Level 1","103","Apartment 103- Below Slab Pipework"
"574153f4-0502-46a8-b65e-fa0275b1af3f","","checklist-sectioned","pass","Chenery - Pressure Test","checklist","FALSE","FALSE","Level 1","103","Apartment 103- Pressure Test (Rehau)"
"0e4caeaf-f393-4737-aed9-8259772c1c76","","checklist-sectioned","pass","Chenery - Pressure Test","checklist","FALSE","FALSE","Level 1","103","Apartment 103- Pressure Test (Copper)"
"652344c3-e2f4-4a5c-b62c-dbc43c6c776f","","checklist-sectioned","fail","Chenery - In Wall Pre-Lining","checklist","FALSE","FALSE","Level 1","103","Apartment 103 - In Wall Pre-Lining"
"256075bd-8df5-4968-bf06-5bca973172d1","","checklist-flat","pass","Shower Tray Checklist","checklist-flat","FALSE","FALSE","Level 1","103","Apartment 103 - Shower Tray Checklist"
"a666e2aa-422a-40c2-a615-4eca855ac0f3","","folder-normal","fail","","step","TRUE","FALSE","Level 1","104"
"2f945f4b-8cf4-4100-868c-7529b63c252d","","checklist-flat","pass","Chenery - Below Slab Pipework","checklist-flat","FALSE","FALSE","Level 1","104","Apartment 104- Below Slab Pipework"
"dfaed2b9-446a-4ac3-8fa6-9ba9f09bb4e7","","checklist-sectioned","pass","Chenery - Pressure Test","checklist","FALSE","FALSE","Level 1","104","Apartment 104- Pressure Test (Rehau)"
"af70cd3b-07e4-4255-be76-da0e68dba2c5","","checklist-sectioned","pass","Chenery - Pressure Test","checklist","FALSE","FALSE","Level 1","104","Apartment 104- Pressure Test (Copper)"
"7bba2738-200b-4d43-9ec7-7ca50840440b","","checklist-sectioned","fail","Chenery - In Wall Pre-Lining","checklist","FALSE","FALSE","Level 1","104","Apartment 104 - In Wall Pre-Lining"
"6e87f291-ec85-4885-aafa-1d5f3307d1f8","","checklist-flat","pass","Shower Tray Checklist","checklist-flat","FALSE","FALSE","Level 1","104","Apartment 104 - Shower Tray Checklist"
"37a111a5-3560-4721-a24b-0a4c88d0f17b","","folder-normal","fail","","step","TRUE","FALSE","Level 1","105"
"2b154d71-ad7b-4b89-9057-13c24decb5c9","","checklist-flat","pass","Chenery - Below Slab Pipework","checklist-flat","FALSE","FALSE","Level 1","105","Apartment 105 - Below Slab Pipework"
"6e75ba21-1492-441d-8329-d2d2ff77d182","","checklist-sectioned","pass","Chenery - Pressure Test","checklist","FALSE","FALSE","Level 1","105","Apartment 105- Pressure Test (Rehau)"
"98fcb4c3-9d20-4f35-bb14-24044b62cd29","","checklist-sectioned","pass","Chenery - Pressure Test","checklist","FALSE","FALSE","Level 1","105","Apartment 105- Pressure Test (Copper)"
"3bd3c757-26f5-4c7f-be52-2d71a65a8153","","checklist-sectioned","fail","Chenery - In Wall Pre-Lining","checklist","FALSE","FALSE","Level 1","105","Apartment 105 - In Wall Pre-Lining"
"164e3b8f-ad28-43f9-857c-bdab0f039d4f","","checklist-flat","pass","Shower Tray Checklist","checklist-flat","FALSE","FALSE","Level 1","105","Apartment 105 - Shower Tray Checklist"
"b336c4db-b108-4abb-b7f0-85f66840e60b","","folder-normal","fail","","step","TRUE","FALSE","Level 1","106"
"f2d05efa-ac0d-4401-a752-5f1e574d9b17","","checklist-flat","pass","Chenery - Below Slab Pipework","checklist-flat","FALSE","FALSE","Level 1","106","Apartment 106- Below Slab Pipework"
"fdec58c0-d96d-4d61-b4ef-66c4bd804f3a","","checklist-sectioned","pass","Chenery - Pressure Test","checklist","FALSE","FALSE","Level 1","106","Apartment 106- Pressure Test (Rehau)"
"d80d4bd8-948c-49e3-86f4-08e1d0a329ff","","checklist-sectioned","pass","Chenery - Pressure Test","checklist","FALSE","FALSE","Level 1","106","Apartment 106- Pressure Test (Copper)"
"c9652d11-9f56-4502-b7a9-3a565a966e4a","","checklist-sectioned","fail","Chenery - In Wall Pre-Lining","checklist","FALSE","FALSE","Level 1","106","Apartment 106 - In Wall Pre-Lining"
"add10ddc-62af-4923-9277-cfe0bd32013c","","checklist-flat","pass","Shower Tray Checklist","checklist-flat","FALSE","FALSE","Level 1","106","Apartment 106 - Shower Tray Checklist"
"5738938b-21fe-4eea-af12-70af33196f29","","folder-normal","fail","","step","TRUE","FALSE","Level 1","107"
"5e680d62-3d9d-41ed-89c7-d63d0dbfb2af","","checklist-flat","pass","Chenery - Below Slab Pipework","checklist-flat","FALSE","FALSE","Level 1","107","Apartment 107- Below Slab Pipework"
"22b1cdc7-aad9-43be-8eb7-d7ad8bc40282","","checklist-sectioned","pass","Chenery - Pressure Test","checklist","FALSE","FALSE","Level 1","107","Apartment 107- Pressure Test (Rehau)"
"ee6706b0-f5fd-4a7b-b63e-fdf2d3f372be","","checklist-sectioned","pass","Chenery - Pressure Test","checklist","FALSE","FALSE","Level 1","107","Apartment 107- Pressure Test (Copper)"
"a086f798-11ee-4f21-80a3-40e16fade43e","","checklist-sectioned","fail","Chenery - In Wall Pre-Lining","checklist","FALSE","FALSE","Level 1","107","Apartment 107 - In Wall Pre-Lining"
"0aa3a030-bea6-434b-8820-7e195eec925d","","checklist-flat","pass","Shower Tray Checklist","checklist-flat","FALSE","FALSE","Level 1","107","Apartment 107 - Shower Tray Checklist"
"7e633f99-3693-4158-acbc-146dfdb7fe5a","","folder-normal","fail","","step","TRUE","FALSE","Level 1","108"
"ffb409d3-2721-4ab1-9c6e-1fc78f5cdca2","","checklist-flat","pass","Chenery - Below Slab Pipework","checklist-flat","FALSE","FALSE","Level 1","108","Apartment 108- Below Slab Pipework"
"c88ba67f-552b-493f-8573-a8326249d17f","","checklist-sectioned","pass","Chenery - Pressure Test","checklist","FALSE","FALSE","Level 1","108","Apartment 108- Pressure Test (Rehau)"
"07399d9f-5158-4077-a6cd-4ae223bc3eac","","checklist-sectioned","pass","Chenery - Pressure Test","checklist","FALSE","FALSE","Level 1","108","Apartment 108- Pressure Test (Copper)"
"8a8ec01e-ec34-41a8-978c-77af206cdd16","","checklist-sectioned","fail","Chenery - In Wall Pre-Lining","checklist","FALSE","FALSE","Level 1","108","Apartment 108 - In Wall Pre-Lining"
"70acafbd-e70d-4734-bef7-ea3c1fbe4dac","","checklist-flat","pass","Shower Tray Checklist","checklist-flat","FALSE","FALSE","Level 1","108","Apartment 108 - Shower Tray Checklist"
"608d112c-c7f4-4a33-9272-93c2f1956554","","folder-normal","fail","","step","TRUE","FALSE","Level 1","109"
"dad2c9d9-e17e-4080-b6fb-e8f7226ba41b","","checklist-flat","pass","Chenery - Below Slab Pipework","checklist-flat","FALSE","FALSE","Level 1","109","Apartment 109- Below Slab Pipework"
"b6847de3-b722-4a8f-b995-4a6cc2f52546","","checklist-sectioned","pass","Chenery - Pressure Test","checklist","FALSE","FALSE","Level 1","109","Apartment 109- Pressure Test (Rehau)"
"6ad7a662-5e0b-4be2-9eaf-405fc65ee2e6","","checklist-sectioned","pass","Chenery - Pressure Test","checklist","FALSE","FALSE","Level 1","109","Apartment 109- Pressure Test (Copper)"
"424980f8-c503-4d18-ba8a-13e112dcece7","","checklist-sectioned","fail","Chenery - In Wall Pre-Lining","checklist","FALSE","FALSE","Level 1","109","Apartment 109 - In Wall Pre-Lining"
"017b8569-d874-4a09-a703-0997456be631","","checklist-flat","pass","Shower Tray Checklist","checklist-flat","FALSE","FALSE","Level 1","109","Apartment 109 - Shower Tray Checklist"
"7b7874e8-14f2-4524-bd13-74d109fcc98b","","folder-normal","fail","","step","TRUE","FALSE","Level 1","110"
"a322e5d0-ff02-43e1-9d93-0bc86992fea5","","checklist-flat","pass","Chenery - Below Slab Pipework","checklist-flat","FALSE","FALSE","Level 1","110","Apartment 110- Below Slab Pipework"
"2649ca74-ae23-4583-a585-5828328ee810","","checklist-sectioned","pass","Chenery - Pressure Test","checklist","FALSE","FALSE","Level 1","110","Apartment 110- Pressure Test (Rehau)"
"b4ec856c-1137-404b-940c-454a169b0901","","checklist-sectioned","pass","Chenery - Pressure Test","checklist","FALSE","FALSE","Level 1","110","Apartment 110- Pressure Test (Copper)"
"12bece71-d888-4316-a36e-301ac941fb42","","checklist-sectioned","fail","Chenery - In Wall Pre-Lining","checklist","FALSE","FALSE","Level 1","110","Apartment 110 - In Wall Pre-Lining"
"67c630ee-0f3d-4da9-ac6c-038631195859","","checklist-flat","pass","Shower Tray Checklist","checklist-flat","FALSE","FALSE","Level 1","110","Apartment 110 - Shower Tray Checklist"
"1f4a5a62-ede5-4bc7-80d9-8a3cd96e2326","","folder-normal","fail","","step","TRUE","FALSE","Level 2"
"66109241-d6ad-4cdc-95c5-da7448ad68ca","","folder-normal","pass","","step","TRUE","FALSE","Level 2","Cu supply level 2"
"9923811d-0edb-487d-8682-7644a0af655f","","checklist-sectioned","pass","Chenery - In Wall Pre-Lining","checklist","FALSE","FALSE","Level 2","Cu supply level 2","Level 2 East Cu - In Wall Pre-Lining"
"da28d758-15d9-4b61-b411-f7dd734a553d","","checklist-sectioned","pass","Chenery - In Wall Pre-Lining","checklist","FALSE","FALSE","Level 2","Cu supply level 2","Level 2 West Cu - In Wall Pre-Lining"
"05e9dbc3-a3ee-4f98-bf2b-6144b80a06e3","","checklist-sectioned","pass","Chenery - Pressure Test","checklist","FALSE","FALSE","Level 2","Cu supply level 2","Level 2 East Cu - Pressure Test"
