"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f54d08c9-d36a-4117-90a5-cbf9b16de40e","","pass","","folder","TRUE","FALSE","Manufacture QA"
"5a9b7da0-8160-4248-9ce4-7fa13130709a","","pass","","folder","TRUE","FALSE","Manufacture QA","BB.1"
"9d150eb5-eb39-40de-a43b-0ae90b37360b","","pass","zSYS - Pre-Pour Checklist 1 (BB Units) (old version)","checklist","FALSE","FALSE","Manufacture QA","BB.1","Pre-Pour Checklist 1"
"d728b556-b2ff-4367-95c9-18f27d1af166","","pass","DECA Inspector sign off","checklist","FALSE","FALSE","Manufacture QA","BB.1","The DECA Inspector sign off"
"bad5b1a9-94e4-459b-a6ef-c35b62da40d3","","pass","Concrete Delivery Checklist (BB Units)","checklist","FALSE","FALSE","Manufacture QA","BB.1","Concrete Delivery Checklist"
"4594b258-6902-450e-9000-9168184d0ab8","","pass","Post-pour Checklist (BB Units)","checklist","FALSE","FALSE","Manufacture QA","BB.1","Post-pour Checklist"
"220e758e-e8b1-4b25-980c-23fe38a03720","","pass","","folder","TRUE","FALSE","Manufacture QA","BB.2"
"3e7914dc-3432-4b6d-878c-c0d997cf9dcc","","pass","zSYS - Pre-Pour Checklist 1 (BB Units) (old version)","checklist","FALSE","FALSE","Manufacture QA","BB.2","Pre-Pour Checklist 1"
"1a824664-cb06-45ed-9f75-813f7966932f","","pass","DECA Inspector sign off","checklist","FALSE","FALSE","Manufacture QA","BB.2","The DECA Inspector sign off"
"3f047adf-7343-4ff9-80aa-73199f0b4e3a","","pass","Concrete Delivery Checklist (BB Units)","checklist","FALSE","FALSE","Manufacture QA","BB.2","Concrete Delivery Checklist"
"ed34ff83-73d7-424c-9b0a-dd0fc8676b3d","","pass","Post-pour Checklist (BB Units)","checklist","FALSE","FALSE","Manufacture QA","BB.2","Post-pour Checklist"
"56ef7ecb-9a65-404d-ab91-e9ec2d443f72","","pass","","folder","TRUE","FALSE","Manufacture QA","BB.3"
"6583e977-1b21-44f6-b032-d22c476e25a9","","pass","zSYS - Pre-Pour Checklist 1 (BB Units) (old version)","checklist","FALSE","FALSE","Manufacture QA","BB.3","Pre-Pour Checklist 1"
"1f989097-b120-47a8-911b-1b22d51bfaab","","pass","DECA Inspector sign off","checklist","FALSE","FALSE","Manufacture QA","BB.3","The DECA Inspector sign off"
"e75590a6-f02c-46e4-b6bc-9364d5ff9df8","","pass","Concrete Delivery Checklist (BB Units)","checklist","FALSE","FALSE","Manufacture QA","BB.3","Concrete Delivery Checklist"
"45b88ff9-7717-4f26-982e-c65f4a210667","","pass","Post-pour Checklist (BB Units)","checklist","FALSE","FALSE","Manufacture QA","BB.3","Post-pour Checklist"
"ceace758-a669-443d-a197-3708363feca7","","pass","","folder","TRUE","FALSE","Manufacture QA","BW.1 -1"
"d4a19513-0c2d-47a1-9fb0-bafa977190e4","","pass","Pre-Pour Checklist 1 (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -1","Pre-Pour Checklist 1"
"f96146ea-2baf-417d-9df6-42f40cac5ffd","","pass","DECA Inspector sign off","checklist","FALSE","FALSE","Manufacture QA","BW.1 -1","The DECA Inspector sign off"
"20d3bc50-9ae7-4e91-b72c-4b61d97575a7","","pass","Concrete Delivery Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -1","Concrete Delivery Checklist"
"1584ec2a-9eb2-4954-8b10-b849698908b8","","pass","Post-pour Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -1","Post-pour Checklist"
"4b6f5956-e706-4161-866c-33f3f6072d0f","","pass","","folder","TRUE","FALSE","Manufacture QA","BW.1 -2"
"510e2dde-1c83-4f7a-a502-30d0c7a5daca","","pass","Pre-Pour Checklist 1 (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -2","Pre-Pour Checklist 1"
"a0872acd-94d6-4940-accf-849503987b37","","pass","DECA Inspector sign off","checklist","FALSE","FALSE","Manufacture QA","BW.1 -2","The DECA Inspector sign off"
"720b620c-de6a-4fda-8527-75f2fe8bc8ba","","pass","Concrete Delivery Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -2","Concrete Delivery Checklist"
"c217c3fa-b31b-451b-9429-bc1e95a1d532","","pass","Post-pour Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -2","Post-pour Checklist"
"c49f7cc7-5584-4f1e-8472-c9721467220d","","pass","","folder","TRUE","FALSE","Manufacture QA","BW.1 -3"
"3acd2cdb-5c78-49b5-99ef-930ca773cc95","","pass","Pre-Pour Checklist 1 (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -3","Pre-Pour Checklist 1"
"7c70d822-e931-48bd-b66e-171508bd9aad","","pass","DECA Inspector sign off","checklist","FALSE","FALSE","Manufacture QA","BW.1 -3","The DECA Inspector sign off"
"cd199b64-5485-4391-9c8a-a3e1cc2106ce","","pass","Concrete Delivery Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -3","Concrete Delivery Checklist"
"866f4e6c-281c-4773-9eb9-b9f2546f89eb","","pass","Post-pour Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -3","Post-pour Checklist"
"1d4fe63d-bc55-4fe7-be96-1ba4747dfdb9","","pass","","folder","TRUE","FALSE","Manufacture QA","BW.1 -4"
"cf3dd31c-32f1-423f-8554-5a8939c3b2f4","","pass","Pre-Pour Checklist 1 (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -4","Pre-Pour Checklist 1"
"6cd25d8f-194c-41c7-8023-4871ee864ee6","","pass","DECA Inspector sign off","checklist","FALSE","FALSE","Manufacture QA","BW.1 -4","The DECA Inspector sign off"
"c302bd29-8e2f-4ee1-9b17-2d9814dfbc6c","","pass","Concrete Delivery Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -4","Concrete Delivery Checklist"
"5ea1778a-5b85-4b13-a030-c372fdd574c6","","pass","Post-pour Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -4","Post-pour Checklist"
"83ede2ac-e4cb-49b6-8f16-bbdcacacf08e","","pass","","folder","TRUE","FALSE","Manufacture QA","BW.1 -5"
"7c1e16f4-58fa-44be-8b8b-72bde587374c","","pass","Pre-Pour Checklist 1 (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -5","Pre-Pour Checklist 1"
"05b74b43-b328-4ed3-8af5-dbd02aef6b4f","","pass","DECA Inspector sign off","checklist","FALSE","FALSE","Manufacture QA","BW.1 -5","The DECA Inspector sign off"
"38d245ff-f2ae-4e60-8f13-b2c731815df3","","pass","Concrete Delivery Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -5","Concrete Delivery Checklist"
"d092d069-fed8-4002-ba2e-985d87beba23","","pass","Post-pour Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -5","Post-pour Checklist"
"13a57b17-ec87-4ba8-bc8a-a443dfae1478","","pass","","folder","TRUE","FALSE","Manufacture QA","BW.1 -6"
"48cbc7dd-2fb8-434e-b25c-f96290c6fb34","","pass","Pre-Pour Checklist 1 (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -6","Pre-Pour Checklist 1"
"9e2441aa-e655-424b-987c-e1ae4969fc84","","pass","DECA Inspector sign off","checklist","FALSE","FALSE","Manufacture QA","BW.1 -6","The DECA Inspector sign off"
"122a2706-3128-4c8d-9ae5-336d5339008f","","pass","Concrete Delivery Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -6","Concrete Delivery Checklist"
"eb11cd69-b89b-446b-b2a5-f16b80b0bdd7","","pass","Post-pour Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -6","Post-pour Checklist"
"32c76b1a-d45b-4eba-ac9d-b83e4ab8a74e","","pass","","folder","TRUE","FALSE","Manufacture QA","BW.1 -7"
"1c3bf997-3f9f-49c9-ae78-ea5ccc224a07","","pass","Pre-Pour Checklist 1 (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -7","Pre-Pour Checklist 1"
"dcb43b71-d18f-4d5d-affb-deb90d638c38","","pass","DECA Inspector sign off","checklist","FALSE","FALSE","Manufacture QA","BW.1 -7","The DECA Inspector sign off"
"118634c6-4cda-4fd4-9e06-51c7a80e380f","","pass","Concrete Delivery Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -7","Concrete Delivery Checklist"
"672cf698-c153-45a0-b4a8-00c4fd38835b","","pass","Post-pour Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -7","Post-pour Checklist"
"829b2613-3f47-4b41-8e25-10338709abc1","","pass","","folder","TRUE","FALSE","Manufacture QA","BW.1 -8"
"7144efa5-372c-498c-9dd2-c49b96872264","","pass","Pre-Pour Checklist 1 (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -8","Pre-Pour Checklist 1"
"40f77596-59f6-4014-bd2a-173d6073c647","","pass","DECA Inspector sign off","checklist","FALSE","FALSE","Manufacture QA","BW.1 -8","The DECA Inspector sign off"
"2a0583b7-ec9e-47a8-bbf2-926f8bfa3b77","","pass","Concrete Delivery Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -8","Concrete Delivery Checklist"
"ceb46ab4-01dc-4f0f-9985-c8753a493b6f","","pass","Post-pour Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -8","Post-pour Checklist"
"6db9f60e-ebe3-4cf1-a383-164779cf6aea","","pass","","folder","TRUE","FALSE","Manufacture QA","BW.1 -9"
"9a7944d1-5d53-4a18-b9fd-dc0fd9707e8a","","pass","Pre-Pour Checklist 1 (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -9","Pre-Pour Checklist 1"
"fd1489ea-3969-443c-9556-8506a761da83","","pass","DECA Inspector sign off","checklist","FALSE","FALSE","Manufacture QA","BW.1 -9","The DECA Inspector sign off"
"c31b46dd-a34e-421a-bed1-e8706dd04e77","","pass","Concrete Delivery Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -9","Concrete Delivery Checklist"
"a6297e42-90f9-4ee2-b6c0-2a4b6e4cf65a","","pass","Post-pour Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -9","Post-pour Checklist"
"841be4a5-c6f3-47dc-830e-846d3c69d38b","","pass","","folder","TRUE","FALSE","Manufacture QA","BW.1 -10"
"e6a93cf1-8ee4-4fad-bc5c-37160419bccc","","pass","Pre-Pour Checklist 1 (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -10","Pre-Pour Checklist 1"
"d0f7c4f5-7efb-46e4-a02e-e804f36d5d64","","pass","DECA Inspector sign off","checklist","FALSE","FALSE","Manufacture QA","BW.1 -10","The DECA Inspector sign off"
"62b204bc-69b4-453a-ad28-bfc9a2d15e07","","pass","Concrete Delivery Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -10","Concrete Delivery Checklist"
"013abaaf-4931-4cc4-a12c-eb9fa9588c4b","","pass","Post-pour Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -10","Post-pour Checklist"
"cf6e814b-f7c3-40ca-9f9b-a8276e8ddd44","","pass","","folder","TRUE","FALSE","Manufacture QA","BW.1 -11"
"c809bd6d-2ff5-466e-8a88-335246166738","","pass","Pre-Pour Checklist 1 (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -11","Pre-Pour Checklist 1"
"64c6570d-b127-410e-a868-d8b440d6761c","","pass","DECA Inspector sign off","checklist","FALSE","FALSE","Manufacture QA","BW.1 -11","The DECA Inspector sign off"
"0b8c9edc-46a1-45eb-a1d1-dae4d71b049a","","pass","Concrete Delivery Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -11","Concrete Delivery Checklist"
"c93834a8-85fa-4587-ba39-96f815914bcf","","pass","Post-pour Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -11","Post-pour Checklist"
"640348fe-93a3-4be9-b42a-a4fb5d0de7d9","","pass","","folder","TRUE","FALSE","Manufacture QA","BW.1 -12"
"bcb2aa82-6f4a-4236-b9b1-ae27ea81919b","","pass","Pre-Pour Checklist 1 (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -12","Pre-Pour Checklist 1"
"8b747247-4cb4-445b-9f12-6e990a0a73c5","","pass","DECA Inspector sign off","checklist","FALSE","FALSE","Manufacture QA","BW.1 -12","The DECA Inspector sign off"
"abb786b9-5aeb-4514-9815-5be552a8408f","","pass","Concrete Delivery Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -12","Concrete Delivery Checklist"
"253b173c-d623-4c39-b704-f2d260a7a856","","pass","Post-pour Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -12","Post-pour Checklist"
"cb0bbb8c-eb4a-44a6-8017-79a0f66257a7","","pass","","folder","TRUE","FALSE","Manufacture QA","BW.1 -13"
"3e9fc048-4212-49fc-bae6-7aa2481a663a","","pass","Pre-Pour Checklist 1 (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -13","Pre-Pour Checklist 1"
"40dc5ffe-a56a-4946-afa0-bdbd00951636","","pass","DECA Inspector sign off","checklist","FALSE","FALSE","Manufacture QA","BW.1 -13","The DECA Inspector sign off"
"4b2011af-ef07-4ec8-89ff-94dd5de22b80","","pass","Concrete Delivery Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -13","Concrete Delivery Checklist"
"20a2e67a-516c-4c7f-9b3e-822acd09cc6f","","pass","Post-pour Checklist (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -13","Post-pour Checklist"
"c343fec7-83cb-4019-994b-3a7cd61457c5","","pass","","folder","TRUE","FALSE","Manufacture QA","BW.1 -14"
"3c500fc0-9bc9-40d3-9460-422c105c73bc","","pass","Pre-Pour Checklist 1 (Remaining Units)","checklist","FALSE","FALSE","Manufacture QA","BW.1 -14","Pre-Pour Checklist 1"
