type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,,,,,,,
checklist,ITP-206-CIV-Calder-Street Lighting (Supply and Install),itp,,,,,ITP-206-CIV-Calder-Street Lighting (Supply and Install) Rev 0,,,,,,,,,,,,,,,,
section,1. Referenced Documentation,,,,,,,,,,,,,,,,,,,,,,
checkpoint-no-value,Referenced Documentation,,,,,,,,,,,,,,,,,,,,,,
label,Document Title: ITP-206-CIV-Calder-Street Lighting (Supply and Install),,,,,,,,,,,,,,,,,,,,,,
label,ITP Description: Street Lighting (Supply and Install),,,,,,,,,,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): CIV,,,,,,,,,,,,,,,,,,,,,,
label,Revision Number: 0,,,,,,,,,,,,,,,,,,,,,,
label,Revision Date: 8/10/2024,,,,,,,,,,,,,,,,,,,,,,
label,ITP created by: Jason Quan/Derek Collins,,,,,,,,,,,,,,,,,,,,,,
label,ITP approved for use by: Pradeep Talasila,,,,,,,,,,,,,,,,,,,,,,
label,1.1 - Non Dependent,,,,,,,,,,,,,,,,,,,,,,
label,Reference - IFC Drawings,,,,,,,,,,,,,,,,,,,,,,
label,1.2 - Non Dependent,,,,,,,,,,,,,,,,,,,,,,
label,Reference - Jemena Electricity Networks,,,,,,,,,,,,,,,,,,,,,,
label,1.3 - Non Dependent,,,,,,,,,,,,,,,,,,,,,,
label,Reference - VR Section 733,,,,,,,,,,,,,,,,,,,,,,
label,1.4 - Non Dependent,,,,,,,,,,,,,,,,,,,,,,
label,Reference - AS/NZS 3000,,,,,,,,,,,,,,,,,,,,,,
label,1.5 - Non Dependent,,,,,,,,,,,,,,,,,,,,,,
label,Reference - AS/NZS 1158.3.1,,,,,,,,,,,,,,,,,,,,,,
section,2. Preliminaries Preliminaries - Materials,,,,,,,,,,,,,,,,,,,,,,
checkpoint,2.1 - Material Compliance - Obtain and review manufacturer documentations for the supply of materials.,,,,,,,,,,,,,,,,,,,,,,
label,Reference - IFC Drawings Section 733,,,,,,,,,,,,,,,,,,,,,,
label,"Acceptance Criteria - Materials comply with IFC Drawings,VESI Standards.",,,,,,,,,,,,,,,,,,,,,,
label,"○ All materials shall comply with the standards and specifications shown on the drawings. All structural steel, associated components and welding consumables shall be manufactured by companies that hold quality systems certification to AS/NZS ISO 9001.",,,,,,,,,,,,,,,,,,,,,,
label,* Enter: Teambinder Hold Point Release Number,,,,,,,,,,,,,,,,,,,,,,
label,Method - Document Review,,,,,,,,,,,,,,,,,,,,,,
label,Frequency - Per Source,,,,,,,,,,,,,,,,,,,,,,
label,Category - HP,,,,,,,,,,,,,,,,,,,,,,
label,Responsibility - Nominated Authority,,,,,,,,,,,,,,,,,,,,,,
label,Verifying Documents - ConQA HP Release,,,,,,,,,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,,,,,,,,,
