type,name,values,prefix,postfix,usage count,user addable,template name,,,
checklist-flat,Job Details,,,,,,,,,
checkpoint,Project details entered below,,,,,,,,,
textbox,Job Number,,,,,,,,,
textbox,Project Name,,,,,,,,,
textbox,Site Address,,,,,,,,,
textbox,Builder,,,,,,,,,
textbox,Euro Precast Project Manager,,,,,,,,,
textbox,Euro Precast Lead Draftsperson,,,,,,,,,
textbox,Euro Precast Installer,,,,,,,,,
checkpoint,Grouts submitted for approval (UPLOAD TDS and SDS for each grout submitted),,,,,,,,,
checkpoint,Have submitted grouts been approved? (UPLOAD copy of approval),,,,,,,,,
checkpoint,Caulking products submitted for approval (UPLOAD TDS and SDS for each caulking product submitted),,,,,,,,,
checkpoint,Have submitted caulking products been approved? (UPLOAD copy of approval),,,,,,,,,
checkpoint,Patching products submitted for approval (UPLOAD TDS and SDS for each patching product submitted),,,,,,,,,
checkpoint,Have patching products been approved? (UPLOAD copy of approval),,,,,,,,,
,,,,,,,,,,
checklist,Manufacturing Checklist,,,,,,,,,
section,Manufacturing Documents,,,,,,,,,
checkpoint,IFC Element Drawing,,,,,,,,,
checkpoint,Euro Precast Primary Lifting and Propping Certification,,,,,,,,,
checkpoint,Secondary Lifting Certification,,,,,,,,,
section,Pre-Pour Checks,,,,,,,,,
checkpoint,Mould check,,,,,,,,,
tickbox,Mould clean with release oil applied correctly,,,,,,,,,
tickbox,Primary & diagonal dimensions checked,,,,,,,,,
tickbox,Openings Checked and Correct,,,,,,,,,
tickbox,"Rebates, Architectural Grooves Installed Correctly",,,,,,,,,
tickbox,Formwork chamfers installed correctly where required,,,,,,,,,
checkpoint,Reinforcing check,,,,,,,,,
tickbox,Correct Size and Type,,,,,,,,,
tickbox,Laps and Splices correct,,,,,,,,,
tickbox,Cover Checked,,,,,,,,,
tickbox,Spacing Checked,,,,,,,,,
checkpoint,Cast in items check,,,,,,,,,
tickbox,"Ferrules/Inserts installed, checked and correct",,,,,,,,,
tickbox,"Starter Bars inserted, checked and correct",,,,,,,,,
tickbox,"Lifting anchors installed, checked and correct",,,,,,,,,
checkpoint,Check Minimum Cover,,,,,,,,,
checkpoint,ID Tag installed in non-visible face,,,,,,,,,
checkpoint,Pre-Pour checks completed and approval given to pour Element,,,,,,,,,
label,Upload sufficient number of photos of element,,,,,,,,,
checkpoint,Upload photo of signed pre-pour check of shop drawing,,,,,,,,,
section,Concrete Pour Checks,,,,,,,,,
checkpoint,Concrete Strength correct as per design,,,,,,,,,
tickbox,All Concrete Dockets Attached,,,,,,,,,
textbox,Date element was cast,,,,,,,,,
section,Post-Pour / Pre Delivery Checks,,,,,,,,,
checkpoint,Visual Check,,,,,,,,,
tickbox,Does the finish meet class 2 as per AS3610,,,,,,,,,
tickbox,"Chamfers clean, neat and on all required edges",,,,,,,,,
tickbox,Lifting anchors checked and approved,,,,,,,,,
tickbox,Critical fitments / fixtures checked and approved,,,,,,,,,
tickbox,Openings (formwork removed),,,,,,,,,
tickbox,Nailplates / Recesses etc removed,,,,,,,,,
checkpoint,Any Strongbacks Installed where required,,,,,,,,,
checkpoint,Element free from defects that will impact structural integrity or durability?,,,,,,,,,
label,"If 'FLAG', raise NCR and notify EP Project Manager to discuss with builder",,,,,,,,,
tickbox,"If NCR raised, take photo of completed approved works",,,,,,,,,
checkpoint,"All Post Pour Works complete - Element Checked, Approved and Ready for delivery",,,,,,,,,
section,Concrete Test Results,,,,,,,,,
checkpoint,Concrete Test Result attached,,,,,,,,,
Label,Upload actual test result OR a test result of the same mix design from the same day,,,,,,,,,
,,,,,,,,,,
checklist,Delivery / Installation Day Checklist,,,,,,,,,
section,HOLD POINT - Confirmation of slab strength,,,,,,,,,
checkpoint,Has the slab reached the minimum strength required (UPLOAD copy of concrete slab test result),,,,,,,,,
label,12MPa for cast-in anchors and 20MPa for post installed anchors,,,,,,,,,
section,Prestart / Start-up,,,,,,,,,
checkpoint,Date of Installation,,,,,,,,,
checkpoint,Exclusion Zone is set up (PHOTO REQUIRED of the exclusion zone),,,,,,,,,
checkpoint,Plant & Equipment prestart/logbooks filled out (PHOTO REQUIRED of logbooks),,,,,,,,,
checkpoint,Toolbox Talk / Pre-Start has been completed (PHOTO REQUIRED of talk),,,,,,,,,
checkpoint,Element details,,,,,,,,,
dropdown,Number of elements installed (COMMENT below if number of elements installed doesn't match the Load Lists in the Safe Load Declarations),"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40",,,,,,,,
,,,,,,,,,,
checklist,Installation Checklist,,,,,,,,,
section,Element Install & Grouting,,,,,,,,,
checkpoint,Bedding grout placed and finished as per project requirements,,,,,,,,,
tickbox,Bedding grout (trowellable) used is as per project specification (PHOTO REQUIRED of the grout bag),,,,,,,,,
tickbox,Grout mixed in line with manufacturers recommendations,,,,,,,,,
tickbox,Grout bed sufficient to ensure full coverage (PHOTO REQUIRED of grout bed prior to landing element),,,,,,,,,
checkpoint,Element installed to (PHOTO REQUIRED to show survey pins and spirit level bubble):,,,,,,,,,
tickbox,Survey Pins,,,,,,,,,
tickbox,Within 5mm of vertical plumb,,,,,,,,,
tickbox,Face alignment within 5mm,,,,,,,,,
checkpoint,Element propped as per Euro Precast PEDS (PHOTO REQUIRED of element propped),,,,,,,,,
tickbox,Prop bolts installed with tool to ensure locking mechanism can't be removed by hand,,,,,,,,,
checkpoint,Dowel tube (flowable) grout placed and finished as per project requirements,,,,,,,,,
tickbox,Dowel tube grout used is as per project specification (PHOTO REQUIRED of the grout bag),,,,,,,,,
tickbox,Grout mixed in line with manufacturers recommendations,,,,,,,,,
tickbox,Dowel tubes filled to top of tubes,,,,,,,,,
checkpoint,"Were there any delays or Site Instructions given. If yes, please comment below and have builder sign",,,,,,,,,
label,"If site instruction was given or delays experienced, mark as FAIL so Euro Precast Project Manager can review. Once reviewed, Euro Precast Project Manager will change the status to PASS with appropriate comments.",,,,,,,,,
