"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9afe8068-6025-4bf9-aea0-61e6b47f5f9a","","folder-normal","","","step","TRUE","FALSE","Site Diary"
"03aa2e42-947a-4d32-a7db-f53794f8f1b7","","folder-normal","","","step","TRUE","FALSE","Site Diary","Undocumented variations"
"b3593ca1-e478-4ef0-92a4-f678b7425aa2","","checklist-flat","","Undocumented Variations","checklist-flat","FALSE","FALSE","Site Diary","Undocumented variations","Builder"
"9f2498af-51a3-4be4-9002-f3fb05791ddd","","checklist-flat","","Undocumented Variations","checklist-flat","FALSE","FALSE","Site Diary","Undocumented variations","Subcontractors"
"98e09a2c-1bae-47cb-a874-eb37094dffc2","","checklist-flat","","Site Diary Checklist","checklist-flat","FALSE","FALSE","Site Diary","Site Diary comments/notes"
"aa03dfc5-de85-4a62-a1c8-c5739b3f52d0","","folder-normal","","","step","TRUE","FALSE","Toolbox Meetings"
"630f39a3-280d-4ad0-8b60-fc7cc77ee0af","","folder-normal","","","step","TRUE","FALSE","Toolbox Meetings","August 2023"
"f5b24230-d0bb-4b69-b14b-b66cfc555e60","","folder-normal","","","step","TRUE","FALSE","Toolbox Meetings","September 2023"
"ddee196c-e4ae-4113-984b-1cdb3ff7ac2a","","folder-normal","","","step","TRUE","FALSE","Toolbox Meetings","October 2023"
"30c5c629-0cd3-4a7e-b5cb-a61d3042b58a","","folder-normal","","","step","TRUE","FALSE","Toolbox Meetings","November 2023"
"4d4d0833-33f5-42b2-b8fc-9d0da3baa066","","folder-normal","","","step","TRUE","FALSE","Toolbox Meetings","December 2023"
"c7484a36-15c7-4270-a95d-769f3308d711","","folder-normal","","","step","TRUE","FALSE","Project Drawings"
"0192052a-808e-4798-bd39-4f21156e539c","","checklist-flat","","Project Drawings","checklist-flat","FALSE","FALSE","Project Drawings","Peno Drawings"
"a5cf31d1-edf5-42bc-9ecc-711bbb7ffe01","","checklist-flat","","Project Drawings","checklist-flat","FALSE","FALSE","Project Drawings","Fabb Sheets"
"18f12966-c078-4760-8cc1-66930cc6e24a","","checklist-flat","","Project Drawings","checklist-flat","FALSE","FALSE","Project Drawings","Fitters Drawings"
"608b719f-b88e-407a-87f5-9fdf77123d04","","checklist-flat","","Project Drawings","checklist-flat","FALSE","FALSE","Project Drawings","RCP"
"0b06ab1d-2d8d-419d-ac62-05f7c442001c","","checklist-flat","","Project Drawings","checklist-flat","FALSE","FALSE","Project Drawings","Material Sheets"
"8c0878da-1d56-4576-a79a-7ad3c0f9a516","","folder-normal","","","step","TRUE","FALSE","Site QA"
"bfbd4e49-faab-417d-be79-ddd7f8514d8c","","folder-normal","","","step","TRUE","FALSE","Site QA","Rough In"
"eb93befb-08bd-43e2-9499-7980bdcc68d2","","checklist-flat","","Sprinkler Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","B1"
"c5270c5c-0ceb-4ce7-bf35-700f94c3a8d3","","checklist-flat","","Sprinkler Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","B2"
"f59ef7c0-cfdd-4f48-9c2e-b3c1057dbc99","","checklist-flat","","Sprinkler Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Ground"
"c2479044-210f-4d45-b612-80632617d436","","checklist-flat","","Sprinkler Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Level 1"
"4a819bdf-4ff1-4792-8c55-c16f5fba7920","","checklist-flat","","Sprinkler Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Level 2"
"5671c790-1e22-402f-b8c6-21cb94f8dff7","","checklist-flat","","Sprinkler Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Level 3"
"660f315f-7be7-4466-8512-0c9c20ea0782","","checklist-flat","","Sprinkler Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Level 4"
"29a16308-5723-4001-b16f-b0d02372aaca","","checklist-flat","","Sprinkler Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Level 5"
"ca9caa3d-4cdb-4759-805b-33eb6e5d9eb7","","checklist-flat","","Sprinkler Rough In Checklist","checklist-flat","FALSE","FALSE","Site QA","Rough In","Level 6"
"36bd0dc3-ad44-4623-8a52-b55f9ec3efb2","","folder-normal","","","step","TRUE","FALSE","Site QA","Fit Off"
"f4df4b09-79cb-4a16-b676-bdc8c15007e8","","checklist-flat","","Sprinkler Fit Off Checklist","checklist-flat","FALSE","FALSE","Site QA","Fit Off","B1"
"e78fee22-7dba-450c-9e20-4cedb62f6777","","checklist-flat","","Sprinkler Fit Off Checklist","checklist-flat","FALSE","FALSE","Site QA","Fit Off","B2"
"26bd01ff-098f-49a6-a6f8-142c31b2ca50","","checklist-flat","","Sprinkler Fit Off Checklist","checklist-flat","FALSE","FALSE","Site QA","Fit Off","Ground"
"3de31184-d1b7-42f8-8d4b-c5391f79b9d0","","checklist-flat","","Sprinkler Fit Off Checklist","checklist-flat","FALSE","FALSE","Site QA","Fit Off","Level 1"
"c91ffaac-36e2-4873-a168-55dbaa07ac82","","checklist-flat","","Sprinkler Fit Off Checklist","checklist-flat","FALSE","FALSE","Site QA","Fit Off","Level 2"
"4fb23801-4198-451e-b3eb-b3db36ac6fbc","","checklist-flat","","Sprinkler Fit Off Checklist","checklist-flat","FALSE","FALSE","Site QA","Fit Off","Level 3"
"dcee2ee6-16cc-4260-abb7-2e4af52b79f1","","checklist-flat","","Sprinkler Fit Off Checklist","checklist-flat","FALSE","FALSE","Site QA","Fit Off","Level 4"
"e07cc108-6565-4366-a306-482bef35e8bf","","checklist-flat","","Sprinkler Fit Off Checklist","checklist-flat","FALSE","FALSE","Site QA","Fit Off","Level 5"
"48525d8c-8647-4720-8fbb-3301c8b5c587","","checklist-flat","","Sprinkler Fit Off Checklist","checklist-flat","FALSE","FALSE","Site QA","Fit Off","Level 6"
"7f7ef867-3397-446b-ae77-6c2731636649","","folder-normal","","","step","TRUE","FALSE","Site QA","Fire Penetrations"
"1e668c9d-dca8-4a0e-9138-e51910a237db","","checklist-flat","","Fire Penetrations Checklist","checklist-flat","FALSE","FALSE","Site QA","Fire Penetrations","B1"
"7bdd5540-934b-4ec7-9384-d85b5e0a35bd","","checklist-flat","","Fire Penetrations Checklist","checklist-flat","FALSE","FALSE","Site QA","Fire Penetrations","B2"
"1309f861-9298-4531-951b-d0c89edfca69","","checklist-flat","","Fire Penetrations Checklist","checklist-flat","FALSE","FALSE","Site QA","Fire Penetrations","Ground"
"29e0e33d-ac33-4b4e-9272-b46ffd1affcb","","checklist-flat","","Fire Penetrations Checklist","checklist-flat","FALSE","FALSE","Site QA","Fire Penetrations","Level 1"
"4cfbcf04-aee4-4757-bfc1-1e54d618b634","","checklist-flat","","Fire Penetrations Checklist","checklist-flat","FALSE","FALSE","Site QA","Fire Penetrations","Level 2"
"4f88088d-a79f-42e3-a27e-2ce24be11d81","","checklist-flat","","Fire Penetrations Checklist","checklist-flat","FALSE","FALSE","Site QA","Fire Penetrations","Level 3"
"f54a3078-64a0-4aa0-8e3f-72d949cdabc0","","checklist-flat","","Fire Penetrations Checklist","checklist-flat","FALSE","FALSE","Site QA","Fire Penetrations","Level 4"
"8ded633e-9eef-493b-b92e-385490152ca3","","checklist-flat","","Fire Penetrations Checklist","checklist-flat","FALSE","FALSE","Site QA","Fire Penetrations","Level 5"
"f5b33e47-a850-49af-843c-02aefd8dac9a","","checklist-flat","","Fire Penetrations Checklist","checklist-flat","FALSE","FALSE","Site QA","Fire Penetrations","Level 6"
"104350df-24b7-4d28-b78f-897358c728b9","","folder-normal","","","step","TRUE","FALSE","Site QA","Hydrant/ Sprinkler Mains / Risers / Hose Reels"
"2fc7317b-d410-4fc2-a3d2-eb4854305526","","checklist-flat","","Hydrant/Sprinkler Mains/Risers/Hose Reel Checklist","checklist-flat","FALSE","FALSE","Site QA","Hydrant/ Sprinkler Mains / Risers / Hose Reels","B1"
