"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a52bebed-a08d-494f-b777-33c66b65a1bd","","fail","","folder","TRUE","FALSE","Site QA"
"fa149cf2-0d3c-4a8d-b021-e7fdf0fa8486","","pass","","folder","TRUE","FALSE","Site QA","Basement"
"5f37cc6f-3967-532b-b6fb-746056421317","","pass","QA - Sewer Stacks / Storm water stacks","checklist","FALSE","FALSE","Site QA","Basement","Sewer Stacks / Storm Water Stacks"
"59b2a98e-40e0-50a4-8447-31b68466421a","","pass","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Basement","Commissioning"
"c13370b0-c293-4282-bf55-40a16f4cd828","","pass","","folder","TRUE","FALSE","Site QA","Lower Ground"
"848d8aed-79f6-4025-ad4a-e1f4fbf4d56c","","pass","Basement & LG Rough in Checklist","checklist","FALSE","FALSE","Site QA","Lower Ground","Plumbing Rough-In"
"4b190447-4959-58ea-b12e-5d422d58f95a","","pass","QA - Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Lower Ground","Fit Off"
"005e7e39-9976-50a8-a59c-36dd3ed57794","","pass","QA - Sewer Stacks / Storm water stacks","checklist","FALSE","FALSE","Site QA","Lower Ground","Sewer Stacks / Storm Water Stacks"
"e8808c02-728f-57dc-9b8a-0b3475c8d855","","pass","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Lower Ground","Commissioning"
"57b31524-11b0-49e3-ae32-ea15dea3fbf6","","pass","","folder","TRUE","FALSE","Site QA","Block C - Lower Ground"
"acacbbf2-06de-4c6b-b8c9-9bc2b4acd1d3","","pass","","folder","TRUE","FALSE","Site QA","Block C - Lower Ground","Lobby"
"15c2e1ad-bd92-54b2-9c1f-55c1271dbb45","","pass","QA - Meter Cupboard / Copper Riser","checklist","FALSE","FALSE","Site QA","Block C - Lower Ground","Lobby","Meter Cupboard / Copper Riser"
"a4f4a117-0567-473b-b9fb-66bc8206700c","","pass","","folder","TRUE","FALSE","Site QA","Block C - Lower Ground","CLG.01"
"6000171a-5287-522f-8ebd-78b84944c05d","","pass","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block C - Lower Ground","CLG.01","Plumbing Rough-In"
"252e741e-d7af-48a2-a946-3f998cac35fc","","pass","Plumbing Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block C - Lower Ground","CLG.01","Fit Off"
"ec576bcf-18fa-56d5-9b1e-9da04bd1a000","","pass","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block C - Lower Ground","CLG.01","Commissioning"
"f536577c-a37d-458c-8e2a-6a4250c3c80f","","pass","","folder","TRUE","FALSE","Site QA","Block C - Lower Ground","CLG.02"
"1393f4cc-ca74-50b6-83ea-5c408b8ce9f8","","pass","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block C - Lower Ground","CLG.02","Plumbing Rough-In"
"8c556f70-b7ea-4b87-8e64-694117dcc444","","pass","Plumbing Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block C - Lower Ground","CLG.02","Fit Off"
"ca79fbd6-55ff-587d-bedb-5b85b12e16c6","","pass","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block C - Lower Ground","CLG.02","Commissioning"
"34b464b7-7bf7-4705-8ee8-f25376b0da75","","fail","","folder","TRUE","FALSE","Site QA","Block A"
"5bcfa4da-5337-4f39-be05-e03859a2c434","","fail","","folder","TRUE","FALSE","Site QA","Block A","Ground Floor"
"b9a84ee3-4514-463b-b6c3-a22d58747314","","not-started","","folder","TRUE","FALSE","Site QA","Block A","Ground Floor","Lobby"
"0fc2ba84-ef91-5024-ab2b-723031c5ae9a","","not-started","QA - Meter Cupboard / Copper Riser","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","Lobby","Meter Cupboard / Copper Riser"
"19e6c495-92f1-4230-8e76-26ec0ea184f8","","work-in-progress","","folder","TRUE","FALSE","Site QA","Block A","Ground Floor","AG.01"
"45c8b72d-b0dd-52d6-8c76-9d5725ef9dfd","","pass","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.01","Plumbing Rough-In"
"d2d4b97a-f44d-45a4-8d91-6b36b28e87d4","","work-in-progress","Plumbing Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.01","Fit Off"
"ec7ab4ff-a694-5706-a2a8-3ed901d4ea5b","","pass","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.01","Commissioning"
"cdaf8409-3c9c-4e60-8499-1c5ff42f1b5d","","fail","","folder","TRUE","FALSE","Site QA","Block A","Ground Floor","AG.02"
"751d69a9-3f7b-58ae-9642-2fe63255dc3d","","not-started","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.02","Plumbing Rough-In"
"5b3aa1f0-2cce-4474-8422-3cd1848277b9","","fail","Plumbing Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.02","Fit Off"
"74a4c16b-e726-5c37-9f53-04bec74ab38d","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.02","Commissioning"
"7f41c898-3b48-4f44-90c8-790fae616f75","","fail","","folder","TRUE","FALSE","Site QA","Block A","Ground Floor","AG.03"
"24e0bcf2-1b0d-5195-80be-be8eadc935b1","","not-started","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.03","Plumbing Rough-In"
"cd6e06ae-064d-4971-8797-9878d55a051e","","fail","Plumbing Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.03","Fit Off"
"df23b0a2-5628-5d4d-8e1b-700adae8cfdb","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.03","Commissioning"
"7d965a32-6580-4e30-9237-c8ddb932d6be","","fail","","folder","TRUE","FALSE","Site QA","Block A","Ground Floor","AG.04"
"f7baa3a3-7ee3-5f31-8f00-0fbe72d87c49","","not-started","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.04","Plumbing Rough-In"
"1d4db144-eb06-4490-9e56-1df4becfb593","","fail","Plumbing Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.04","Fit Off"
"b7a0bda0-ad9d-5705-8c66-0c4f395112ee","","not-started","QA - Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.04","Commissioning"
"8b368041-b933-4512-b023-3b0516bf4458","","fail","","folder","TRUE","FALSE","Site QA","Block A","Ground Floor","AG.05"
"80109ae1-4cd9-5056-a4f9-abac5a020e63","","not-started","QA - Plumbing Rough-In Water/Gas/Sewer Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.05","Plumbing Rough-In"
"2d29a8be-d87c-4e12-b7a2-824a38afade7","","fail","Plumbing Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.05","Fit Off"
