"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"fee11faa-f657-498d-bbce-fe3daebdfbca","","fail","","folder","TRUE","FALSE","Site QA"
"8b3e1123-c892-45bb-b849-daafb8ec4f49","","pass","","folder","TRUE","FALSE","Site QA","Basement "
"e1411e92-9d9a-557e-a7a0-dd96bec35885","","pass","Internal Drainage ","checklist","FALSE","FALSE","Site QA","Basement ","Internal Drainage "
"50d11548-9dce-5ae0-8cd1-05888ec9716b","","pass","Internal Stormwater ","checklist","FALSE","FALSE","Site QA","Basement ","Internal Stormwater "
"2360c92d-a97f-58b1-878c-74a5a60645cc","","pass","Sewer Stacks / Storm water stacks","checklist","FALSE","FALSE","Site QA","Basement ","Sewer Stacks / Storm water stacks"
"d705c98c-0f51-418e-a955-ab84a023d8e2","","pass","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Basement ","Commissioning"
"95cd7b53-adfe-432d-b5c5-ecdcedd30898","","pass","","folder","TRUE","FALSE","Site QA","Lower Basement"
"d57df22a-a4d2-5f43-9de1-37953bfc19f9","","pass","Internal Drainage ","checklist","FALSE","FALSE","Site QA","Lower Basement","Internal Drainage "
"0dfc56c8-deb1-593e-952c-d63cbfc0db54","","pass","Internal Stormwater ","checklist","FALSE","FALSE","Site QA","Lower Basement","Internal Stormwater "
"156f9b1a-cd20-5679-9a22-0bd50d0e701c","","pass","Sewer Stacks / Storm water stacks","checklist","FALSE","FALSE","Site QA","Lower Basement","Sewer Stacks / Storm water stacks"
"63f0d304-b1ff-41d9-8987-816b00d421ca","","pass","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Lower Basement","Commissioning"
"1ee666c7-a011-4c0b-87f2-45cda7e834c6","","fail","","folder","TRUE","FALSE","Site QA","Block A"
"1ee1f6b0-97a1-43d7-9c98-5b40e96b7f2b","","pass","","folder","TRUE","FALSE","Site QA","Block A","Lower Ground"
"8ec1d1bb-7d5a-5ee6-a48c-b8f0c854fee8","","pass","Internal Drainage ","checklist","FALSE","FALSE","Site QA","Block A","Lower Ground","Internal Drainage "
"93b9a074-1a13-50d9-9eba-393c83d8c028","","pass","Internal Stormwater ","checklist","FALSE","FALSE","Site QA","Block A","Lower Ground","Internal Stormwater "
"45621a69-1416-5d4a-b6f0-20fbc421cd3c","","pass","Sewer Stacks / Storm water stacks","checklist","FALSE","FALSE","Site QA","Block A","Lower Ground","Sewer Stacks / Storm water stacks"
"018a0853-0e64-4f2f-8359-d66caf77956f","","pass","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Lower Ground","Commissioning"
"7f3efae2-b1f0-5419-b03d-31831f3afb8d","","pass","Meter Cupboard / Copper Riser","checklist","FALSE","FALSE","Site QA","Block A","Lower Ground","Corridor"
"96c695ff-13b0-47fc-99ac-ae69611a9411","","pass","","folder","TRUE","FALSE","Site QA","Block A","Lower Ground","ALG.03"
"2ce04788-51ef-5b98-8eba-d431c5bf9911","","pass","Plumbing Rough-In Water/Gas/Sewer Checklist V1","checklist","FALSE","FALSE","Site QA","Block A","Lower Ground","ALG.03","Plumbing Rough-In"
"3aef7ac2-0039-5cae-8520-56edfdd3c35b","","pass","Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Lower Ground","ALG.03","Fit Off"
"087b4e38-2870-481b-81c0-956b34d7ca5d","","pass","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Lower Ground","ALG.03","Commissioning"
"777dcbcd-6da2-4d81-9b3a-a37b0e208303","","pass","","folder","TRUE","FALSE","Site QA","Block A","Lower Ground","ALG.04"
"a5fb1665-6b1f-5635-999e-c8da1bec5b89","","pass","Plumbing Rough-In Water/Gas/Sewer Checklist V1","checklist","FALSE","FALSE","Site QA","Block A","Lower Ground","ALG.04","Plumbing Rough-In"
"db999735-6668-5008-9689-c14f4fb0cb2d","","pass","Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Lower Ground","ALG.04","Fit Off"
"c89ad56e-b876-48df-af87-a42a8decd354","","pass","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Lower Ground","ALG.04","Commissioning"
"f15acb5f-a132-4416-aac5-fabebe76f359","","pass","","folder","TRUE","FALSE","Site QA","Block A","Lower Ground","ALG.05"
"b360a653-29d3-5b76-918a-da6383bc5416","","pass","Plumbing Rough-In Water/Gas/Sewer Checklist V1","checklist","FALSE","FALSE","Site QA","Block A","Lower Ground","ALG.05","Plumbing Rough-In"
"b2c320e2-3a75-5f36-be44-12c6c8ceb0c8","","pass","Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Lower Ground","ALG.05","Fit Off"
"abd6e44a-d369-4fa3-bb66-07ebab440865","","pass","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Lower Ground","ALG.05","Commissioning"
"2dbf3e22-8e4a-4601-990e-7d2dc6329e7e","","fail","","folder","TRUE","FALSE","Site QA","Block A","Ground Floor"
"64196479-c86d-414a-b8bd-2f138b238f11","","fail","","folder","TRUE","FALSE","Site QA","Block A","Ground Floor","AG.01"
"e061ec88-4ef2-5207-868f-f60bb9b4c84b","","pass","Plumbing Rough-In Water/Gas/Sewer Checklist V1","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.01","Plumbing Rough-In"
"254a6242-2ea9-5852-bb9a-f3af66939157","","fail","Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.01","Fit Off"
"1cdecd94-6976-4c4f-bf17-e4aad3832283","","pass","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.01","Commissioning"
"b43996fd-ba84-4c6d-b20f-bf79c6906246","","pass","","folder","TRUE","FALSE","Site QA","Block A","Ground Floor","AG.02"
"57595008-be9f-59f3-a8f0-d6f068ea056f","","pass","Plumbing Rough-In Water/Gas/Sewer Checklist V1","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.02","Plumbing Rough-In"
"d01d5cab-b7f7-552c-b70a-54b8107977b4","","pass","Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.02","Fit Off"
"8e12bd22-bdd6-4835-9099-0ada75fc0387","","pass","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.02","Commissioning"
"16e8ef43-53c3-4de4-981e-731b83135cac","","pass","","folder","TRUE","FALSE","Site QA","Block A","Ground Floor","AG.03"
"d7a44308-ec3a-57b9-b843-6660a49eb3e7","","pass","Plumbing Rough-In Water/Gas/Sewer Checklist V1","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.03","Plumbing Rough-In"
"cacec681-4307-5c8d-817a-4e3fdbd66a69","","pass","Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.03","Fit Off"
"bc421bd5-5ec8-4769-9cbf-42fc6828eb1d","","pass","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.03","Commissioning"
"fbb21942-9447-4c61-8dbf-2ef48a8f04f7","","pass","","folder","TRUE","FALSE","Site QA","Block A","Ground Floor","AG.04"
"9ef680c5-f3dd-5104-962d-fc1dc70d7fc8","","pass","Plumbing Rough-In Water/Gas/Sewer Checklist V1","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.04","Plumbing Rough-In"
"89965ca9-4d56-5390-8851-1db93d2f9cef","","pass","Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.04","Fit Off"
"0f7461c7-50e3-4f76-8775-62ac1fae8fe7","","pass","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.04","Commissioning"
"1bc36597-14a2-4fd3-a25f-0d8588492b30","","pass","","folder","TRUE","FALSE","Site QA","Block A","Ground Floor","AG.05"
"9b565ace-6980-5a58-b0e4-bef5793cf0b1","","pass","Plumbing Rough-In Water/Gas/Sewer Checklist V1","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.05","Plumbing Rough-In"
"ecf77911-1cc9-5f6e-a02c-d2009b194481","","pass","Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.05","Fit Off"
"b6ced874-b994-40a6-8123-22d67216e2af","","pass","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.05","Commissioning"
"134c6810-db5a-4385-9653-bd53380f66a9","","pass","","folder","TRUE","FALSE","Site QA","Block A","Ground Floor","AG.06"
"e7c9b362-d1a4-55ba-8ea5-65eb748832da","","pass","Plumbing Rough-In Water/Gas/Sewer Checklist V1","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.06","Plumbing Rough-In"
"83e23aef-945a-5091-9d3f-f27f07afe306","","pass","Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.06","Fit Off"
"5e841b6d-66b9-448c-af47-eef9802be441","","pass","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.06","Commissioning"
"8e31baa0-e712-4a3a-b2ee-a3d9d0e0ef5a","","pass","","folder","TRUE","FALSE","Site QA","Block A","Ground Floor","AG.07"
"a1005f78-78c5-5fe0-bc55-87a0ebc5df01","","pass","Plumbing Rough-In Water/Gas/Sewer Checklist V1","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.07","Plumbing Rough-In"
"8f41a8bc-a5d9-5476-b71b-b3b715393556","","pass","Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.07","Fit Off"
"288f8b87-3b48-4c17-998a-e2b1a4f3defd","","pass","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.07","Commissioning"
"c8e9c171-2b81-441b-a5cc-4132dbba5e21","","pass","","folder","TRUE","FALSE","Site QA","Block A","Ground Floor","AG.08"
"7e909ff4-af2a-5a9d-a01c-73e993ddbd8f","","pass","Plumbing Rough-In Water/Gas/Sewer Checklist V1","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.08","Plumbing Rough-In"
"1c69a807-5d30-512b-99ac-91e84f9d8945","","pass","Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.08","Fit Off"
"f0cb689f-0e18-4210-bae4-e44607141888","","pass","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.08","Commissioning"
"0e9ad002-9235-4df2-900f-70793755c90f","","pass","","folder","TRUE","FALSE","Site QA","Block A","Ground Floor","AG.09"
"e77fc5a0-a3f3-57fd-aefa-afd587b9f1c9","","pass","Plumbing Rough-In Water/Gas/Sewer Checklist V1","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.09","Plumbing Rough-In"
"a1686f1e-59ef-5084-a30e-0c199b85ca31","","pass","Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.09","Fit Off"
"c8ccb471-564d-49ab-8057-3013821bab1f","","pass","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.09","Commissioning"
"6c2c3858-a82a-4b30-b1a1-46b4c4615507","","pass","","folder","TRUE","FALSE","Site QA","Block A","Ground Floor","AG.10"
"7f914c54-b68e-5afb-8aa1-fd3c4217db99","","pass","Plumbing Rough-In Water/Gas/Sewer Checklist V1","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.10","Plumbing Rough-In"
"a5fef8f8-c487-5d54-a4ef-adab516afe7e","","pass","Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.10","Fit Off"
"2b597992-eff5-4cd4-859e-a9ab4400d8e2","","pass","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.10","Commissioning"
"50fa421d-a813-466c-8908-3dc946e4ba2d","","pass","","folder","TRUE","FALSE","Site QA","Block A","Ground Floor","AG.11"
"074bdd6c-aec0-56a9-bef8-204e16ea2c8f","","pass","Plumbing Rough-In Water/Gas/Sewer Checklist V1","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.11","Plumbing Rough-In"
"cc7343a3-89de-50be-87e2-21115e235f26","","pass","Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.11","Fit Off"
"0a6fdf26-8cb1-4e4f-991f-a7236a237f1a","","pass","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.11","Commissioning"
"c8ccb173-9efe-4b20-9211-359de423cf8f","","pass","","folder","TRUE","FALSE","Site QA","Block A","Ground Floor","AG.12"
"8abcbe0c-ddc9-53f1-821b-926152f472ec","","pass","Plumbing Rough-In Water/Gas/Sewer Checklist V1","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.12","Plumbing Rough-In"
"c8ae407d-d363-5d4d-a9d1-a26a054cb34f","","pass","Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.12","Fit Off"
"f0320c2c-b85b-426d-9fd2-d4fca6b33540","","pass","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.12","Commissioning"
"1e76dc00-c1f3-40f5-8a9c-56cdb3dc588d","","pass","","folder","TRUE","FALSE","Site QA","Block A","Ground Floor","AG.13"
"2a7ef2ed-e8a9-586d-9ca7-7aeae79eae0b","","pass","Plumbing Rough-In Water/Gas/Sewer Checklist V1","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.13","Plumbing Rough-In"
"da06ef59-c3e4-56e9-a869-725251c84dcb","","pass","Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.13","Fit Off"
"8556122e-7c03-4dae-8f67-743f608980f6","","pass","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.13","Commissioning"
"6a4c7ff0-8557-4228-8bb7-6a4ee2dc8015","","pass","","folder","TRUE","FALSE","Site QA","Block A","Ground Floor","AG.14"
"58f3f8c6-831c-516f-8b10-d9a67c037957","","pass","Plumbing Rough-In Water/Gas/Sewer Checklist V1","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.14","Plumbing Rough-In"
"257a404d-b19e-5de5-b612-f7e438097a44","","pass","Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.14","Fit Off"
"ec90b44c-690a-4118-8314-02ba42505ee2","","pass","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Ground Floor","AG.14","Commissioning"
"09b1c7d5-81a8-4d06-a8b2-6e0f8df997ce","","pass","","folder","TRUE","FALSE","Site QA","Block A","Level 1"
"95985c9c-5c5e-4980-b6bf-1ac55fe0cb4a","","pass","","folder","TRUE","FALSE","Site QA","Block A","Level 1","A1.01"
"bd4e8122-eabf-5987-bdcb-21b80a5d10e3","","pass","Plumbing Rough-In Water/Gas/Sewer Checklist V1","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.01","Plumbing Rough-In"
"b651ee4a-76d6-58b9-924a-682dbc66f65c","","pass","Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.01","Fit Off"
"b9a50ea9-6154-4fef-afe9-330917af9da8","","pass","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.01","Commissioning"
"835dfd8d-7946-4783-8cad-b05153eb33ff","","pass","","folder","TRUE","FALSE","Site QA","Block A","Level 1","A1.02"
"7a5ca7ae-bf1f-5b02-8949-b0c68c79c574","","pass","Plumbing Rough-In Water/Gas/Sewer Checklist V1","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.02","Plumbing Rough-In"
"9e255a76-cb99-5b3d-8c0b-6599bb0bd727","","pass","Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.02","Fit Off"
"62e46231-1896-41a0-a437-7dba66d8727c","","pass","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.02","Commissioning"
"fd2f2e1d-50b6-43cf-b60a-ff68e906775a","","pass","","folder","TRUE","FALSE","Site QA","Block A","Level 1","A1.03"
"00e70b6e-2a34-5171-b194-49e49b71a744","","pass","Plumbing Rough-In Water/Gas/Sewer Checklist V1","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.03","Plumbing Rough-In"
"085775af-74ab-5125-b983-3361ec46b69c","","pass","Fit Off Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.03","Fit Off"
"4195e892-9d29-4191-89f3-c87976d7f2c5","","pass","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Block A","Level 1","A1.03","Commissioning"
"5f34227a-2bb3-4846-b386-440c9a8bb3e3","","pass","","folder","TRUE","FALSE","Site QA","Block A","Level 1","A1.04"
