resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,,step,,,Site QA,,,,,,,,
,,,,step,,,,Building -DHHS,,,,,,,
,,,,step,,,,,GROUND,,,,,,
Kitchen ITP,Bathroom ITP,Laundry ITP,Balcony ITP,folder-with-checklists,,,,,,DHHS-1,,,,,
Kitchen ITP,Bathroom ITP,Laundry ITP,Balcony ITP,folder-with-checklists,,,,,,DHHS-2,,,,,
Kitchen ITP,Bathroom ITP,Laundry ITP,Balcony ITP,folder-with-checklists,,,,,,DHHS-3,,,,,
Kitchen ITP,Bathroom ITP,Laundry ITP,Balcony ITP,folder-with-checklists,,,,,,DHHS-4,,,,,
Kitchen ITP,Bathroom ITP,Laundry ITP,Balcony ITP,folder-with-checklists,,,,,,DHHS-5,,,,,
Kitchen ITP,Bathroom ITP,Laundry ITP,Balcony ITP,folder-with-checklists,,,,,,DHHS-6,,,,,
,,,,step,,,,,LEVEL 1,,,,,,
Kitchen ITP,Bathroom ITP,Laundry ITP,Balcony ITP,folder-with-checklists,,,,,,DHHS-7,,,,,
Kitchen ITP,Bathroom ITP,Laundry ITP,Balcony ITP,folder-with-checklists,,,,,,DHHS-8,,,,,
Kitchen ITP,Bathroom ITP,Laundry ITP,Balcony ITP,folder-with-checklists,,,,,,DHHS-9,,,,,
Kitchen ITP,Bathroom ITP,Laundry ITP,Balcony ITP,folder-with-checklists,,,,,,DHHS-10,,,,,
Kitchen ITP,Bathroom ITP,Laundry ITP,Balcony ITP,folder-with-checklists,,,,,,DHHS-11,,,,,
Kitchen ITP,Bathroom ITP,Laundry ITP,Balcony ITP,folder-with-checklists,,,,,,DHHS-12,,,,,
,,,,step,,,,,LEVEL 2,,,,,,
Kitchen ITP,Bathroom ITP,Laundry ITP,Balcony ITP,folder-with-checklists,,,,,,DHHS-13,,,,,
Kitchen ITP,Bathroom ITP,Laundry ITP,Balcony ITP,folder-with-checklists,,,,,,DHHS-14,,,,,
Kitchen ITP,Bathroom ITP,Laundry ITP,Balcony ITP,folder-with-checklists,,,,,,DHHS-15,,,,,
Kitchen ITP,Bathroom ITP,Laundry ITP,Balcony ITP,folder-with-checklists,,,,,,DHHS-16,,,,,
Kitchen ITP,Bathroom ITP,Laundry ITP,Balcony ITP,folder-with-checklists,,,,,,DHHS-17,,,,,
Kitchen ITP,Bathroom ITP,Laundry ITP,Balcony ITP,folder-with-checklists,,,,,,DHHS-18,,,,,
,,,,step,,,,,LEVEL 3,,,,,,
Kitchen ITP,Bathroom ITP,Laundry ITP,Balcony ITP,folder-with-checklists,,,,,,310A,,,,,
Kitchen ITP,Bathroom ITP,Laundry ITP,Balcony ITP,folder-with-checklists,,,,,,311A,,,,,
Kitchen ITP,Bathroom ITP,Laundry ITP,Balcony ITP,folder-with-checklists,,,,,,312A,,,,,
Kitchen ITP,Bathroom ITP,Laundry ITP,Balcony ITP,folder-with-checklists,,,,,,313A,,,,,
,,,,step,,,,BUILDING A,,,,,,,
,,,,step,,,,,GROUND,,,,,,
Kitchen ITP,Bathroom ITP,Laundry ITP,Balcony ITP,folder-with-checklists,,,,,,G01A TH,,,,,
Kitchen ITP,Bathroom ITP,Laundry ITP,Balcony ITP,folder-with-checklists,,,,,,G02A TH,,,,,
Kitchen ITP,Bathroom ITP,Laundry ITP,Balcony ITP,folder-with-checklists,,,,,,G03A TH,,,,,
,,,,step,,,,,LEVEL 1,,,,,,
Kitchen ITP,Bathroom ITP,Laundry ITP,Balcony ITP,folder-with-checklists,,,,,,G01A,,,,,
Kitchen ITP,Bathroom ITP,Laundry ITP,Balcony ITP,folder-with-checklists,,,,,,G02A,,,,,
Kitchen ITP,Bathroom ITP,Laundry ITP,Balcony ITP,folder-with-checklists,,,,,,G03A,,,,,
,,,,step,,,,,LEVEL 2,,,,,,
Kitchen ITP,Bathroom ITP,Laundry ITP,Balcony ITP,folder-with-checklists,,,,,,201A,,,,,
Kitchen ITP,Bathroom ITP,Laundry ITP,Balcony ITP,folder-with-checklists,,,,,,202A,,,,,
Kitchen ITP,Bathroom ITP,Laundry ITP,Balcony ITP,folder-with-checklists,,,,,,203A,,,,,
Kitchen ITP,Bathroom ITP,Laundry ITP,Balcony ITP,folder-with-checklists,,,,,,204A,,,,,
Kitchen ITP,Bathroom ITP,Laundry ITP,Balcony ITP,folder-with-checklists,,,,,,205A,,,,,
Kitchen ITP,Bathroom ITP,Laundry ITP,Balcony ITP,folder-with-checklists,,,,,,206A,,,,,
