Id,Type,Name,Values,Prompting Name,Postfix,Resource Id
,checklist,Final Defects/QA,,Final Defects/QA,,22be846f-fb9b-4f3e-9cfc-44035b4c8f99
,section,Final Defects/QA,,,,
,checkpoint-no-status,Defect 1,,,,
,textbox,Defect 1,,,,
,textbox,Description,,,,
,textbox,Remedy,,,,
,checkpoint-no-status,Defect 2,,,,
,textbox,Defect 1,,,,
,textbox,Description,,,,
,textbox,Remedy,,,,
,checkpoint-no-status,Defect 3,,,,
,textbox,Defect 1,,,,
,textbox,Description,,,,
,textbox,Remedy,,,,
,checkpoint-no-status,Defect 4,,,,
,textbox,Defect 1,,,,
,textbox,Description,,,,
,textbox,Remedy,,,,
,checkpoint-no-status,Defect 5,,,,
,textbox,Defect 1,,,,
,textbox,Description,,,,
,textbox,Remedy,,,,
,checkpoint-no-status,Defect 6,,,,
,textbox,Defect 1,,,,
,textbox,Description,,,,
,textbox,Remedy,,,,
,checkpoint-no-status,Defect 7,,,,
,textbox,Defect 1,,,,
,textbox,Description,,,,
,textbox,Remedy,,,,
,checkpoint-no-status,Defect 8,,,,
,textbox,Defect 1,,,,
,textbox,Description,,,,
,textbox,Remedy,,,,
,checkpoint-no-status,Defect 9,,,,
,textbox,Defect 1,,,,
,textbox,Description,,,,
,textbox,Remedy,,,,
,checkpoint-no-status,Defect 10,,,,
,textbox,Defect 1,,,,
,textbox,Description,,,,
,textbox,Remedy,,,,
,checkpoint-no-status,Defect 11,,,,
,textbox,Defect 1,,,,
,textbox,Description,,,,
,textbox,Remedy,,,,
,checkpoint-no-status,Defect 12,,,,
,textbox,Defect 1,,,,
,textbox,Description,,,,
,textbox,Remedy,,,,
,checkpoint-no-status,Defect 13,,,,
,textbox,Defect 1,,,,
,textbox,Description,,,,
,textbox,Remedy,,,,
,checkpoint-no-status,Defect 14,,,,
,textbox,Defect 1,,,,
,textbox,Description,,,,
,textbox,Remedy,,,,
,checkpoint-no-status,Defect 15,,,,
,textbox,Defect 1,,,,
,textbox,Description,,,,
,textbox,Remedy,,,,
,checkpoint-no-status,Defect 16,,,,
,textbox,Defect 1,,,,
,textbox,Description,,,,
,textbox,Remedy,,,,
,checkpoint-no-status,Defect 17,,,,
,textbox,Defect 1,,,,
,textbox,Description,,,,
,textbox,Remedy,,,,
,checkpoint-no-status,Defect 18,,,,
,textbox,Defect 1,,,,
,textbox,Description,,,,
,textbox,Remedy,,,,
,checkpoint,Closed off,,,,
,checkpoint-no-status,Defect 19,,,,
,textbox,Defect 1,,,,
,textbox,Description,,,,
,textbox,Remedy,,,,
,checkpoint,Closed off,,,,
,checkpoint-no-status,Defect 20,,,,
,textbox,Defect 1,,,,
,textbox,Description,,,,
,textbox,Remedy,,,,
,checkpoint,Closed off,,,,
