"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"be5367ca-c410-4b05-9a93-d8f8656a0c6c","","checklist-flat","no-status-started","734b9d363aedb7dda42c38a805789356110a5ecc0dc38ec6ebe7d6973e97b96f","checklist-flat","FALSE","FALSE","Overall Pre-set"
"fcb5d62d-9294-40d5-938c-7babe45d6400","","checkpoint-no-status","no-status-started","","","FALSE","FALSE","Overall Pre-set","Overall Pre-set"
"8714d73b-4de9-4719-a2a2-769e283edc3b","","checkpoint-no-status","no-status-started","","","FALSE","FALSE","Overall Pre-set","System information:"
"9342516f-9cdb-4803-aebc-8473faf6610e","","checkpoint-no-status","no-status-started","","","FALSE","FALSE","Overall Pre-set","SSP Attached"
"087ef42b-4f21-45e8-aece-643045877e38","","checkpoint-no-status","no-status-not-started","","","FALSE","FALSE","Overall Pre-set","Task Analysis Attached"
"e328aee1-04e4-4341-9ffe-5196531c882e","","checkpoint-no-status","no-status-started","","","FALSE","FALSE","Overall Pre-set","Relevant Drawings Attached"
"70c1b5cc-a35f-4731-987d-31960b7c9101","","folder-normal","work-in-progress","","step","TRUE","FALSE"," QA"
"854ed428-f616-4417-93d6-f8b229029e49","","folder-normal","work-in-progress","","step","TRUE","FALSE"," QA","RoofSafe Cable Line Systems"
"f41e9a09-bfcc-40fa-a889-5a054f6c7ee8","","folder-normal","work-in-progress","","step","TRUE","FALSE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 01"
"0c8e6d02-46c9-4d29-9b67-bb13a51df862","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 01","Pre-Fit Off Checklist - Line 01"
"30fa7b99-38ea-45de-976f-9d6772180fc6","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 01","Pre-Fit Off Checklist - Line 01","Confirm structure is in accordance to the details provided"
"9fb54389-64fd-47ce-9c5a-235aa584f9eb","","holdpoint","not-started","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 01","Pre-Fit Off Checklist - Line 01","EMAIL PM"
"4ac58cb6-acfa-465a-ac93-e93b6bf0b54e","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 01","Pre-Fit Off Checklist - Line 01","Plinths/ bases/post installed in accordance with details provided"
"d32ab19e-f734-4f72-a465-9a2b0be2037b","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 01","Pre-Fit Off Checklist - Line 01","Photos taken"
"086dbac3-70bf-49eb-ae95-4b204c5d689e","","checklist-flat","work-in-progress","Fit Off Checklist - Line","checklist-flat","FALSE","FALSE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 01","Fit Off Checklist - Line 01"
"6f16f82f-5f3a-4633-8230-fad65094e445","","checkpoint-status","pass","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 01","Fit Off Checklist - Line 01","Confirm the structure is in accordance with the details supplied by PBI"
"31d7fe24-fce4-4e67-b30b-950a57c3e6bf","","holdpoint","pass","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 01","Fit Off Checklist - Line 01","EMAIL PM"
"620f4f56-2e5b-4ace-b813-13a852cef49f","","checkpoint-status","pass","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 01","Fit Off Checklist - Line 01","Photo taken of line pull test and swages"
"8be32c41-316b-4e08-95fe-902429825626","","checkpoint-status","pass","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 01","Fit Off Checklist - Line 01","Photo taken of Engraved Line Plate / ID Tag"
"a35b7cac-5463-4494-ba83-4ae29a62714c","","checkpoint-status","work-in-progress","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 01","Fit Off Checklist - Line 01","Video taken of system"
"dc64cda1-5f67-4baf-ab47-6db82ccdf531","","checkpoint-status","pass","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 01","Fit Off Checklist - Line 01","Installed as per PBI drawings supplied and manufacturer's requirements"
"77f1e8c0-1ac5-4040-ad94-69812e554ec7","","folder-normal","work-in-progress","","step","TRUE","FALSE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 02"
"b0c0e476-2d76-4b46-8942-cd7b6e1f4347","","checklist-flat","not-started","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 02","Pre-Fit Off Checklist - Line 02"
"8a9c4eba-b517-45c1-83d1-7d447824f209","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 02","Pre-Fit Off Checklist - Line 02","Confirm structure is in accordance to the details provided"
"6ce65f31-4356-497a-a520-c3a6cd467209","","holdpoint","not-started","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 02","Pre-Fit Off Checklist - Line 02","EMAIL PM"
"8d0ec90b-41ce-42a1-9034-c96329618a94","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 02","Pre-Fit Off Checklist - Line 02","Plinths/ bases/post installed in accordance with details provided"
"4a59fbeb-9b21-4431-b98c-6d7a09b0b661","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 02","Pre-Fit Off Checklist - Line 02","Photos taken"
"16ddbef2-4b6e-45ce-a04a-c13cf84dc905","","checklist-flat","work-in-progress","Fit Off Checklist - Line","checklist-flat","FALSE","FALSE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 02","Fit Off Checklist - Line 02"
"aedc2642-eb71-471b-a112-cc7f5b13b096","","checkpoint-status","pass","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 02","Fit Off Checklist - Line 02","Confirm the structure is in accordance with the details supplied by PBI"
"dbe27b54-fe0e-4065-838a-bb33698047fa","","holdpoint","pass","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 02","Fit Off Checklist - Line 02","EMAIL PM"
"0f366ba5-942f-4e39-a94e-612a2e08412d","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 02","Fit Off Checklist - Line 02","Photo taken of line pull test and swages"
"5af5767f-8fa0-457d-a57f-6880d1a636cc","","checkpoint-status","work-in-progress","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 02","Fit Off Checklist - Line 02","Photo taken of Engraved Line Plate / ID Tag"
"f8831b1f-9ce9-486c-b2f4-064d2ae86f19","","checkpoint-status","not-started","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 02","Fit Off Checklist - Line 02","Video taken of system"
"b09e215d-178c-4bc8-a677-d1ae1117a0f5","","checkpoint-status","work-in-progress","","","TRUE","TRUE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 02","Fit Off Checklist - Line 02","Installed as per PBI drawings supplied and manufacturer's requirements"
"c9e4a4ca-49f8-408a-9a3f-9a7d5033a748","","folder-normal","work-in-progress","","step","TRUE","FALSE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 03"
"1775ec6f-0b49-4443-8ae5-5738a10fc98f","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE"," QA","RoofSafe Cable Line Systems","RoofSafe Cable Line 03","Pre-Fit Off Checklist - Line 03"
