Id,Type,Name,Values,Prompting Name,Resource Id
,checklist,Fit Off Checklist,,Fit Off,4ee04e8b-f778-471e-8b6e-652366db22f5
,section,Kitchen Fit Off,,,
,checkpoint,Kitchen Mini Stops,,,
,checkpoint,Kitchen Sink Waste,,,
,checkpoint,Kitchen Sink Mixer,,,
,checkpoint,Kitchen Dishwasher,,,
,checkpoint,Kitchen Cooktop,,,
,section,Female Bathroom Fit Off,,,
,checkpoint,Bathroom Shower Mixer,,,
,checkpoint,Bathroom Shower Rail/Rose,,,
,checkpoint,Bathroom Basin,,,
,checkpoint,Bathroom Basin Mixer,,,
,checkpoint,Bathroom Bottle Trap,,,
,checkpoint,Bathroom Toilet,,,
,checkpoint,Bathroom Urinal,,,
,checkpoint,Bath tubs,,,
,checkpoint,Floor wastes - cleared of blockages,,,
,section,Male Bathroom Fit Off,,,
,checkpoint,Bathroom Shower Mixer,,,
,checkpoint,Bathroom Shower Rail/Rose,,,
,checkpoint,Bathroom Basin,,,
,checkpoint,Bathroom Basin Mixer,,,
,checkpoint,Bathroom Bottle Trap,,,
,checkpoint,Bathroom Toilet,,,
,checkpoint,Bathroom Urinal,,,
,checkpoint,Bath tubs,,,
,checkpoint,Floor wastes - cleared of blockages,,,
,section,DDA Bathroom Fit Off,,,
,checkpoint,Bathroom Shower Mixer,,,
,checkpoint,Bathroom Shower Rail/Rose,,,
,checkpoint,Bathroom Basin,,,
,checkpoint,Bathroom Basin Mixer,,,
,checkpoint,Bathroom Bottle Trap,,,
,checkpoint,Bathroom Toilet,,,
,checkpoint,Bathroom Urinal,,,
,checkpoint,Bath tubs,,,
,checkpoint,Floor wastes - cleared of blockages,,,
,,,,,
