"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"6ae5f494-0463-4ad5-a3a5-774cae30d614","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"dc0a4c0a-46ef-4245-aa19-7d7403b19b8c","","work-in-progress","","folder","TRUE","FALSE","Site QA","Stormwater"
"75d1e6f2-5e53-427d-b5b3-5f88de3242c5","","no-status-not-started","","folder","TRUE","FALSE","Site QA","Stormwater","N0"
"59bee503-33bd-43a6-8172-ad1241fe0f37","","work-in-progress","","folder","TRUE","FALSE","Site QA","Stormwater","N1"
"a4817768-0cf0-4b05-a3c2-0292069c3fdd","","work-in-progress","2972ed2e599407c858d0bfefe6ec741c358aa6d9a4f802e41ef3b8b5a65826ee","checklist","FALSE","FALSE","Site QA","Stormwater","N1","ITP - Stormwater"
"ea39b08e-b815-5072-be34-43b2cef55b58","","work-in-progress","","section","FALSE","FALSE","Site QA","Stormwater","N1","ITP - Stormwater","1. Pre-construction (P&G / EStablishment"
"e2cc5759-1331-51a4-995f-c12277b593e1","","work-in-progress","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","1. Pre-construction (P&G / EStablishment","1.1 - Extent of Line Setout"
"73d72725-0118-583b-af2e-ce58202b53be","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","1. Pre-construction (P&G / EStablishment","1.2 - Environmental Protection"
"f8eeb6f4-74a0-5481-b9b5-e6aee35c3738","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","1. Pre-construction (P&G / EStablishment","1.3 - Stakeholder"
"bc25268d-0344-567f-9333-592cefc594e0","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","1. Pre-construction (P&G / EStablishment","1.4 - Permits"
"721fa315-37ae-5c05-96fc-63bcddef9b2e","","not-started","","signoff","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","1. Pre-construction (P&G / EStablishment","AUTHORITY HOLDPOINT"
"f4a740de-16e3-5bf0-acd8-b26f7a61e82f","","not-started","","section","FALSE","FALSE","Site QA","Stormwater","N1","ITP - Stormwater","2. Material, Personnel & third party approval"
"b2d8f565-ce7e-5d3b-ad0b-5d808724887e","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","2. Material, Personnel & third party approval","2.1 - Pipes, Fittings and Pre-cast Structures"
"4739b626-d092-5d56-8c2e-67c1cf8cbd54","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","2. Material, Personnel & third party approval","2.2 - Bedding/Side & Haunch/Overlay/Backfill Material Compliance"
"52b2864f-0dfc-5a7c-8b02-dbec8d56ba25","","not-started","","signoff","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","2. Material, Personnel & third party approval","AUTHORITY HOLDPOINT"
"e7a81086-7184-559a-ad22-45402bc8070c","","not-started","","checkpoint","TRUE","TRUE","Site QA","Stormwater","N1","ITP - Stormwater","2. Material, Personnel & third party approval","2.3 - Undercut Backfill Material"
