type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,
checklist,ITP-016-AX-LOT-XXX - Desc,itp,,,,,ITP 0016 - Bored Pile Construction,,,,,,
section,Lot Information,,,,,,,,,,,,
checkpoint,1.0 Lot Information,,,,,,,,,,,,
textbox,Lot Created On,,,,,,,,,,,,
textbox,Lot Opened On,,,,,,,,,,,,
textbox,Work Commenced On,,,,,,,,,,,,
dropdown,Lot Type,"CIL - Civil Lot, DRL - Drainage Lot, EAL - Earthworks Lot, ELL - Electrical Lot, UTL - Utility Lot, STL - Structural Lot",,,,,,,,,,,
textbox,From and To Chainage,,,,,,,,,,,,
dropdown,Construction Element,FOUN - Foundation,,,,,,,,,,,
dropdown,Activity,BORP - Bored Pile,,,,,,,,,,,
dropdown,Design Package No,"1145-ACM-CVD-DPK-0002, 1145-ACM-CVD-DPK-0003, 1145-ACM-CVD-DPK-0004, 1145-ACM-CVP-DPK-0001, 1145-ACM-CVP-DPK-0002, 1145-ACM-CVR-DPK-0001, 1145-ACM-CVR-DPK-0002, 1145-ACM-CVR-DPK-0003, 1145-ACM-CVR-DPK-0004, 1145-ACM-ELE-DPK-0001, 1145-ACM-ELE-DPK-0002, 1145-ACM-LDE-DPK-0001, 1145-ACM-LDE-DPK-0002, 1145-ACM-SBA-DPK-0001, 1145-ACM-STR-DPK-0001, 1145-ACM-TSI-DPK-0001, 1145-ACM-TSI-DPK-0002, 1145-ACM-TSI-DPK-0003, 1145-ACM-TSI-DPK-0004, 1145-ACM-UTL-DPK-0001, 1145-ACM-UTL-DPK-0002",,,,,,,,,,,
dropdown,Traffic Direction,"EB - Eastbound, ME - Median, NB - Northbound, SB - Southbound, WB - Westbound",,,,,,,,,,,
textbox,Engineer Responsible,,,,,,,,,,,,
textbox,comments,,,,,,,,,,,,
section,1 - Preliminary Works / Design and Submissions,,,,,,,,,,,,
checkpoint,1.1 - Induction,,,,,,,,,,,,
label,Frequency: Prior to Commencing,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,Acceptance Criteria: All personnel on site have been inducted to the CRG site,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,Reference Documents: Site Induction Register,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,Inspection / Test Method: Document review,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,Record of conformity: Site induction signed.,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,HP*,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,Responsibility: Site Engineer / Site Foreman,,,,,,,,,,,,
checkpoint,1.2 - Work pack briefing,,,,,,,,,,,,
label,Frequency: Prior to Commencing,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,Acceptance Criteria: All personnel on site have been briefed on the relevant work park relating to scope of works.,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,Reference Documents: WP,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,Inspection / Test Method: Document Review,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,Record of conformity: Work pack signed.,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,HP*,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,Responsibility: Site Engineer / Site Foreman,,,,,,,,,,,,
checkpoint,"1.3 - Safety measures are in place, Safe Work Method Statement (SWMS) undertaken",,,,,,,,,,,,
label,Frequency: Prior to commencing,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,Acceptance Criteria: As per Fulton Hogan Safety Strategy. All personnel on site to have signed onto relevant SWMS before commencing work. ,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,Reference Documents: Health and Safety Co-Ordination Plan,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,Inspection / Test Method: Document Review,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,Record of conformity: SWMS(s) signed,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,HP*,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,Responsibility: Site Engineer,,,,,,,,,,,,
checkpoint,1.4 - Check that current revision drawings are being used,,,,,,,,,,,,
label,Frequency: Prior to Commencing,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,Acceptance Criteria: Issued For Construction (IFC) and latest available revision used,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,Reference Documents: Project Drawings / Drawing Register,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,Inspection / Test Method: Document review,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,Record of conformity: This ITP Signed,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,HP*,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,Responsibility: Site Engineer / Site Foreman,,,,,,,,,,,,
checkpoint,1.5 - Confirm understanding of current Environment Management Plan (CEMP) related to the work area and that all prescribed environmental controls are in place,,,,,,,,,,,,
label,Frequency: Prior to Commencing,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,Acceptance Criteria: All personnel on site have been inducted and briefed on the requirements of the CEMP. All environmental measures including sediment and erosion control to be implemented as per current CEMP.,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,Reference Documents: CEMP,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,Inspection / Test Method: Document review & Site inspection,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,Record of conformity: This ITP Signed,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,IP,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,Responsibility: Site Engineer,,,,,,,,,,,,
checkpoint,1.6 - Excavation Permit issued,,,,,,,,,,,,
label,Frequency: Prior to Commencing Work,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,Acceptance Criteria: Current Excavation Permit signed and specific for the area where works will be executed.,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,Reference Documents: Excavation Permit,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,Inspection / Test Method: Document review & Site inspection,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,Record of conformity: Excavation Permit #,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,HP*,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,Responsibility: Site Engineer,,,,,,,,,,,,
checkpoint,1.7 - Traffic Management (When required),,,,,,,,,,,,
label,Frequency: Prior to Commencing Work,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,Acceptance Criteria: Approved WTMP and MOA,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,Reference Documents: WTMP,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,Inspection / Test Method: Document review & Site inspection,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,Record of conformity: Superintendents Correspondence,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,AP,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,Responsibility: Site Engineer,,,,,,,,,,,,
checkpoint,1.8 - Mix design,,,,,,,,,,,,
label,Frequency: No less than 4 weeks prior to commencement of activity,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,"Acceptance Criteria: The concrete mix design details shall be submitted for review by the Superintendent not less than 4 weeks prior to the placement of concrete.  Concrete shall not be placed until the mix design has been reviewed by the Superintendent, and allocated a registration number on the Register of VicRoads approved concrete mixes.",,,,,,,,,,,,
label,"Concrete mix designs shall remain valid for 12 months from the date of registration, unless constituent materials and material proportions cease to comply with the specified requirements.",,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,Reference Documents: VicRoads Spec. Cl.610.07(b),,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,Inspection / Test Method: Document review,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,Record of conformity: Approved Mix Design,,,,,,,,,,,,
label,Allocated registration number on the Register of VicRoads approved concrete mixes.,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,HP,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,Responsibility: Project Engineer & Superintendent,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,
checkpoint,1.9 - Steel Reinforcement,,,,,,,,,,,,
label,Frequency: Prior to commencing works and no more than 14 days after contract award,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,"Acceptance Criteria: Steel reinforcement shall comply with the requirements of Section 611. Unless otherwise shown on drawings, bars shall be grade 500N. Allowances should be made when preparing the steel reinforcement schedule to achieve the specified tolerances on member dimensions, concrete cover and location of steel reinforcement ",,,,,,,,,,,,
label,"Manufacturer of steel reinforcement materials must be in possession of a current certificate of approval, issued by the Australian Certification Authority for Reinforcing Steel (ACRS). Evidence of compliance with this clause shall be submitted to the superintendent within 14 days of award of the contract.",,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,Reference Documents: VicRoads Spec.,,,,,,,,,,,,
label,Cl.611.03(a),,,,,,,,,,,,
label,Cl.611.04,,,,,,,,,,,,
label,Cl611.05(a),,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,Inspection / Test Method: Document Review,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,Record of conformity: Submitted Product Details,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,HP*,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,Responsibility: Project Engineer,,,,,,,,,,,,
checkpoint,1.10 - Quality Procedure for pile construction,,,,,,,,,,,,
label,Frequency: No less than 4 weeks prior to commencement of activity,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,Acceptance Criteria: A quality procedure for the construction of the piles shall be submitted to the Superintendent not less than 4 weeks prior to the commencement of the piling works.  Piling works shall not take place until the quality procedure has been reviewed and approved by the Superintendent.,,,,,,,,,,,,
label,"Reinforcement and/or concrete shall not be placed until the proposed method of removing mud, loose rock or similar materials, and the method of placement of concrete under water has been reviewed by the Superintendent.",,,,,,,,,,,,
label,"The Contractor shall submit the procedure for placing concrete in bored piles, under water and in dry bores, for review by the Superintendent at least four weeks prior to concreting.",,,,,,,,,,,,
label,"Concrete shall not be placed in bored piles, under water or in a dry bore until the proposed method of placement of concrete has been approved by the Superintendent.",,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,Reference Documents: VicRoads Spec.,,,,,,,,,,,,
label,Cl.606.03(a),,,,,,,,,,,,
label,Cl.606.06(a),,,,,,,,,,,,
label,Cl.610.18(c),,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,Inspection / Test Method: Document review,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,Record of conformity: Approval of Quality Procedure for piles construction,,,,,,,,,,,,
label,Procedure for placing concrete reviewed,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,HP,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,Responsibility: Project Engineer & Superintendent,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,
section,2 - Boring,,,,,,,,,,,,
checkpoint,2.1 - Survey set-out,,,,,,,,,,,,
label,Frequency: Prior to Commencing,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,Acceptance Criteria: Survey to ensure and validate that all works meet level and location requirements. Review of existing survey control marks and any additional control marks required for the works. The establishment and integrity of the survey network shall be verified before commencing any survey and set out activity.,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,Reference Documents: Project Spec. Cl.1190.06,,,,,,,,,,,,
label,Latest IFC  Drawings,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,Inspection / Test Method: Site Inspection,,,,,,,,,,,,
label,- - - - - - - - -,,,,,,,,,,,,
label,"Record of conformity: This ITP Signed, Survey Records",,,,,,,,,,,,
