"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"58687a08-9b10-4bb2-945e-166516ed4327","","folder-normal","","","step","TRUE","FALSE","Site QA"
"035b3d62-d5f0-4c66-a0ff-a2cafbfe52a9","","folder-normal","","","step","TRUE","FALSE","Site QA","Level 16"
"9e11d3ab-a214-499f-b60b-00b15335a9bc","","checklist-flat","","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 16","Columns"
"988cc5b7-938e-47e2-8224-4124787323ea","","checklist-flat","","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 16","Walls"
"e5c49d44-b1f9-4bf0-bae7-7fdc7f020ca7","","checklist-sectioned","","Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 16","Climb Track Checklist"
"b366f40c-7f47-4b8b-bdd5-b7e8e3ffe363","","checklist-flat","","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 16","Slab"
"f3fa3d95-42cd-4f7b-8480-df33ae3a5433","","checklist-sectioned","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 16","Stairs"
"e5b12c87-f839-42d3-b3ad-21d839e9a52c","","checklist-sectioned","","Hoist","checklist","FALSE","FALSE","Site QA","Level 16","Hoist"
"d4b2bb22-9e6f-407e-b692-e365b88dabde","","checklist-sectioned","","Screens","checklist","FALSE","FALSE","Site QA","Level 16","Screens"
"84211eac-160b-4c5f-9977-f7771c2aadd9","","folder-normal","","","step","TRUE","FALSE","Site QA","Level 17"
"f3b0ab5f-6d2c-4ba8-adb3-8082df59b783","","checklist-flat","","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 17","Columns"
"4531d70b-72c0-4479-ab79-ac7d79615a3d","","checklist-flat","","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 17","Walls"
"45477b4f-f9da-4024-a9ef-489cb3c316b3","","checklist-sectioned","","Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 17","Climb Track Checklist"
"956f6bf5-f5f1-489e-b6a0-2ec53813f08a","","checklist-flat","","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 17","Slab"
"bc255a9f-fe7f-483f-ac5f-155a18733876","","checklist-sectioned","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 17","Stairs"
"006465a1-980a-4904-a17b-814909944691","","checklist-sectioned","","Hoist","checklist","FALSE","FALSE","Site QA","Level 17","Hoist"
"14979ab0-20cb-44aa-af75-13cc4bb4707a","","checklist-sectioned","","Screens","checklist","FALSE","FALSE","Site QA","Level 17","Screens"
"aaf97fd2-e209-49d8-8466-e7f360f306db","","folder-normal","","","step","TRUE","FALSE","Site QA","Level 18"
"1a92938e-96f5-406d-9694-60f3c0019d96","","checklist-flat","","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 18","Columns"
"00001786-40ca-48a4-a0ba-fd08300fb1c9","","checklist-flat","","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 18","Walls"
"22fd163a-6e12-4fa4-ab73-c5d910d02ee7","","checklist-sectioned","","Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 18","Climb Track Checklist"
"06ee8e24-df03-4944-9556-546548fe5c1d","","checklist-flat","","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 18","Slab"
"a8ebb696-0e0c-40e0-9314-f7c687054a0a","","checklist-sectioned","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 18","Stairs"
"0ec6f0ce-8493-4bc3-bc35-32386fe12743","","checklist-sectioned","","Hoist","checklist","FALSE","FALSE","Site QA","Level 18","Hoist"
"fade56e0-219d-4366-b181-d1428952f439","","checklist-sectioned","","Screens","checklist","FALSE","FALSE","Site QA","Level 18","Screens"
"2612180c-29c3-4b36-b258-1c7ac08e7ea4","","folder-normal","","","step","TRUE","FALSE","Site QA","Level 19"
"e78d0af0-4553-43e9-8a74-795039def538","","checklist-flat","","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 19","Columns"
"46d27ede-d7ee-42e1-ab65-8fd6692a8469","","checklist-flat","","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 19","Walls"
"ce3c28dc-5460-4e45-9b23-f54e86a749f8","","checklist-sectioned","","Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 19","Climb Track Checklist"
"ed5fcee9-afde-49ab-9a87-43a4d24f070e","","checklist-flat","","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 19","Slab"
"26f1d984-800b-47bd-81ee-64e0691f2c77","","checklist-sectioned","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 19","Stairs"
"98103284-0c47-4633-8cd0-5b51600f6f9b","","checklist-sectioned","","Hoist","checklist","FALSE","FALSE","Site QA","Level 19","Hoist"
"87ab3f1f-85c7-4788-aa67-e137c754e6ab","","checklist-sectioned","","Screens","checklist","FALSE","FALSE","Site QA","Level 19","Screens"
"11ec6a61-da81-4836-a749-2a1198029bc4","","folder-normal","","","step","TRUE","FALSE","Site QA","Level 20"
"03cdfcce-a23c-40d3-8790-ad7514dc1fe9","","checklist-flat","","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 20","Columns"
"f658d5e1-1f26-464d-a29f-eb2cd0ecd36d","","checklist-flat","","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 20","Walls"
"d24e0f67-d9f4-4024-a17b-8f6e6fb26364","","checklist-sectioned","","Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 20","Climb Track Checklist"
"a3890ab2-eb24-4a4d-944f-783498a510ab","","checklist-flat","","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 20","Slab"
"f31ca587-bbcc-4149-95dc-90e051699dd2","","checklist-sectioned","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 20","Stairs"
"9b529993-637d-4991-9685-82d63d05c27a","","checklist-sectioned","","Hoist","checklist","FALSE","FALSE","Site QA","Level 20","Hoist"
"8c1cc644-6f6d-4da2-b9ab-a96fd6de3c04","","checklist-sectioned","","Screens","checklist","FALSE","FALSE","Site QA","Level 20","Screens"
"a702a95e-cc50-4de3-b102-6bf84f528fdd","","folder-normal","","","step","TRUE","FALSE","Site QA","Level 21"
"c729b961-7637-44bc-8a8a-4a16c56a91ca","","checklist-flat","","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 21","Columns"
"594a163a-a910-4d4c-8370-67117b117aff","","checklist-flat","","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 21","Walls"
"351cc91c-880d-4d58-af88-45d37c17338b","","checklist-sectioned","","Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 21","Climb Track Checklist"
"927f43a0-872e-4bab-bd3c-351bc5cc7038","","checklist-flat","","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 21","Slab"
"5a25c616-4b6c-432a-a264-ef6f24ea3964","","checklist-sectioned","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 21","Stairs"
"1954105d-3196-4846-9c80-d71cbfca9cda","","checklist-sectioned","","Hoist","checklist","FALSE","FALSE","Site QA","Level 21","Hoist"
"e679cd02-9393-42a0-834b-528c172a041f","","checklist-sectioned","","Screens","checklist","FALSE","FALSE","Site QA","Level 21","Screens"
"0a3a5394-0ede-4df9-ad2e-49127e1cfc24","","folder-normal","","","step","TRUE","FALSE","Site QA","Level 22"
"70cc8902-35b6-4528-8f60-d046e31df976","","checklist-flat","","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 22","Columns"
"230bbc86-32fb-401f-aa9b-5f969b712556","","checklist-flat","","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 22","Walls"
"c13d54bc-0f34-4ef9-b4d0-56d4a17629c9","","checklist-sectioned","","Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 22","Climb Track Checklist"
"0de35201-e5fe-4d80-8375-6c03a92950ea","","checklist-flat","","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 22","Slab"
"3d91087e-e4af-425f-9877-720aeb74e817","","checklist-sectioned","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 22","Stairs"
"03f564e2-9b9b-44b3-b0ae-6a26763ca70d","","checklist-sectioned","","Hoist","checklist","FALSE","FALSE","Site QA","Level 22","Hoist"
"cd5183a1-d59c-4967-b9cc-d6d58b86b8c3","","checklist-sectioned","","Screens","checklist","FALSE","FALSE","Site QA","Level 22","Screens"
"5bae836d-9fcf-43e3-a809-da0cda85da61","","folder-normal","","","step","TRUE","FALSE","Site QA","Level 23"
"7fd17653-9e54-43a0-95ea-e47f9c021ae1","","checklist-flat","","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 23","Columns"
"c6827aa1-2516-45b3-a88c-3f74fded8f30","","checklist-flat","","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 23","Walls"
"8229fc26-84e1-42cb-8176-36416015333b","","checklist-sectioned","","Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 23","Climb Track Checklist"
"96c25a0d-513a-4641-baf5-cdc32de75601","","checklist-flat","","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 23","Slab"
"eca3b014-b77a-459c-a9cd-74f839a64a8d","","checklist-sectioned","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 23","Stairs"
"9da9b992-fa41-403f-8054-b6c7bc97117e","","checklist-sectioned","","Hoist","checklist","FALSE","FALSE","Site QA","Level 23","Hoist"
"0113eae8-cc06-4463-b2ee-e03c6767c5af","","checklist-sectioned","","Screens","checklist","FALSE","FALSE","Site QA","Level 23","Screens"
"6ad23330-8f62-49a6-901d-cd01b579c529","","folder-normal","","","step","TRUE","FALSE","Site QA","Level 24"
"57a60bc9-facb-4661-b02f-e2537ea8bd87","","checklist-flat","","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 24","Columns"
"3ca4f70f-0728-4d26-ba2f-d072a4ff355d","","checklist-flat","","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 24","Walls"
"23a02a06-0e4b-461f-9436-37ab934cc974","","checklist-sectioned","","Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 24","Climb Track Checklist"
"83e1966a-89ec-4799-8e84-584137ed2e65","","checklist-flat","","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 24","Slab"
"8676561d-e5f0-4d43-ba50-61dab073c2b6","","checklist-sectioned","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 24","Stairs"
"a9dbd6a4-9a33-4eb3-b458-b528fd729536","","checklist-sectioned","","Hoist","checklist","FALSE","FALSE","Site QA","Level 24","Hoist"
"6db14b3b-4d17-45c2-8cc2-c1c38ac29356","","checklist-sectioned","","Screens","checklist","FALSE","FALSE","Site QA","Level 24","Screens"
"b556dff4-3443-47b6-8cf4-ba5f2c9afa07","","folder-normal","","","step","TRUE","FALSE","Site QA","Level 25"
"0014afee-0543-4897-94c4-9c92fc8f6865","","checklist-flat","","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 25","Columns"
"19585228-327b-44d0-b4b5-7629a40ddcb0","","checklist-flat","","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 25","Walls"
"c2d4096d-4d08-4096-9579-65738bc9ea8b","","checklist-sectioned","","Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 25","Climb Track Checklist"
"a285adc3-8b8f-49a0-926b-4c5f212004e2","","checklist-flat","","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 25","Slab"
"18bc04c6-8e6b-4ed0-8375-c56b413dcfef","","checklist-sectioned","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 25","Stairs"
"e75e9a2f-547e-4449-9f7c-f23a68715f87","","checklist-sectioned","","Hoist","checklist","FALSE","FALSE","Site QA","Level 25","Hoist"
"b1d8a3f3-673a-4ae7-89ff-0051ea89fa04","","checklist-sectioned","","Screens","checklist","FALSE","FALSE","Site QA","Level 25","Screens"
"d63243d8-f323-4431-9e79-e3409e75a844","","folder-normal","","","step","TRUE","FALSE","Site QA","Level 26"
"5eccdead-2958-43bf-bde6-b61e20e1c8d5","","checklist-flat","","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 26","Columns"
"1b2bc76c-119c-4658-b925-b1d518d7ec5c","","checklist-flat","","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 26","Walls"
"481b7f44-4dff-415e-af1c-851d04279e1b","","checklist-sectioned","","Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 26","Climb Track Checklist"
"d17f13c4-54a5-4bc9-a07d-77bc9e01f8e0","","checklist-flat","","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 26","Slab"
"24806e3c-d07e-482f-89c6-4a5dfa488dc9","","checklist-sectioned","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 26","Stairs"
"050f46ad-7f61-4041-bfd0-7cb79d9e84ec","","checklist-sectioned","","Hoist","checklist","FALSE","FALSE","Site QA","Level 26","Hoist"
"f2655148-16a0-4cb2-b698-73e88489dfef","","checklist-sectioned","","Screens","checklist","FALSE","FALSE","Site QA","Level 26","Screens"
"087f81e5-f40b-4292-85a7-4db555d7e385","","folder-normal","","","step","TRUE","FALSE","Site QA","Level 27"
"d76f4f60-3185-48bf-9069-a389ee3731c2","","checklist-flat","","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 27","Columns"
"e0416b87-cd92-4a2b-affd-5c280891cbab","","checklist-flat","","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 27","Walls"
"706be32a-081c-4970-b687-2b13668dd6a9","","checklist-sectioned","","Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 27","Climb Track Checklist"
"34fc9fc6-bded-4b07-8e3b-a759812977cd","","checklist-flat","","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 27","Slab"
"5c085e12-5c67-48c4-b9bf-9c6e2900e98d","","checklist-sectioned","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 27","Stairs"
"37e65e0a-4774-4d45-903c-c70b44367239","","checklist-sectioned","","Hoist","checklist","FALSE","FALSE","Site QA","Level 27","Hoist"
"c4913eae-578c-483b-98b8-098cda41d916","","checklist-sectioned","","Screens","checklist","FALSE","FALSE","Site QA","Level 27","Screens"
"32c6c994-c83b-41e3-bfcd-782991b62538","","folder-normal","","","step","TRUE","FALSE","Site QA","Level 28"
"1111b61a-2822-4ada-9e23-d81b5c52695e","","checklist-flat","","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 28","Columns"
"f8508714-5fc2-4f47-9adb-41413602407f","","checklist-flat","","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 28","Walls"
"adfd79b8-48e2-49f8-8f50-d7bcdbfb2e36","","checklist-sectioned","","Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 28","Climb Track Checklist"
"0e1611d6-c08a-4b33-8ddb-958795afd7b7","","checklist-flat","","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 28","Slab"
"5a3e308d-4976-414d-b0ca-64eb31f5f514","","checklist-sectioned","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 28","Stairs"
"fe0c7ebb-6e9a-458b-af1d-9a405be2500e","","checklist-sectioned","","Hoist","checklist","FALSE","FALSE","Site QA","Level 28","Hoist"
"6522f837-507a-4f60-95f8-e89a4c9c01c6","","checklist-sectioned","","Screens","checklist","FALSE","FALSE","Site QA","Level 28","Screens"
"8e6e3ea3-356a-447f-ad08-83c0af77efb7","","folder-normal","","","step","TRUE","FALSE","Site QA","Level 29"
"61748353-d938-4016-8fdc-aa9d2b84c4e3","","checklist-flat","","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 29","Columns"
"cd268b50-7c6b-48fe-bb70-2d00abc6f1f4","","checklist-flat","","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 29","Walls"
"df0d2a1b-36c3-485a-8c10-f0032834ab07","","checklist-sectioned","","Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 29","Climb Track Checklist"
"dd5882a9-3984-436a-9b78-b1c72035b38f","","checklist-flat","","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 29","Slab"
"748f2102-5f64-4fa5-852f-0646564c0a72","","checklist-sectioned","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 29","Stairs"
"4f118396-a88a-4dcf-a622-b55f13aad281","","checklist-sectioned","","Hoist","checklist","FALSE","FALSE","Site QA","Level 29","Hoist"
"c01862a5-4f13-4ac0-86aa-00ef13fd4bfc","","checklist-sectioned","","Screens","checklist","FALSE","FALSE","Site QA","Level 29","Screens"
"d0dae199-eac1-4dd1-8dd5-912af8a1874b","","folder-normal","","","step","TRUE","FALSE","Site QA","Level 30"
"e48b55f0-2561-4119-9c46-b8a145eeddc7","","checklist-flat","","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 30","Columns"
"577de45c-2825-4463-a6be-b7703dd9be1e","","checklist-flat","","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 30","Walls"
"0e603fdc-70ec-4f83-8570-66e48d1b0ed5","","checklist-sectioned","","Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 30","Climb Track Checklist"
"86af6275-478c-4f25-80ab-d48aa0a4aab4","","checklist-flat","","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 30","Slab"
"026772df-d0ee-4ad4-949b-0071f7a3e2fd","","checklist-sectioned","","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 30","Stairs"
