resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,
,step,,,Site QA,,,,,,,,,,,
,step,,,,Plastering & Hebel,,,,,,,,,,
,step,,,,,Building A,,,,,,,,,
,step,,,,,,Ground Floor,,,,,,,,
Plastering & Internal Hebel,checklist,,,,,,,Lobby,,,,,,,
Plastering & Internal Hebel,checklist,,,,,,,Communal Area,,,,,,,
Plastering & Internal Hebel,checklist,,,,,,,AG.01,,,,,,,
Plastering & Internal Hebel,checklist,,,,,,,AG.02,,,,,,,
Plastering & Internal Hebel,checklist,,,,,,,AG.03,,,,,,,
Plastering & Internal Hebel,checklist,,,,,,,AG.04,,,,,,,
Plastering & Internal Hebel,checklist,,,,,,,AG.05,,,,,,,
Plastering & Internal Hebel,checklist,,,,,,,AG.06,,,,,,,
Plastering & Internal Hebel,checklist,,,,,,,AG.07,,,,,,,
Plastering & Internal Hebel,checklist,,,,,,,AG.08,,,,,,,
Plastering & Internal Hebel,checklist,,,,,,,AG.09,,,,,,,
Plastering & Internal Hebel,checklist,,,,,,,AG.10,,,,,,,
Plastering & Internal Hebel,checklist,,,,,,,AG.11,,,,,,,
Plastering & Internal Hebel,checklist,,,,,,,AG.12,,,,,,,
,step,,,,,,Level 1,,,,,,,,
Plastering & Internal Hebel,checklist,,,,,,,Lobby,,,,,,,
Plastering & Internal Hebel,checklist,,,,,,,A1.01,,,,,,,
Plastering & Internal Hebel,checklist,,,,,,,A1.02,,,,,,,
Plastering & Internal Hebel,checklist,,,,,,,A1.03,,,,,,,
Plastering & Internal Hebel,checklist,,,,,,,A1.04,,,,,,,
Plastering & Internal Hebel,checklist,,,,,,,A1.05,,,,,,,
Plastering & Internal Hebel,checklist,,,,,,,A1.06,,,,,,,
Plastering & Internal Hebel,checklist,,,,,,,A1.07,,,,,,,
Plastering & Internal Hebel,checklist,,,,,,,A1.08,,,,,,,
Plastering & Internal Hebel,checklist,,,,,,,A1.09,,,,,,,
Plastering & Internal Hebel,checklist,,,,,,,A1.10,,,,,,,
Plastering & Internal Hebel,checklist,,,,,,,A1.11,,,,,,,
Plastering & Internal Hebel,checklist,,,,,,,A1.12,,,,,,,
,step,,,,,,Level 2,,,,,,,,
Plastering & Internal Hebel,checklist,,,,,,,Lobby,,,,,,,
Plastering & Internal Hebel,checklist,,,,,,,A2.01,,,,,,,
Plastering & Internal Hebel,checklist,,,,,,,A2.02,,,,,,,
Plastering & Internal Hebel,checklist,,,,,,,A2.03,,,,,,,
Plastering & Internal Hebel,checklist,,,,,,,A2.04,,,,,,,
Plastering & Internal Hebel,checklist,,,,,,,A2.05,,,,,,,
Plastering & Internal Hebel,checklist,,,,,,,A2.06,,,,,,,
Plastering & Internal Hebel,checklist,,,,,,,A2.07,,,,,,,
Plastering & Internal Hebel,checklist,,,,,,,A2.08,,,,,,,
Plastering & Internal Hebel,checklist,,,,,,,A2.09,,,,,,,
Plastering & Internal Hebel,checklist,,,,,,,A2.10,,,,,,,
Plastering & Internal Hebel,checklist,,,,,,,A2.11,,,,,,,
Plastering & Internal Hebel,checklist,,,,,,,A2.12,,,,,,,
,step,,,,,,Level 3,,,,,,,,
