Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,
Plastering & Internal Hebel Progress (Building A),,,,,,,,
,Scope,,,Plastering & Hebel,,,,
,Rows,,,,,,,
,,Building A - Ground Floor,grouping,Building A - Ground Floor,,,,
,,Lobby,,Lobby,Ground Floor,Building A,Plastering & Hebel,Site QA
,,Communal Area,,Communal Area,Ground Floor,Building A,Plastering & Hebel,Site QA
,,AG.01,,AG.01,Ground Floor,Building A,Plastering & Hebel,Site QA
,,AG.02,,AG.02,Ground Floor,Building A,Plastering & Hebel,Site QA
,,AG.03,,AG.03,Ground Floor,Building A,Plastering & Hebel,Site QA
,,AG.04,,AG.04,Ground Floor,Building A,Plastering & Hebel,Site QA
,,AG.05,,AG.05,Ground Floor,Building A,Plastering & Hebel,Site QA
,,AG.06,,AG.06,Ground Floor,Building A,Plastering & Hebel,Site QA
,,AG.07,,AG.07,Ground Floor,Building A,Plastering & Hebel,Site QA
,,AG.08,,AG.08,Ground Floor,Building A,Plastering & Hebel,Site QA
,,AG.09,,AG.09,Ground Floor,Building A,Plastering & Hebel,Site QA
,,AG.10,,AG.10,Ground Floor,Building A,Plastering & Hebel,Site QA
,,AG.11,,AG.11,Ground Floor,Building A,Plastering & Hebel,Site QA
,,AG.12,,AG.12,Ground Floor,Building A,Plastering & Hebel,Site QA
,,Building A - Level 1,grouping,Building A - Level 1,,,,
,,Lobby,,Lobby,Level 1,Building A,Plastering & Hebel,Site QA
,,A1.01,,A1.01,Level 1,Building A,Plastering & Hebel,Site QA
,,A1.02,,A1.02,Level 1,Building A,Plastering & Hebel,Site QA
,,A1.03,,A1.03,Level 1,Building A,Plastering & Hebel,Site QA
,,A1.04,,A1.04,Level 1,Building A,Plastering & Hebel,Site QA
,,A1.05,,A1.05,Level 1,Building A,Plastering & Hebel,Site QA
,,A1.06,,A1.06,Level 1,Building A,Plastering & Hebel,Site QA
,,A1.07,,A1.07,Level 1,Building A,Plastering & Hebel,Site QA
,,A1.08,,A1.08,Level 1,Building A,Plastering & Hebel,Site QA
,,A1.09,,A1.09,Level 1,Building A,Plastering & Hebel,Site QA
,,A1.10,,A1.10,Level 1,Building A,Plastering & Hebel,Site QA
,,A1.11,,A1.11,Level 1,Building A,Plastering & Hebel,Site QA
,,A1.12,,A1.12,Level 1,Building A,Plastering & Hebel,Site QA
,,Building A - Level 2,grouping,Building A - Level 2,,,,
,,Lobby,,Lobby,Level 2,Building A,Plastering & Hebel,Site QA
,,A2.01,,A2.01,Level 2,Building A,Plastering & Hebel,Site QA
,,A2.02,,A2.02,Level 2,Building A,Plastering & Hebel,Site QA
,,A2.03,,A2.03,Level 2,Building A,Plastering & Hebel,Site QA
,,A2.04,,A2.04,Level 2,Building A,Plastering & Hebel,Site QA
,,A2.05,,A2.05,Level 2,Building A,Plastering & Hebel,Site QA
,,A2.06,,A2.06,Level 2,Building A,Plastering & Hebel,Site QA
,,A2.07,,A2.07,Level 2,Building A,Plastering & Hebel,Site QA
,,A2.08,,A2.08,Level 2,Building A,Plastering & Hebel,Site QA
,,A2.09,,A2.09,Level 2,Building A,Plastering & Hebel,Site QA
,,A2.10,,A2.10,Level 2,Building A,Plastering & Hebel,Site QA
,,A2.11,,A2.11,Level 2,Building A,Plastering & Hebel,Site QA
,,A2.12,,A2.12,Level 2,Building A,Plastering & Hebel,Site QA
,,Building A - Level 3,grouping,Building A - Level 3,,,,
,,Lobby,,Lobby,Level 3,Building A,Plastering & Hebel,Site QA
,,A3.01,,A3.01,Level 3,Building A,Plastering & Hebel,Site QA
,,A3.02,,A3.02,Level 3,Building A,Plastering & Hebel,Site QA
,,A3.03,,A3.03,Level 3,Building A,Plastering & Hebel,Site QA
,,A3.04,,A3.04,Level 3,Building A,Plastering & Hebel,Site QA
,,A3.05,,A3.05,Level 3,Building A,Plastering & Hebel,Site QA
,,A3.06,,A3.06,Level 3,Building A,Plastering & Hebel,Site QA
,,A3.07,,A3.07,Level 3,Building A,Plastering & Hebel,Site QA
,,A3.08,,A3.08,Level 3,Building A,Plastering & Hebel,Site QA
,,A3.09,,A3.09,Level 3,Building A,Plastering & Hebel,Site QA
,,A3.10,,A3.10,Level 3,Building A,Plastering & Hebel,Site QA
,,Building A - Level 4,grouping,Building A - Level 4,,,,
,,Lobby,,Lobby,Level 4,Building A,Plastering & Hebel,Site QA
,,A4.01,,A4.01,Level 4,Building A,Plastering & Hebel,Site QA
,,A4.02,,A4.02,Level 4,Building A,Plastering & Hebel,Site QA
,,A4.03,,A4.03,Level 4,Building A,Plastering & Hebel,Site QA
,,A4.04,,A4.04,Level 4,Building A,Plastering & Hebel,Site QA
,,A4.05,,A4.05,Level 4,Building A,Plastering & Hebel,Site QA
,,A4.06,,A4.06,Level 4,Building A,Plastering & Hebel,Site QA
,,A4.07,,A4.07,Level 4,Building A,Plastering & Hebel,Site QA
,,A4.08,,A4.08,Level 4,Building A,Plastering & Hebel,Site QA
,,A4.09,,A4.09,Level 4,Building A,Plastering & Hebel,Site QA
,,A4.10,,A4.10,Level 4,Building A,Plastering & Hebel,Site QA
,,Building A - Level 5,grouping,Building A - Level 5,,,,
,,Lobby,,Lobby,Level 5,Building A,Plastering & Hebel,Site QA
,,A5.01,,A5.01,Level 5,Building A,Plastering & Hebel,Site QA
,,A5.02,,A5.02,Level 5,Building A,Plastering & Hebel,Site QA
,,A5.03,,A5.03,Level 5,Building A,Plastering & Hebel,Site QA
,,A5.04,,A5.04,Level 5,Building A,Plastering & Hebel,Site QA
,,A5.05,,A5.05,Level 5,Building A,Plastering & Hebel,Site QA
,,A5.06,,A5.06,Level 5,Building A,Plastering & Hebel,Site QA
,,A5.07,,A5.07,Level 5,Building A,Plastering & Hebel,Site QA
,,A5.08,,A5.08,Level 5,Building A,Plastering & Hebel,Site QA
,,A5.09,,A5.09,Level 5,Building A,Plastering & Hebel,Site QA
,,A5.10,,A5.10,Level 5,Building A,Plastering & Hebel,Site QA
,,Building A - Level 6,grouping,Building A - Level 6,,,,
,,Lobby,,Lobby,Level 6,Building A,Plastering & Hebel,Site QA
,,A6.01,,A6.01,Level 6,Building A,Plastering & Hebel,Site QA
,,A6.02,,A6.02,Level 6,Building A,Plastering & Hebel,Site QA
,,A6.03,,A6.03,Level 6,Building A,Plastering & Hebel,Site QA
,,A6.04,,A6.04,Level 6,Building A,Plastering & Hebel,Site QA
,,A6.05,,A6.05,Level 6,Building A,Plastering & Hebel,Site QA
,,A6.06,,A6.06,Level 6,Building A,Plastering & Hebel,Site QA
,,A6.07,,A6.07,Level 6,Building A,Plastering & Hebel,Site QA
,,A6.08,,A6.08,Level 6,Building A,Plastering & Hebel,Site QA
,,A6.09,,A6.09,Level 6,Building A,Plastering & Hebel,Site QA
,,A6.10,,A6.10,Level 6,Building A,Plastering & Hebel,Site QA
,,Building A - Level 7,grouping,Building A - Level 7,,,,
,,Lobby,,Lobby,Level 7,Building A,Plastering & Hebel,Site QA
,,A7.01,,A7.01,Level 7,Building A,Plastering & Hebel,Site QA
,,A7.02,,A7.02,Level 7,Building A,Plastering & Hebel,Site QA
,,A7.03,,A7.03,Level 7,Building A,Plastering & Hebel,Site QA
,,A7.04,,A7.04,Level 7,Building A,Plastering & Hebel,Site QA
,,A7.05,,A7.05,Level 7,Building A,Plastering & Hebel,Site QA
,,A7.06,,A7.06,Level 7,Building A,Plastering & Hebel,Site QA
,,A7.07,,A7.07,Level 7,Building A,Plastering & Hebel,Site QA
,Columns,,,,,,,
,,All frames/studs set out correctly,,All frames/studs set out correctly,Framing,,,
,,All frames plumb & square,,All frames plumb and square,Framing,,,
,,Fix to structural members,,Fix to structural members,Framing,,,
