"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"31e50bbc-c9d5-4118-a167-c188a04eb37c","","not-started","","folder","TRUE","FALSE","Workstations"
"0dab8af7-164c-402b-8db3-5d6391e3e09b","","not-started","","folder","TRUE","FALSE","Workstations","Level 1"
"a19dff4a-44b9-4ee4-8721-2a1ef7b280f0","","not-started","Equipment Installation","checklist","FALSE","FALSE","Workstations","Level 1","Workstations Installation"
"d0715ca8-a4c8-405c-ae98-438f55c7d6bd","","no-status-not-started","","folder","TRUE","FALSE","Lockers"
"643ad56b-14bc-4f8f-951e-51b84265abf5","","work-in-progress","","folder","TRUE","FALSE","Mental Health"
"4fd45f9c-91e9-414b-9214-a02ee9d1e995","","work-in-progress","","folder","TRUE","FALSE","Mental Health","Building B"
"62e2f4d3-a219-4c91-98a0-197062fb65d4","","not-started","","folder","TRUE","FALSE","Mental Health","Building B","Lower Ground"
"5d0ad603-d3a0-4f81-aaa9-8f234c6a407e","","not-started","","folder","TRUE","FALSE","Mental Health","Building B","Lower Ground","Room - 049"
"56b8a01c-e4c3-4e57-99cb-62ebe3ddba4d","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Lower Ground","Room - 049","FQBS-510 - chair"
"7ebe03c3-7820-49aa-baf3-342fbcaaddc0","","not-started","","folder","TRUE","FALSE","Mental Health","Building B","Lower Ground","Room - 050"
"c1c0d52b-aca4-48da-ae56-4fec5ff1dae0","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Lower Ground","Room - 050","FQBS-510 - chair"
"237371b9-4cf3-43cc-a04c-9795a5befe39","","not-started","","folder","TRUE","FALSE","Mental Health","Building B","Lower Ground","Room - 051"
"f4ed872b-24b1-44c8-9dc7-fe51098271f9","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Lower Ground","Room - 051","FQBS-510 - chair"
"e8f34bc3-4c52-45de-9ca0-d6b87f4ff503","","not-started","","folder","TRUE","FALSE","Mental Health","Building B","Lower Ground","Room - 052"
"e9ce7cd9-f775-4734-924e-0f9b230e75e8","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Lower Ground","Room - 052","FQBS-510 - chair"
"0145b5d9-4d11-4dc4-abbd-7081d33de369","","not-started","","folder","TRUE","FALSE","Mental Health","Building B","Lower Ground","Room - 053"
"42d02295-ade7-4866-89d0-aa2ebf29017a","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Lower Ground","Room - 053","FQBS-510 - chair"
"c36a9e61-faad-4ced-b598-e974a78b38f3","","not-started","","folder","TRUE","FALSE","Mental Health","Building B","Lower Ground","Room - 054"
"4e2a00bc-4d93-475e-930f-de599024fde5","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Lower Ground","Room - 054","FQBS-510 - chair"
"9029c4b7-1014-4b8a-a0f1-9192e21c76e6","","not-started","","folder","TRUE","FALSE","Mental Health","Building B","Lower Ground","Room - 056"
"9efa5f1c-180a-4bd7-a676-fbf3e982da46","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Lower Ground","Room - 056","FQBS-548 - chair 1"
"96d7c95e-a8dd-4e50-a7b2-0b842e21ae79","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Lower Ground","Room - 056","FQBS-548 - chair 2"
"de0c3ea5-9cff-4a0b-a7d9-ba2ae77b18f8","","not-started","","folder","TRUE","FALSE","Mental Health","Building B","Lower Ground","Room - 057"
"9dd8d8a8-2d33-4d3e-a977-7113599d798c","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Lower Ground","Room - 057","MMBE-017 - bed"
"e92a73af-ef03-474c-a938-60b0b248efac","","not-started","","folder","TRUE","FALSE","Mental Health","Building B","Lower Ground","Room - 058"
"ea796dc2-e7d8-4bf2-af40-62b7989ed0ce","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Lower Ground","Room - 058","MMBE-017 - bed"
"576587f1-a07d-461c-a934-05020a7a3b5e","","not-started","","folder","TRUE","FALSE","Mental Health","Building B","Lower Ground","Room - 059"
"ba0fca5b-d427-48b5-8eba-e817f6fe4718","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Lower Ground","Room - 059","FQBS-548 - chair"
"3dd48eb3-9703-4c53-b4cf-1d48155722f7","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Lower Ground","Room - 059","FQBS-546 - chair"
"e0f5534c-d7a3-42eb-8369-41e45e924c68","","not-started","","folder","TRUE","FALSE","Mental Health","Building B","Lower Ground","Room - 060"
"b978d568-ab1c-4e72-9053-3e16648bf7e9","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Lower Ground","Room - 060","FQBS-512 - lounge 1"
"5befde84-7bf9-43d3-969f-6d8ffe1b420d","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Lower Ground","Room - 060","FQBS-512 - lounge 2"
"238597a8-4852-4b2a-b821-2f17dbf00586","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Lower Ground","Room - 060","FQTA-085 - table"
"92c95126-a6f1-4fe5-bca5-c95e5de6185c","","not-started","Equipment Installation","checklist","FALSE","FALSE","Mental Health","Building B","Lower Ground","Room - 060","FQBS-510 - chair 1"
