Type,Name,Values,Prompting Name,Postfix,Resource Id
checklist,FH-927-QU-ITP006 - Asphalt Production - Rev 0,itp,ITP006 - Asphalt Production,,
section,"1.0 - Paving Plant, Tools and Equipment",,,,
checkpoint,1.1 - Minimum Requirements,,,,
label,Frequency - Each Lot,,,,
label,Acceptance Criteria - The plant must be calibrated by the Contractor prior to the commencement of production trials in accordance with Clause 5112(i) and the calibration checked and reliably maintained throughout the entire production for the Works.,,,,
label,Reference Documents - Volume 1: Clause 5112 (a),,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - This ITP signed by Contractor,,,,
label,IP,,,,
label,Responsibility - Construction Manager,,,,
date,Date Completed:,,,,
checkpoint,1.2 - Bitumen Usage,,,,
label,Frequency - Each Lot,,,,
label,Acceptance Criteria - Submission of results of verification testing of asphalt mixing plant devices against direct measuring of bitumen tank with mix/trial mix test results,,,,
label,Reference Documents - Volume 1: HP 5112-1,,,,
label,Inspection/Test Method - Submission,,,,
label,Record of conformity - Bitumen Usage Record,,,,
label,HP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,
section,"2.0 - Storage and Handling of Aggregates, Added Filler and Bituminous materials",,,,
checkpoint,2.1 - Storage and Handling of Aggregates,,,,
label,Frequency - Each Lot,,,,
label,"Acceptance Criteria - Aggregates must be tested for compliance and compliance confirmed before delivery on site. The aggregates must be stockpiled separately at the quarry or mixing plant, stored to prevent contamination and segregation. Each size should be stored with at least 6 m of space between them or a wall to avoid mixing. Aggregates up to 10 mm must stay in free-draining stockpiles for at least 72 hours before use, with waterproof covers used during wet weather when the plant isn’t operating.",,,,
label,"Reference Documents - Volume 1: Clause 5114 (a), 5131 (a)(i)",,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - This ITP signed by Contractor,,,,
label,IP,,,,
label,Responsibility - Plant Operator,,,,
date,Date Completed:,,,,
checkpoint,2.2 - Storage of Added Filler,,,,
label,Frequency - Each Lot,,,,
label,Acceptance Criteria - Added filler must be stored in weatherproof storage bins or silos to prevent moisture absorption and the formation of lumps.,,,,
label,Reference Documents - Volume 1: Clause 5114,,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - This ITP signed by Contractor,,,,
label,IP,,,,
label,Responsibility - Plant operator,,,,
date,Date Completed:,,,,
checkpoint,2.3 - Storage and Handling of Bitumen,,,,
label,Frequency - Each Lot,,,,
label,Acceptance Criteria - Bitumen must be stored in clean tanks and not reheated above specified temperatures or stored longer than showed in Table 5114-1.,,,,
label,"○ The Contractor should keep records of heating and storage; if there are not records, bitumen must be used within 24 hours of delivery.",,,,
label,○ Contaminated bitumen cannot be used for asphalt.,,,,
label,Reference Documents - Volume 1: Clause 5114 (c) and Table 5114-1,,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - This ITP signed by Contractor,,,,
label,IP,,,,
label,Responsibility - Plant Operator,,,,
date,Date Completed:,,,,
section,3.0 - Mix Production Requirements,,,,
checkpoint,3.1 - Moisture Content of Aggregate,,,,
label,Frequency - Each Lot,,,,
label,Acceptance Criteria - Moisture content must be determined in accordance with the requirements of Clause 5129(c).,,,,
label,Reference Documents - Volume 1: Clause 5116 (b),,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - Moisture Test Report,,,,
label,TP,,,,
label,Responsibility - Quality Engineer,,,,
date,Date Completed:,,,,
checkpoint,3.2 - Particle Size Distribution Tolerance,,,,
label,Frequency - Each Lot,,,,
label,"Acceptance Criteria - Individual samples of aggregate from stockpiles, deliveries, cold bins, or feeders must maintain consistent particle size distribution. This ensures that the overall particle size distribution of asphalt remains within specified limits defined by job requirements and production tolerances outlined in tables for coarse and fine aggregates.",,,,
label,Reference Documents - Volume 1: Clause 5116 (c),,,,
label,Inspection/Test Method - Verify,,,,
label,Record of conformity - PSD Test Report,,,,
label,TP,,,,
label,Responsibility - Quality Engineer,,,,
