"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"518af03f-84a5-4f27-87b2-4bf913aa93b8","","folder-normal","pass","","step","TRUE","FALSE","In-Ground Works"
"7824f13e-1208-4ea2-baae-7792d14add68","","folder-normal","pass","","step","TRUE","FALSE","In-Ground Works","South & West"
"96bedfd2-c0f8-4f73-a33c-d52368f20593","","checklist-sectioned","pass","Excavation & Shoring - GPL-QSE-ITP-STRUC-001 (Rev 02)","checklist","FALSE","FALSE","In-Ground Works","South & West","South - Shoring + Excavation"
"9511dbed-3060-5a2f-b02a-c10170d08ef4","","checkpoint-group","pass","","","FALSE","FALSE","In-Ground Works","South & West","South - Shoring + Excavation","Shoring - Prior to Works Commencing"
"f2dc1d4e-6c82-5a5e-8672-22e1c8affe64","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","South & West","South - Shoring + Excavation","Shoring - Prior to Works Commencing","Locate all existing services"
"ab344ee3-6e5b-564d-9bd7-32e3c77f6dc1","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","South & West","South - Shoring + Excavation","Shoring - Prior to Works Commencing","Confirm set out and piling/spring remains within the boundary"
"32248271-7faa-540a-a006-05593886121d","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","South & West","South - Shoring + Excavation","Shoring - Prior to Works Commencing","Confirm vibration requirements"
"dee4202a-90ee-5d52-a242-a310f4be504e","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","South & West","South - Shoring + Excavation","Shoring - Prior to Works Commencing","Confirm boundary set back to shoring wall"
"7e8e389e-e772-57b9-8b70-6ecd5abc4f75","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","South & West","South - Shoring + Excavation","Shoring - Prior to Works Commencing","Confirm RL levels to top of shoring wall"
"04bde279-c944-5ea4-ab5d-55d6ffa071e0","","checkpoint-group","pass","","","FALSE","FALSE","In-Ground Works","South & West","South - Shoring + Excavation","Shoring - During Works"
"360e8ad4-5e1a-50a8-9784-00017e4cf1c5","","checkpoint-status","not-applicable","","","TRUE","TRUE","In-Ground Works","South & West","South - Shoring + Excavation","Shoring - During Works","Confirm de-stressing procedure for anchors with engineer"
"e8df408a-b114-53fc-8abe-37af81dc684d","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","South & West","South - Shoring + Excavation","Shoring - During Works","Confirm level of excavation permissible with shoring wall"
"06595f0c-0d15-5226-8e57-6a88ccd3620a","","checkpoint-group","pass","","","FALSE","FALSE","In-Ground Works","South & West","South - Shoring + Excavation","Excavation - Prior to Works Commencing"
"c37d9198-2fc1-553d-8c15-9a232d773e2c","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","South & West","South - Shoring + Excavation","Excavation - Prior to Works Commencing","Confirm dial before you dig documents are onsite"
"c447744c-def8-5dc5-a6fd-fc5b3b00d3f4","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","South & West","South - Shoring + Excavation","Excavation - Prior to Works Commencing","Confirm correct disposal of classified material"
"f8566d0d-dd16-5afa-896a-448bcd855bc3","","checkpoint-status","not-applicable","","","TRUE","TRUE","In-Ground Works","South & West","South - Shoring + Excavation","Excavation - Prior to Works Commencing","Obtain geotech report, including load bearing capacity for scaffolder"
"c6d5977e-23fc-5a8a-996f-327795bba81f","","checkpoint-group","pass","","","FALSE","FALSE","In-Ground Works","South & West","South - Shoring + Excavation","Excavation - During Works"
"327f24e2-4007-5c63-ac7d-4c12b4af03ab","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","South & West","South - Shoring + Excavation","Excavation - During Works","Collection of tip dockets if required"
"26a87204-6ce6-5c06-8925-522c3a2855e1","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","South & West","South - Shoring + Excavation","Excavation - During Works","Confirm set out of boundary's marked out"
"f412553b-a7d9-5425-ba00-103caef8761a","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","South & West","South - Shoring + Excavation","Excavation - During Works","Confirm actual ERL is within design tolerance (nominal 20mm)"
"a4a4b201-10ed-57fc-8891-4e84fd48f170","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","South & West","South - Shoring + Excavation","Excavation - During Works","Confirm set out of footings and pads"
"2ac0e8ee-bd29-5e2a-a338-a9259454201b","","checkpoint-status","not-applicable","","","TRUE","TRUE","In-Ground Works","South & West","South - Shoring + Excavation","Excavation - During Works","Confirm set out of in ground drainage"
"34c73836-f066-5b89-807c-a308f0879444","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","South & West","South - Shoring + Excavation","Excavation - During Works","Excavation of footings not to exceed size as detailed on structural drawings"
"3b535a34-85c6-5a5e-8563-5895f5ccc452","","checkpoint-status","not-applicable","","","TRUE","TRUE","In-Ground Works","South & West","South - Shoring + Excavation","Excavation - During Works","Certifier to inspect foundation in accordance with DA Conditions"
"3e14fd89-251b-5c86-81b5-1c2f999a2a4f","","checkpoint-status","not-applicable","","","TRUE","TRUE","In-Ground Works","South & West","South - Shoring + Excavation","Excavation - During Works","Geotech inspection of footings/lift pads"
"056850dd-ed97-5194-a20d-d7da74cef39f","","checkpoint-status","not-applicable","","","TRUE","TRUE","In-Ground Works","South & West","South - Shoring + Excavation","Excavation - During Works","Confirm if and hand digging excavation close to underground services"
"d7ccd1d0-52ed-5d59-b534-eb5920b76daa","","checkpoint-status","not-applicable","","","TRUE","TRUE","In-Ground Works","South & West","South - Shoring + Excavation","Excavation - During Works","Confirm top of concrete footings is below surrounding finishes"
"fda3e812-b404-5efa-9577-ec95ca1c502a","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","South & West","South - Shoring + Excavation","Excavation - During Works","Confirm subbase is compliant with engineers requirements"
"c6766afb-3148-512e-853d-1e0a09a2e4ff","","checkpoint-status","not-applicable","","","TRUE","TRUE","In-Ground Works","South & West","South - Shoring + Excavation","Excavation - During Works","Confirm as civil engineer inspection"
"12430d74-b2b2-5769-9956-43681a8d4e7f","","checkpoint-group","pass","","","FALSE","FALSE","In-Ground Works","South & West","South - Shoring + Excavation","After Works"
"8472117f-1f7b-588a-86b8-3a7d6705777e","","checkpoint-status","not-applicable","","","TRUE","TRUE","In-Ground Works","South & West","South - Shoring + Excavation","After Works","Attach Subcontractor ITP"
"a03a73cd-f756-563f-b125-4336bdfee5aa","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","South & West","South - Shoring + Excavation","After Works","Subcontractor Sign Off"
"7e47a6b0-591a-5622-b6c5-eef7f3c2463d","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","South & West","South - Shoring + Excavation","After Works","Orwell Sign Off"
"3ab80ff5-5e4a-5b9a-bc5d-3b98bc9a05c8","","checkpoint-status","pass","","","TRUE","TRUE","In-Ground Works","South & West","South - Shoring + Excavation","After Works","GPL-QSE-ITP-STRUC-001 Excavation & Shoring Rev 02"
